repo,stars,age_days,age_years,merged_prs,releases,days_since_update,language,closed_issues,total_issues,closed_issue_ratio
freeCodeCamp/freeCodeCamp,437970,4093,11.21,27794,0,0,TypeScript,20987,21160,0.9918
public-apis/public-apis,405910,3640,9.97,1872,0,18,Python,832,839,0.9917
EbookFoundation/free-programming-books,383860,4532,12.41,7336,0,0,Python,1228,1264,0.9715
kamranahmedse/developer-roadmap,350607,3281,8.98,4086,1,0,TypeScript,3083,3088,0.9984
donnemartin/system-design-primer,338171,3298,9.03,205,0,0,Python,116,360,0.3222
openclaw/openclaw,289301,105,0.29,2962,63,0,TypeScript,10620,16905,0.6282
vinta/awesome-python,286385,4272,11.7,641,0,5,Python,0,0,
facebook/react,243811,4672,12.79,12774,118,4,JavaScript,13579,14390,0.9436
TheAlgorithms/Python,218508,3523,9.65,3064,0,0,Python,1540,1704,0.9038
vuejs/vue,210001,4606,12.61,1136,249,515,TypeScript,9669,10028,0.9642
ossu/computer-science,202312,4327,11.85,305,0,5,HTML,655,669,0.9791
trekhleb/javascript-algorithms,195801,2907,7.96,304,0,19,JavaScript,234,372,0.629
tensorflow/tensorflow,194107,3775,10.34,42339,222,0,C++,40303,41201,0.9782
ohmyzsh/ohmyzsh,185247,6036,16.53,3516,0,1,Shell,4892,5034,0.9718
microsoft/vscode,182519,3839,10.51,43431,199,0,TypeScript,219093,232643,0.9418
Significant-Gravitas/AutoGPT,182304,1089,2.98,3989,94,0,Python,3513,3742,0.9388
jackfrued/Python-100-Days,179439,2930,8.02,13,0,12,Jupyter Notebook,188,711,0.2644
n8n-io/n8n,178320,2452,6.71,14163,550,0,TypeScript,7806,8257,0.9454
flutter/flutter,175474,4020,11.01,46967,7,0,Dart,100316,112492,0.8918
twbs/bootstrap,174046,5336,14.61,9123,94,0,MDX,22540,22848,0.9865
massgravel/Microsoft-Activation-Scripts,168204,2247,6.15,6,29,0,Batchfile,909,911,0.9978
avelino/awesome-go,166995,4264,11.67,3612,0,0,Go,713,727,0.9807
ollama/ollama,164622,986,2.7,3082,189,0,Go,7520,9530,0.7891
AUTOMATIC1111/stable-diffusion-webui,161612,1295,3.55,1884,27,7,Python,5487,7890,0.6954
huggingface/transformers,157653,2688,7.36,18770,244,0,Python,17614,18681,0.9429
Snailclimb/JavaGuide,154137,2863,7.84,1216,0,0,Java,1060,1133,0.9356
DigitalPlatDev/FreeDomain,151524,648,1.77,1,0,6,HTML,0,0,
f/prompts.chat,151123,1190,3.26,201,0,0,HTML,128,132,0.9697
yt-dlp/yt-dlp,150346,1960,5.37,3228,131,6,Python,9306,11140,0.8354
airbnb/javascript,148108,4875,13.35,813,0,13,JavaScript,1302,1404,0.9274
