file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-v2/liveeventbus-v2/src/main/java/com/jeremyliao/liveeventbus/liveevent/SafeIterableMap.java,com.jeremyliao.liveeventbus.liveevent.SafeIterableMap$Entry,toString/0,false,366,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-v2/liveeventbus-v2/src/main/java/com/jeremyliao/liveeventbus/liveevent/SafeIterableMap.java,com.jeremyliao.liveeventbus.liveevent.SafeIterableMap$Entry,equals/1[java.lang.Object],false,371,1,0,0,0,3,1,10,3,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,7,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-v2/liveeventbus-v2/src/main/java/com/jeremyliao/liveeventbus/liveevent/SafeIterableMap.java,com.jeremyliao.liveeventbus.liveevent.SafeIterableMap$Entry,getKey/0,false,350,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-v2/liveeventbus-v2/src/main/java/com/jeremyliao/liveeventbus/liveevent/SafeIterableMap.java,com.jeremyliao.liveeventbus.liveevent.SafeIterableMap$Entry,setValue/1[V],false,361,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-v2/liveeventbus-v2/src/main/java/com/jeremyliao/liveeventbus/liveevent/SafeIterableMap.java,com.jeremyliao.liveeventbus.liveevent.SafeIterableMap$Entry,getValue/0,false,356,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-v2/liveeventbus-v2/src/main/java/com/jeremyliao/liveeventbus/liveevent/SafeIterableMap.java,com.jeremyliao.liveeventbus.liveevent.SafeIterableMap$Entry,"Entry/2[K,V]",true,343,3,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/main/java/com/jeremyliao/lebapp/LiveEventBusDemo.java,com.jeremyliao.lebapp.LiveEventBusDemo,sendMsgToStickyReceiver/0,false,158,2,2,0,2,1,3,3,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,14,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/main/java/com/jeremyliao/lebapp/LiveEventBusDemo.java,com.jeremyliao.lebapp.LiveEventBusDemo,testMessageSetBeforeOnCreate/0,false,126,3,4,1,3,1,3,9,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10,2,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/main/java/com/jeremyliao/lebapp/LiveEventBusDemo.java,com.jeremyliao.lebapp.LiveEventBusDemo,closeAll/0,false,171,2,2,0,2,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/main/java/com/jeremyliao/lebapp/LiveEventBusDemo.java,com.jeremyliao.lebapp.LiveEventBusDemo,testObserverActiveLevel/0,false,216,2,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/main/java/com/jeremyliao/lebapp/LiveEventBusDemo.java,com.jeremyliao.lebapp.LiveEventBusDemo,sendMsgByPostValue/0,false,148,2,2,0,2,1,3,3,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,16,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/main/java/com/jeremyliao/lebapp/LiveEventBusDemo.java,com.jeremyliao.lebapp.LiveEventBusDemo,startNewActivity/0,false,167,2,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/main/java/com/jeremyliao/lebapp/LiveEventBusDemo.java,com.jeremyliao.lebapp.LiveEventBusDemo,testBroadcast/0,false,220,2,2,0,2,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/main/java/com/jeremyliao/lebapp/LiveEventBusDemo.java,com.jeremyliao.lebapp.LiveEventBusDemo,onCreate/1[com.jeremyliao.lebapp.Bundle],false,53,8,8,0,8,1,13,53,0,0,1,13,1,1,0,0,0,0,0,0,1,0,0,7,0,0,26,4,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/main/java/com/jeremyliao/lebapp/LiveEventBusDemo.java,com.jeremyliao.lebapp.LiveEventBusDemo,onDestroy/0,false,141,2,2,0,2,1,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/main/java/com/jeremyliao/lebapp/LiveEventBusDemo.java,com.jeremyliao.lebapp.LiveEventBusDemo,sendMessageSetBefore/0,false,212,2,2,0,2,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/main/java/com/jeremyliao/lebapp/LiveEventBusDemo.java,com.jeremyliao.lebapp.LiveEventBusDemo,testMessageSetBefore/0,false,196,3,3,0,3,1,4,10,0,0,0,4,0,0,0,0,0,0,2,0,1,1,0,1,0,0,11,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/main/java/com/jeremyliao/lebapp/LiveEventBusDemo.java,com.jeremyliao.lebapp.LiveEventBusDemo,postValueCountTest/0,false,175,1,1,0,1,2,3,19,0,2,0,3,0,0,1,0,0,0,0,5,4,0,1,2,0,0,30,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/main/java/com/jeremyliao/lebapp/LiveEventBusDemo.java,com.jeremyliao.lebapp.LiveEventBusDemo,sendDemoEvent/0,false,242,3,3,0,3,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/main/java/com/jeremyliao/lebapp/LiveEventBusDemo.java,com.jeremyliao.lebapp.LiveEventBusDemo,testBroadcastGlobal/0,false,232,2,2,0,2,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/main/java/com/jeremyliao/lebapp/LiveEventBusDemo.java,com.jeremyliao.lebapp.LiveEventBusDemo,testBroadcastInApp/0,false,226,2,2,0,2,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/main/java/com/jeremyliao/lebapp/LiveEventBusDemo.java,com.jeremyliao.lebapp.LiveEventBusDemo,sendMsgToForeverObserver/0,false,153,2,2,0,2,1,3,3,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,17,1,0,false
