file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/Kodezi__Chronos/examples/null_pointer/after.java,UserPreferences,toJson/0,false,114,1,1,1,0,2,1,8,2,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,7,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/Kodezi__Chronos/examples/null_pointer/after.java,UserPreferences,getTheme/0,false,110,0,2,2,0,2,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/Kodezi__Chronos/examples/null_pointer/after.java,UserPreferences,createDefault/1[java.lang.Long],false,101,1,1,0,1,1,0,7,1,1,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,9,9,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/Kodezi__Chronos/examples/null_pointer/after.java,UserService,"UserService/2[PreferenceManager,NotificationHandler]",true,6,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/Kodezi__Chronos/examples/null_pointer/after.java,UserService,"updateUserSettings/2[Long,Map<String,Object>]",false,11,4,0,0,0,6,13,18,0,4,2,13,0,0,0,3,0,0,3,0,5,0,1,0,0,0,15,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/Kodezi__Chronos/examples/null_pointer/after.java,UserService,"logUserActivity/3[Long,String,String]",false,42,0,0,0,0,2,1,5,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,2,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/Kodezi__Chronos/examples/null_pointer/after.java,NotificationHandler,"sendSettingsUpdateEmail/2[User,UserPreferences]",false,71,2,0,0,0,7,8,16,2,3,2,8,0,0,0,5,0,0,7,0,3,0,1,0,0,0,17,1,2,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/Kodezi__Chronos/benchmarks/mrr_full_benchmark/artifacts/code_snippets/mrr_syntax_errors_0398_file_10.java,DataManager,DataManager/1[Config],true,5,1,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/Kodezi__Chronos/benchmarks/mrr_full_benchmark/artifacts/code_snippets/mrr_syntax_errors_0398_file_10.java,DataManager,getData/1[String],false,10,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/Kodezi__Chronos/examples/null_pointer/after.java,PreferenceManager,findPreferences/1[Long],false,59,1,0,0,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/Kodezi__Chronos/examples/null_pointer/after.java,PreferenceManager,getPreferences/1[Long],false,53,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/Kodezi__Chronos/examples/null_pointer/after.java,PreferenceManager,save/1[UserPreferences],false,63,0,0,0,0,1,2,4,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,false
