owner,repo,class_count,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std,lcom_star_mean,lcom_star_median,lcom_star_std,loc_mean,loc_median,loc_std
Baseflow,PhotoView,45,4.733333,3.000000,5.544858,1.355556,1.000000,0.570309,24.600000,0.000000,157.258531,0.163227,0.000000,0.298022,39.822222,14.000000,93.546850
Bigkoo,Android-PickerView,91,3.725275,2.000000,5.057593,1.153846,1.000000,0.362800,15.494505,0.000000,90.563590,0.132234,0.000000,0.280681,48.582418,7.000000,112.557646
Blankj,AndroidUtilCode,670,4.168657,2.000000,5.562250,1.364179,1.000000,0.835623,144.953731,0.000000,960.505091,0.236644,0.000000,0.353361,59.694030,14.000000,129.711214
CarGuo,GSYVideoPlayer,674,5.326409,2.000000,6.778845,1.543027,1.000000,1.480559,52.345697,0.000000,301.419511,0.219795,0.000000,0.342243,48.467359,12.000000,91.356622
CodePhiliaX,Chat2DB,1045,6.101435,4.000000,6.871233,1.246890,1.000000,0.475755,16.489952,0.000000,84.836642,0.277995,0.000000,0.344436,33.665072,11.000000,61.006507
DrKLO,Telegram,13115,6.764011,4.000000,12.588714,1.704994,1.000000,18.806990,53.626382,0.000000,755.469268,0.284977,0.125000,0.327431,114.557758,18.000000,818.322265
DuGuQiuBai,Java,617,0.763371,0.000000,1.290231,1.171799,1.000000,0.722762,1.048622,0.000000,5.163015,0.046182,0.000000,0.172722,17.471637,12.000000,22.654368
EnterpriseQualityCoding,FizzBuzzEnterpriseEdition,91,2.901099,2.000000,2.836488,1.000000,1.000000,0.000000,0.230769,0.000000,0.716115,0.043951,0.000000,0.129121,9.824176,9.000000,7.715199
GoogleContainerTools,jib,705,6.910638,4.000000,7.387544,1.221277,1.000000,0.645660,17.100709,0.000000,73.197525,0.314818,0.333333,0.324106,50.276596,28.000000,67.506934
GrowingGit,GitHub-Chinese-Top-Charts,1,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,5.000000,0.000000
JakeWharton,butterknife,272,3.974265,2.000000,6.485527,1.235294,1.000000,0.710857,10.481618,0.000000,75.806461,0.188264,0.000000,0.343925,28.352941,8.000000,91.989172
JeffLi1993,springboot-learning-example,114,4.570175,3.000000,4.048313,1.043860,1.000000,0.244962,2.561404,0.000000,5.688111,0.165423,0.000000,0.271928,14.078947,8.500000,12.751640
JessYanCoding,AndroidAutoSize,49,5.408163,4.000000,4.237326,1.408163,1.000000,0.496587,31.285714,1.000000,136.300220,0.130374,0.000000,0.291809,35.102041,15.000000,56.244720
Konloch,bytecode-viewer,414,4.743961,3.000000,6.339633,2.053140,1.000000,1.839064,13.688406,0.000000,59.061154,0.234229,0.000000,0.328464,52.579710,19.000000,91.691805
LMAX-Exchange,disruptor,410,4.480488,3.000000,4.822103,1.290244,1.000000,0.810175,25.882927,0.000000,224.699486,0.274792,0.000000,0.331474,32.114634,13.000000,66.833289
LSPosed,LSPosed,427,5.529274,3.000000,7.250123,1.646370,1.000000,1.286990,48.114754,0.000000,319.849251,0.199046,0.000000,0.331577,53.751756,12.000000,127.778782
LawnchairLauncher,lawnchair,3502,10.816676,5.000000,15.459748,1.562536,1.000000,1.137229,193.403484,1.000000,2251.326946,0.337805,0.000000,0.381770,80.971445,21.000000,189.006431
LuckSiege,PictureSelector,737,5.156038,2.000000,8.657983,1.237449,1.000000,0.669042,49.449118,0.000000,372.185756,0.181517,0.000000,0.328512,53.056988,12.000000,136.203680
MisterBooo,LeetCodeAnimation,4,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.000000,0.100000,18.750000,17.000000,8.180261
Netflix,Hystrix,2005,3.301746,2.000000,5.188389,1.566085,1.000000,3.586436,20.253865,0.000000,385.241306,0.111436,0.000000,0.251457,30.927681,8.000000,143.697513
Netflix,conductor,664,7.442771,5.000000,8.197397,1.254518,1.000000,0.562780,78.674699,0.000000,646.673280,0.309925,0.227778,0.336028,70.861446,28.000000,143.455278
Netflix,eureka,747,5.927711,4.000000,6.509026,1.269076,1.000000,0.703225,18.613119,0.000000,134.185315,0.231207,0.000000,0.315964,44.951807,18.000000,83.486881
Netflix,zuul,520,6.563462,4.000000,7.783673,1.609615,1.000000,1.014112,24.998077,1.000000,138.632330,0.238621,0.000000,0.318924,43.092308,20.000000,68.034582
OpenAPITools,openapi-generator,4416,5.015399,3.000000,5.819228,1.230072,1.000000,0.635001,86.941576,0.000000,1128.329450,0.292503,0.000000,0.381376,59.307971,18.000000,178.947629
PhilJay,MPAndroidChart,306,8.843137,5.000000,10.006632,1.980392,1.000000,1.230597,91.032680,1.000000,517.797244,0.322849,0.000000,0.367572,68.990196,25.000000,98.047780
ReactiveX,RxAndroid,55,2.272727,1.000000,3.788162,1.127273,1.000000,0.432672,3.090909,0.000000,11.233668,0.070831,0.000000,0.199039,26.400000,6.000000,80.565731
ReactiveX,RxJava,11897,2.335967,1.000000,5.185887,1.329999,1.000000,0.918521,47.888123,0.000000,1822.914907,0.071926,0.000000,0.210593,31.380264,5.000000,103.849869
SeleniumHQ,selenium,2085,5.732374,4.000000,6.909709,1.382254,1.000000,1.056091,33.501199,1.000000,285.340384,0.210388,0.000000,0.310851,47.727578,20.000000,81.917042
Snailclimb,JavaGuide,3,2.333333,0.000000,4.041452,1.000000,1.000000,0.000000,14.333333,0.000000,24.826062,0.433333,0.433333,0.612826,100.000000,10.000000,161.108659
Team-xManager,xManager,524,2.017176,2.000000,2.604176,1.020992,1.000000,0.242553,4.732824,0.000000,69.899034,0.012640,0.000000,0.093239,41.645038,7.000000,523.936939
TeamNewPipe,NewPipe,504,8.664683,5.000000,10.618294,1.718254,1.000000,1.145474,47.873016,1.000000,249.401374,0.347864,0.200000,0.368969,77.156746,26.000000,151.017376
Tencent,APIJSON,70,5.914286,3.000000,8.672366,1.242857,1.000000,0.668889,1169.328571,5.500000,5422.455457,0.517894,0.805556,0.462015,198.957143,19.000000,617.593376
Tencent,QMUI_Android,1066,5.468105,3.000000,6.563909,1.629456,1.000000,1.340112,35.342402,0.000000,197.898798,0.216902,0.000000,0.340381,54.698874,11.000000,138.046955
Tencent,tinker,520,4.794231,3.000000,7.112769,1.603846,1.000000,2.505636,28.442308,0.000000,110.997355,0.320120,0.000000,0.370141,77.771154,28.000000,137.620025
TheAlgorithms,Java,1771,2.076228,2.000000,1.471136,1.038396,1.000000,0.259714,11.204969,1.000000,37.121731,0.101557,0.000000,0.216444,41.143986,28.000000,43.087575
YunaiV,ruoyi-vue-pro,5067,8.182751,6.000000,7.607536,1.224196,1.000000,0.438773,13.586540,0.000000,435.901782,0.271734,0.000000,0.336673,26.120979,11.000000,48.555975
YunaiV,yudao-cloud,5114,8.158584,6.000000,7.554048,1.215096,1.000000,0.432268,13.450528,0.000000,433.896463,0.267970,0.000000,0.336139,25.543606,11.000000,47.992276
airbnb,lottie-android,291,6.965636,5.000000,8.348375,1.288660,1.000000,0.647948,35.800687,0.000000,302.485374,0.322763,0.100000,0.353703,62.402062,24.000000,122.738690
alibaba,ARouter,98,3.704082,2.000000,4.966297,1.408163,1.000000,0.784341,17.448980,0.000000,83.332661,0.192098,0.000000,0.329898,32.295918,10.000000,57.987949
alibaba,COLA,559,4.336315,3.000000,4.520914,1.327370,1.000000,0.714784,4.974955,0.000000,18.320311,0.202657,0.000000,0.319012,17.207513,11.000000,20.139475
alibaba,DataX,1222,4.427169,3.000000,5.684513,1.706219,1.000000,1.498438,22.648936,0.000000,185.315969,0.326641,0.250000,0.336235,66.443535,25.000000,104.121777
alibaba,Sentinel,1519,4.430546,3.000000,4.584474,1.181040,1.000000,0.658988,12.414747,0.000000,46.683716,0.223835,0.000000,0.323006,36.638578,20.000000,48.211454
alibaba,arthas,1343,4.754281,3.000000,5.948043,1.363366,1.000000,0.754854,30.198809,0.000000,149.869834,0.302046,0.000000,0.350612,48.837677,20.000000,89.250107
alibaba,canal,1054,5.741935,4.000000,6.346875,1.383302,1.000000,0.827556,77.034156,1.000000,466.328643,0.365855,0.285714,0.380590,106.969639,30.000000,367.803174
alibaba,druid,5969,5.246607,4.000000,13.008729,1.652036,2.000000,0.924448,229.354498,0.000000,5182.854580,0.151773,0.000000,0.291988,58.615011,21.000000,266.931686
alibaba,easyexcel,560,6.146429,5.000000,5.474284,1.375000,1.000000,0.834466,32.025000,1.000000,355.668464,0.280127,0.000000,0.336693,36.687500,15.000000,65.136740
alibaba,fastjson,6327,1.854275,1.000000,2.779141,1.504188,1.000000,0.712966,126.121226,0.000000,3281.966339,0.136490,0.000000,0.273840,32.637269,13.000000,156.114219
alibaba,nacos,5071,5.375271,3.000000,6.520894,1.274502,1.000000,0.655713,21.886807,1.000000,277.697784,0.274325,0.000000,0.325129,47.456912,23.000000,77.688244
alibaba,spring-cloud-alibaba,595,5.926050,5.000000,4.964308,1.109244,1.000000,0.352717,29.887395,0.000000,310.826598,0.227977,0.000000,0.319496,32.752941,16.000000,67.727801
amitshekhariitbhu,android-interview-questions,1,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,5.000000,0.000000
android-hacker,VirtualXposed,1453,3.946318,2.000000,5.398309,2.792842,2.000000,11.858633,14.695802,0.000000,128.637588,0.135507,0.000000,0.288251,32.853407,8.000000,89.087731
android10,Android-CleanArchitecture,105,5.142857,4.000000,4.670753,1.428571,1.000000,0.705162,6.723810,1.000000,23.217821,0.247121,0.000000,0.327870,21.523810,13.000000,27.089629
antlr,antlr4,662,5.888218,3.000000,7.441525,1.817221,1.000000,1.168733,48.302115,0.000000,192.863428,0.278602,0.000000,0.362772,61.966767,20.000000,114.813927
apache,dolphinscheduler,2722,6.551433,5.000000,6.417466,1.372888,1.000000,0.679548,11.750918,0.000000,59.070670,0.235104,0.000000,0.320754,35.536003,14.000000,63.350669
apache,doris,9388,8.517150,5.000000,19.975030,1.699297,1.000000,1.211435,125.107478,1.000000,3027.490133,0.342085,0.166667,0.369975,74.335322,26.000000,189.005676
apache,druid,14996,7.879168,5.000000,9.292616,1.377367,1.000000,1.814055,62.533609,1.000000,4492.179186,0.276685,0.000000,0.327844,52.250267,24.000000,103.725932
apache,dubbo,4971,5.451821,4.000000,5.842900,1.293703,1.000000,0.706850,45.766244,1.000000,434.958098,0.259770,0.000000,0.342926,51.571112,20.000000,101.280668
apache,flink,25297,7.213938,5.000000,8.706808,1.634463,1.000000,2.143003,35.523026,1.000000,1178.330107,0.315173,0.000000,0.361112,46.857888,19.000000,102.168200
