file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-tests/src/test/java/com/facebook/presto/tests/TestMinWorkerRequirement.java,com.facebook.presto.tests.TestMinWorkerRequirement,class,3,3,0,3,4,1,0,17,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,4,0,29,6,3,0,3,2,0,0,0,42,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/test/java/com/facebook/presto/type/TestBigintOperators.java,com.facebook.presto.type.TestBigintOperators,class,2,2,0,2,30,2,0,6,435,0.0,0.0,0.0,30,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,5,157,0,0,0,0,0,104,63,1,21,1,0,0,0,0,83,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-hive-metastore/src/main/java/com/facebook/presto/hive/SchemaAlreadyExistsException.java,com.facebook.presto.hive.SchemaAlreadyExistsException,class,1,2,1,1,3,2,0,1,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,13,1,0,0,0,0,1,0,1,0,1,0,0,0,0,10,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/main/java/com/facebook/presto/sql/planner/sanity/VerifyOnlyOneOutputNode.java,com.facebook.presto.sql.planner.sanity.VerifyOnlyOneOutputNode,class,7,8,1,7,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,1,1,0,1,0,0,0,0,25,17,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/main/java/com/facebook/presto/operator/PageBufferClient.java,com.facebook.presto.operator.PageBufferClient$PagesResponse,innerclass,2,2,0,2,9,1,0,6,2,0.5777778,0.0,0.0,9,2,8,1,0,0,8,0,0,0,5,0,0,5,0,0,5,0,0,38,8,0,0,0,0,4,0,5,0,5,0,0,0,0,22,9,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-hive/src/test/java/com/facebook/presto/hive/TestBackgroundHiveSplitLoader.java,com.facebook.presto.hive.TestBackgroundHiveSplitLoader$TestingHdfsFileSystem,innerclass,10,10,0,10,13,2,0,1,78,0.9230769,0.0,0.0,13,0,13,0,0,0,13,0,0,0,1,0,0,1,0,0,1,0,0,51,1,0,0,0,0,0,0,1,0,1,0,1,0,0,44,10,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-hudi/src/main/java/com/facebook/presto/hudi/HudiErrorCode.java,com.facebook.presto.hudi.HudiErrorCode,enum,2,2,0,2,2,1,0,1,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,0,8,1,1,1,0,0,0,0,32,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-spark-base/src/main/java/com/facebook/presto/spark/execution/nativeprocess/NativeExecutionModule.java,com.facebook.presto.spark.execution.nativeprocess.NativeExecutionModule$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-proxy/src/main/java/com/facebook/presto/proxy/ProxyModule.java,com.facebook.presto.proxy.ProxyModule,class,6,8,2,6,1,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-spark-base/src/main/java/com/facebook/presto/spark/execution/nativeprocess/NativeExecutionModule.java,com.facebook.presto.spark.execution.nativeprocess.NativeExecutionModule$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
