file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src/test/java/io/vavr/collection/euler/Euler04Test.java,io.vavr.collection.euler.Euler04Test,class,7,8,1,7,3,1,0,10,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,9,1,0,0,0,0,0,6,0,1,2,0,0,0,2,43,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src/test/java/io/vavr/collection/IntMultimap.java,io.vavr.collection.IntMultimap$1SpliteratorProxy,innerclass,3,3,0,3,7,1,0,6,0,0.16666667,0.0,0.0,6,0,5,1,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,24,5,0,0,0,0,0,0,1,0,2,1,0,0,1,20,0,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src-gen/main/java/io/vavr/API.java,io.vavr.API$For2List,innerclass,5,5,0,5,2,1,0,4,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,2,0,0,2,0,0,2,0,1,12,1,0,0,0,0,1,0,2,0,4,0,0,0,2,37,9,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src/test/java/io/vavr/collection/AbstractSortedSetTest.java,io.vavr.collection.AbstractSortedSetTest,class,10,13,3,10,24,5,2,28,276,0.0,0.0,0.0,24,0,19,0,5,0,24,5,0,0,0,0,0,0,0,0,0,0,16,65,0,0,0,0,0,3,66,5,0,5,0,0,0,0,79,1025,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src/test/java/io/vavr/control/EitherTest.java,io.vavr.control.EitherTest$TraverseTests,innerclass,7,7,0,7,6,1,0,20,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,19,29,0,0,0,0,0,12,8,12,0,13,0,0,0,2,24,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src/test/java/io/vavr/collection/euler/Euler12Test.java,io.vavr.collection.euler.Euler12Test,class,6,7,1,6,5,1,0,11,6,0.0,NaN,NaN,4,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,15,3,0,0,0,0,0,6,0,1,3,0,0,0,2,67,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src-gen/main/java/io/vavr/API.java,io.vavr.API$ForLazy5Future,innerclass,13,13,0,13,2,1,0,11,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,5,0,0,5,0,0,5,0,1,30,5,0,0,0,0,1,0,5,0,10,4,0,0,5,81,9,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src/main/java/io/vavr/collection/Tree.java,io.vavr.collection.Tree,interface,28,37,9,28,128,1,0,129,3741,1.0,0.0,0.0,87,14,0,0,0,87,87,0,0,0,1,0,0,0,0,1,0,0,111,593,106,0,0,0,1,47,8,15,3,29,2,0,3,11,377,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src/test/java/io/vavr/collection/euler/PrimeNumbers.java,io.vavr.collection.euler.PrimeNumbers,class,10,16,6,10,6,1,0,18,6,0.75,0.0,0.0,4,3,0,1,0,3,3,0,0,0,1,1,0,1,0,0,1,0,13,19,4,0,2,0,0,0,5,1,4,6,1,0,0,6,19,16,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src/main/java/io/vavr/collection/TreeMap.java,io.vavr.collection.TreeMap,class,26,39,13,26,161,1,0,139,9141,0.8943662,0.0,0.0,142,59,127,15,0,0,127,0,0,0,2,1,0,2,0,0,2,0,214,607,145,8,1,0,2,53,4,40,2,48,2,0,1,14,264,17,0
