owner,repo,full_name,html_url,stargazers_count,forks_count,open_issues_count,language,created_at,pushed_at,default_branch,total_prs,review_probe_pr,review_probe_state,review_probe_human_reviewer
codecrafters-io,build-your-own-x,codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,498084,47198,473,Markdown,2018-05-09T12:03:18Z,2026-02-21T09:34:54Z,master,558,1740,APPROVED,atacanjacques
sindresorhus,awesome,sindresorhus/awesome,https://github.com/sindresorhus/awesome,460241,34532,67,,2014-07-11T13:42:37Z,2026-04-19T17:04:38Z,main,2387,4115,COMMENTED,wrightderek658-cell
freeCodeCamp,freeCodeCamp,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,443875,44417,180,TypeScript,2014-12-24T17:49:19Z,2026-04-29T18:06:57Z,main,44365,67172,APPROVED,huyenltnguyen
EbookFoundation,free-programming-books,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,387141,66182,78,Python,2013-10-11T06:50:37Z,2026-04-24T13:32:32Z,main,11393,13233,CHANGES_REQUESTED,eshellman
openclaw,openclaw,openclaw/openclaw,https://github.com/openclaw/openclaw,366356,75145,6879,TypeScript,2025-11-24T10:16:47Z,2026-04-29T23:04:01Z,main,40096,74359,COMMENTED,fede-kamel
donnemartin,system-design-primer,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,346237,55868,529,Python,2017-02-26T16:15:28Z,2026-03-20T01:52:19Z,master,648,1172,COMMENTED,Shramkoweb
jwasham,coding-interview-university,jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,343261,82280,104,,2016-06-06T02:34:12Z,2025-08-28T14:42:47Z,main,1026,2078,COMMENTED,andrzejsydor
vinta,awesome-python,vinta/awesome-python,https://github.com/vinta/awesome-python,295075,27793,18,Python,2014-06-27T21:00:06Z,2026-04-27T15:58:22Z,master,1427,3094,APPROVED,vinta
awesome-selfhosted,awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,288901,13304,0,,2015-06-01T02:33:17Z,2026-04-27T18:44:38Z,master,2990,4198,CHANGES_REQUESTED,klpx
996icu,996.ICU,996icu/996.ICU,https://github.com/996icu/996.ICU,276100,20890,16694,,2019-03-26T07:31:14Z,2025-08-22T06:01:29Z,master,1920,26142,COMMENTED,edooky72-pixel
