owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
3b1b,manim,3b1b/manim,2328,https://github.com/3b1b/manim/pull/2328,Fix error when using `VFadeIn` (and its subclasses),MERGED,2025-03-24T01:21:30Z,2025-06-10T15:11:47Z,2025-06-10T15:11:47Z,1885.838056,6396,2,2,2,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,irvanalhaq9,2025-06-10T15:04:13Z,930,10,95,0.050000
3b1b,manim,3b1b/manim,1871,https://github.com/3b1b/manim/pull/1871,Create fourier.py,CLOSED,2022-09-30T01:08:07Z,2022-09-30T14:36:32Z,2022-09-30T14:36:32Z,13.473611,54,1,1080,0,1080,0,0,0,0,1,NO_REVIEW,no_review,,,no,CaftBotti,,930,10,95,0.050000
3b1b,manim,3b1b/manim,557,https://github.com/3b1b/manim/pull/557,Add installation documentation for ubuntu,MERGED,2019-05-28T05:54:36Z,2019-05-28T08:09:01Z,2019-05-28T08:09:01Z,2.240278,218,1,38,1,39,1,0,1,0,1,NO_REVIEW,no_review,,,no,Kolloom,2019-05-28T08:09:01Z,930,10,95,0.050000
3b1b,manim,3b1b/manim,418,https://github.com/3b1b/manim/pull/418,Scene file writer refactor,MERGED,2019-01-25T06:38:30Z,2019-01-25T06:38:37Z,2019-01-25T06:38:37Z,0.001944,582,21,1440,549,1989,0,0,0,0,1,NO_REVIEW,no_review,,,no,3b1b,2019-01-25T06:38:37Z,930,10,95,0.050000
3b1b,manim,3b1b/manim,405,https://github.com/3b1b/manim/pull/405,updated the docker file to use fewer layers.,MERGED,2019-01-16T10:14:18Z,2019-01-18T17:03:18Z,2019-01-18T17:03:18Z,54.816667,121,1,5,18,23,0,0,0,0,1,NO_REVIEW,no_review,,,no,govindKAG,2019-01-18T17:03:18Z,930,10,95,0.050000
3b1b,manim,3b1b/manim,303,https://github.com/3b1b/manim/pull/303,updated some breaking scenes to python3,MERGED,2018-09-19T03:29:19Z,2018-12-11T07:12:06Z,2018-12-11T07:12:06Z,1995.713056,113,39,82,81,163,4,0,4,0,1,NO_REVIEW,no_review,,,no,ishandutta2007,2018-09-19T17:23:43Z,930,10,95,0.050000
3b1b,manim,3b1b/manim,203,https://github.com/3b1b/manim/pull/203,Wallis g,MERGED,2018-04-11T02:48:31Z,2018-04-11T02:48:41Z,2018-04-11T02:48:41Z,0.002778,0,4,811,56,867,0,0,0,0,1,NO_REVIEW,no_review,,,no,3b1b,2018-04-11T02:48:41Z,930,10,95,0.050000
3b1b,manim,3b1b/manim,196,https://github.com/3b1b/manim/pull/196,Eola2,MERGED,2018-04-06T20:09:45Z,2018-04-06T20:09:54Z,2018-04-06T20:09:54Z,0.002500,0,8,529,223,752,0,0,0,0,1,NO_REVIEW,no_review,,,no,3b1b,2018-04-06T20:09:53Z,930,10,95,0.050000
3b1b,manim,3b1b/manim,166,https://github.com/3b1b/manim/pull/166,Pi day 2018,MERGED,2018-03-15T01:13:27Z,2018-03-15T01:21:18Z,2018-03-15T01:21:18Z,0.130833,0,2,225,0,225,0,0,0,0,1,NO_REVIEW,no_review,,,no,3b1b,2018-03-15T01:13:55Z,930,10,95,0.050000
3b1b,manim,3b1b/manim,79,https://github.com/3b1b/manim/pull/79,"Update extract_scene.py args to better support previewing, showing in…",MERGED,2018-01-20T01:32:04Z,2018-01-20T01:32:10Z,2018-01-20T01:32:10Z,0.001667,36,2,38,24,62,0,0,0,0,1,NO_REVIEW,no_review,,,no,3b1b,2018-01-20T01:32:09Z,930,10,95,0.050000
