owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
996icu,996.ICU,996icu/996.ICU,26148,https://github.com/996icu/996.ICU/pull/26148,upload zte image,open,2025-05-01T07:48:37Z,2025-09-26T05:46:26Z,2025-09-26T05:46:26Z,3549.963611,15,9,0,0,0,0,0,0,0,1,NO_REVIEW,no_review,,,no,nsynet,,1920,300,95,0.050000
996icu,996.ICU,996icu/996.ICU,26150,https://github.com/996icu/996.ICU/pull/26150,docs: add links to other language versions of README,open,2025-06-10T13:09:07Z,2025-09-26T03:55:01Z,2025-09-26T03:55:01Z,2582.765000,154,1,9,1,10,1,0,1,0,1,NO_REVIEW,no_review,,,no,dowithless,,1920,300,95,0.050000
996icu,996.ICU,996icu/996.ICU,26144,https://github.com/996icu/996.ICU/pull/26144,*,closed,2025-02-05T16:41:28Z,2025-02-20T00:37:24Z,2025-02-20T00:37:24Z,343.932222,15,1,370,0,370,0,0,0,0,1,NO_REVIEW,no_review,,,no,Cabinet716,,1920,300,95,0.050000
996icu,996.ICU,996icu/996.ICU,26138,https://github.com/996icu/996.ICU/pull/26138,Amazing new feature,closed,2024-09-23T01:29:45Z,2024-09-23T01:30:52Z,2024-09-23T01:30:52Z,0.018611,37,3,18,0,18,0,0,0,0,1,NO_REVIEW,no_review,,,no,fxtrading2024,,1920,300,95,0.050000
996icu,996.ICU,996icu/996.ICU,26136,https://github.com/996icu/996.ICU/pull/26136,Amazing new feature,closed,2024-08-18T01:10:11Z,2024-08-18T01:10:34Z,2024-08-18T01:10:34Z,0.006389,37,3,17,0,17,0,0,0,0,1,NO_REVIEW,no_review,,,no,Android202406,,1920,300,95,0.050000
996icu,996.ICU,996icu/996.ICU,26134,https://github.com/996icu/996.ICU/pull/26134,Adding a new file,closed,2024-07-11T09:53:34Z,2024-07-11T10:09:37Z,2024-07-11T10:09:37Z,0.267500,0,1,3,0,3,1,0,1,0,1,NO_REVIEW,no_review,,,no,fangyaoyu2021,,1920,300,95,0.050000
996icu,996.ICU,996icu/996.ICU,26115,https://github.com/996icu/996.ICU/pull/26115,GitHub被墙,closed,2024-01-24T16:20:40Z,2024-04-07T16:02:44Z,2024-04-07T16:02:44Z,1775.701111,567,0,0,0,0,11,0,11,0,1,NO_REVIEW,no_review,,,no,alexgit886,,1920,300,95,0.050000
996icu,996.ICU,996icu/996.ICU,26105,https://github.com/996icu/996.ICU/pull/26105,【辟谣】程渊不是996.ICU项目发起人，定罪原因也是涉及到十几万美元的境外资金,closed,2023-06-16T03:50:09Z,2023-06-16T19:12:05Z,2023-06-16T19:12:05Z,15.365556,1360,1,1,1,2,37,0,37,1,2,APPROVED,positive,APPROVED,FrankiePA,yes,loading32w,,1920,300,95,0.050000
996icu,996.ICU,996icu/996.ICU,26102,https://github.com/996icu/996.ICU/pull/26102,程渊是子项目 action 和 law 的发起人，而非整个项目发起人,closed,2023-06-16T00:36:44Z,2023-06-16T19:10:29Z,2023-06-16T19:10:29Z,18.562500,699,1,1,1,2,4,0,4,0,1,NO_REVIEW,no_review,,,no,fakrjfraewi,,1920,300,95,0.050000
996icu,996.ICU,996icu/996.ICU,26079,https://github.com/996icu/996.ICU/pull/26079,Add 北京朝夕光年信息技术有限公司 to blacklist,closed,2022-05-10T20:25:53Z,2023-06-16T19:07:36Z,2023-06-16T19:07:36Z,9646.695278,0,1,1,0,1,9,1,10,0,1,NO_REVIEW,no_review,,,no,lovediana123,,1920,300,95,0.050000
