owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
AUTOMATIC1111,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,10465,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/10465,Bump pytorch to 2.0 for AMD Users on Linux,MERGED,2023-05-17T09:08:36Z,2024-05-09T12:29:35Z,2024-05-09T12:29:35Z,8595.349722,856,1,1,3,4,8,0,8,1,2,APPROVED,positive,APPROVED,AUTOMATIC1111,yes,baptisterajaut,2023-05-18T07:26:57Z,3325,10,95,0.050000
AUTOMATIC1111,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,14646,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/14646,Pull,CLOSED,2024-01-14T23:50:26Z,2024-01-14T23:57:05Z,2024-01-14T23:57:05Z,0.110833,304,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,colincormier,,3325,10,95,0.050000
AUTOMATIC1111,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,14300,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/14300,Fix wrong implementation in network_oft,MERGED,2023-12-13T17:50:46Z,2023-12-14T06:40:05Z,2023-12-14T06:40:05Z,12.821944,1010,1,11,26,37,0,0,0,1,2,APPROVED,positive,APPROVED,AUTOMATIC1111,yes,KohakuBlueleaf,2023-12-14T06:39:57Z,3325,10,95,0.050000
AUTOMATIC1111,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,13559,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/13559,keep infotext_params to shared,CLOSED,2023-10-09T02:42:12Z,2023-10-14T04:51:10Z,2023-10-14T04:51:10Z,122.149444,286,5,23,10,33,2,0,2,0,1,NO_REVIEW,no_review,,,no,liubo0902,,3325,10,95,0.050000
AUTOMATIC1111,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,11293,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/11293,Ignore the change of deforum settings,CLOSED,2023-06-18T07:19:50Z,2023-06-18T07:33:48Z,2023-06-18T07:33:48Z,0.232778,446,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,jiabailie,,3325,10,95,0.050000
AUTOMATIC1111,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,10089,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/10089,Fix some Lora's not working,MERGED,2023-05-04T14:19:10Z,2023-06-13T09:22:35Z,2023-06-13T09:22:35Z,955.056944,341,1,5,1,6,0,0,0,1,2,APPROVED,positive,APPROVED,AUTOMATIC1111,yes,Mozoloa,2023-05-08T05:45:26Z,3325,10,95,0.050000
AUTOMATIC1111,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,9334,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/9334,allow styles.csv to be symlinked or mounted in docker,MERGED,2023-04-03T16:26:29Z,2023-04-29T13:14:56Z,2023-04-29T13:14:56Z,620.807500,778,1,5,7,12,1,0,1,1,2,APPROVED,positive,APPROVED,AUTOMATIC1111,yes,gmasil,2023-04-29T13:14:55Z,3325,10,95,0.050000
AUTOMATIC1111,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,6097,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/6097,Fix CLIP Tokenizer so that padding and special tokens are correct,CLOSED,2022-12-29T03:52:54Z,2023-01-04T12:11:03Z,2023-01-04T12:11:03Z,152.302500,1451,1,7,4,11,15,0,15,0,1,NO_REVIEW,no_review,,,no,ProGamerGov,,3325,10,95,0.050000
AUTOMATIC1111,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,3479,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/3479,"after initial launch, disable --autolaunch for subsequent restarts",MERGED,2022-10-23T07:55:32Z,2022-10-23T09:35:43Z,2022-10-23T09:35:43Z,1.669722,479,1,2,0,2,0,0,0,1,2,APPROVED,positive,APPROVED,AUTOMATIC1111,yes,w-e-w,2022-10-23T09:34:16Z,3325,10,95,0.050000
AUTOMATIC1111,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,2146,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/2146,remove ui,CLOSED,2022-10-10T06:30:50Z,2022-10-10T06:33:05Z,2022-10-10T06:33:05Z,0.037500,0,2,1,3,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,xhoantran,,3325,10,95,0.050000
