owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
Anduin2017,HowToCook,Anduin2017/HowToCook,1644,https://github.com/Anduin2017/HowToCook/pull/1644,Cocina Colombiana,CLOSED,2025-07-08T22:15:52Z,2025-07-21T08:23:17Z,2025-07-21T08:23:17Z,298.123611,322,86,6946,0,6946,0,0,0,0,1,NO_REVIEW,no_review,,,no,iberi22,,862,10,95,0.050000
Anduin2017,HowToCook,Anduin2017/HowToCook,1628,https://github.com/Anduin2017/HowToCook/pull/1628,农家一碗香菜谱的错误,MERGED,2025-06-22T12:23:53Z,2025-06-23T03:45:21Z,2025-06-23T03:45:21Z,15.357778,328,1,1,1,2,1,0,1,1,2,APPROVED,positive,APPROVED,Anduin2017,yes,xiaoyu777-coder,2025-06-23T03:45:17Z,862,10,95,0.050000
Anduin2017,HowToCook,Anduin2017/HowToCook,1575,https://github.com/Anduin2017/HowToCook/pull/1575,Add MCP server implementation and required dependencies,CLOSED,2025-05-02T22:16:59Z,2025-05-03T04:56:39Z,2025-05-03T04:56:39Z,6.661111,322,2,200,0,200,2,0,2,0,1,NO_REVIEW,no_review,,,no,guocity,,862,10,95,0.050000
Anduin2017,HowToCook,Anduin2017/HowToCook,1084,https://github.com/Anduin2017/HowToCook/pull/1084,麻婆豆腐补充，添加可选用料牛肉与花椒油/藤椒油,MERGED,2022-07-19T03:37:12Z,2022-07-22T07:22:33Z,2022-07-22T07:22:33Z,75.755833,322,1,6,3,9,0,0,0,2,3,APPROVED,positive,APPROVED|APPROVED,danny900714|Anduin2017,yes,tian3rd,2022-07-20T14:49:42Z,862,10,95,0.050000
Anduin2017,HowToCook,Anduin2017/HowToCook,1079,https://github.com/Anduin2017/HowToCook/pull/1079,fix: 修正柱候牛腩配比过量,MERGED,2022-07-17T17:48:20Z,2022-07-17T17:55:09Z,2022-07-17T17:55:09Z,0.113611,322,1,15,15,30,0,0,0,0,1,NO_REVIEW,no_review,,,no,14n2,2022-07-17T17:55:09Z,862,10,95,0.050000
Anduin2017,HowToCook,Anduin2017/HowToCook,1055,https://github.com/Anduin2017/HowToCook/pull/1055,增加葱油桂鱼的做法,CLOSED,2022-06-26T07:49:37Z,2022-06-26T08:04:57Z,2022-06-26T08:04:57Z,0.255556,322,4,66,0,66,1,0,1,0,1,NO_REVIEW,no_review,,,no,taiziye,,862,10,95,0.050000
Anduin2017,HowToCook,Anduin2017/HowToCook,873,https://github.com/Anduin2017/HowToCook/pull/873,新增提拉米苏-朗姆酒用量,MERGED,2022-04-08T03:44:45Z,2022-04-08T07:05:45Z,2022-04-08T07:05:45Z,3.350000,328,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,Chilly712,2022-04-08T07:05:39Z,862,10,95,0.050000
Anduin2017,HowToCook,Anduin2017/HowToCook,398,https://github.com/Anduin2017/HowToCook/pull/398,新增 拔丝白果 又名 酥黄菜,CLOSED,2022-02-23T07:50:50Z,2022-02-25T09:20:47Z,2022-02-25T09:20:47Z,49.499167,469,2,56,0,56,2,0,2,6,3,CHANGES_REQUESTED,negative,COMMENTED|APPROVED|CHANGES_REQUESTED|APPROVED|CHANGES_REQUESTED|CHANGES_REQUESTED,yyzclyang|Anduin2017|Anduin2017|Anduin2017|Anduin2017|Anduin2017,yes,laoliang,,862,10,95,0.050000
Anduin2017,HowToCook,Anduin2017/HowToCook,450,https://github.com/Anduin2017/HowToCook/pull/450,新增茶叶蛋食谱，Update readme菜品归类,MERGED,2022-02-24T02:31:17Z,2022-02-24T04:11:11Z,2022-02-24T04:11:11Z,1.665000,469,2,50,1,51,0,0,0,1,2,APPROVED,positive,APPROVED,Anduin2017,yes,anyanf,2022-02-24T04:11:11Z,862,10,95,0.050000
Anduin2017,HowToCook,Anduin2017/HowToCook,151,https://github.com/Anduin2017/HowToCook/pull/151,Added 咕噜肉,CLOSED,2022-02-21T03:09:53Z,2022-02-21T07:21:20Z,2022-02-21T07:21:20Z,4.190833,0,2,170,113,283,0,0,0,3,2,COMMENTED,neutral,CHANGES_REQUESTED|COMMENTED|COMMENTED,Anduin2017|wentata|Anduin2017,yes,wentata,,862,10,95,0.050000
