owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
AppFlowy-IO,AppFlowy,AppFlowy-IO/AppFlowy,8627,https://github.com/AppFlowy-IO/AppFlowy/pull/8627,Add Cmd/Ctrl + D shortcut for duplicating document blocks #8578 ,OPEN,2026-04-05T18:05:54Z,2026-04-08T23:03:47Z,2026-04-08T23:03:47Z,76.964722,2056,4,192,0,192,2,0,2,1,2,COMMENTED,neutral,COMMENTED,sourcery-ai,yes,acarolinacc,,4489,10,95,0.050000
AppFlowy-IO,AppFlowy,AppFlowy-IO/AppFlowy,7673,https://github.com/AppFlowy-IO/AppFlowy/pull/7673,fix: icon and emoji don't align in the mention page menu.,MERGED,2025-04-02T03:07:03Z,2025-04-09T01:39:35Z,2025-04-09T01:39:35Z,166.542222,744,7,33,24,57,1,0,1,2,3,COMMENTED,neutral,COMMENTED|COMMENTED,sourcery-ai|asjqkkkk,yes,LucasXu0,2025-04-09T01:39:35Z,4489,10,95,0.050000
AppFlowy-IO,AppFlowy,AppFlowy-IO/AppFlowy,6630,https://github.com/AppFlowy-IO/AppFlowy/pull/6630,fix: import interfaces and error message,MERGED,2024-10-27T07:07:43Z,2024-10-28T03:35:07Z,2024-10-28T03:35:07Z,20.456667,282,5,69,7,76,1,0,1,0,1,NO_REVIEW,no_review,,,no,qinluhe,2024-10-28T03:34:56Z,4489,10,95,0.050000
AppFlowy-IO,AppFlowy,AppFlowy-IO/AppFlowy,6216,https://github.com/AppFlowy-IO/AppFlowy/pull/6216,fix: open duplicate entrance and fixed some issues,MERGED,2024-09-06T08:52:16Z,2024-09-07T05:35:59Z,2024-09-07T05:35:59Z,20.728611,282,36,565,282,847,1,0,1,0,1,NO_REVIEW,no_review,,,no,qinluhe,2024-09-07T05:35:51Z,4489,10,95,0.050000
AppFlowy-IO,AppFlowy,AppFlowy-IO/AppFlowy,4889,https://github.com/AppFlowy-IO/AppFlowy/pull/4889,fix: version bump sheet package,MERGED,2024-03-13T06:39:14Z,2024-03-13T09:05:52Z,2024-03-13T09:05:52Z,2.443889,297,2,6,6,12,0,0,0,0,1,NO_REVIEW,no_review,,,no,richardshiue,2024-03-13T07:02:23Z,4489,10,95,0.050000
AppFlowy-IO,AppFlowy,AppFlowy-IO/AppFlowy,4302,https://github.com/AppFlowy-IO/AppFlowy/pull/4302,feat: appflowy_web build,MERGED,2024-01-04T12:50:47Z,2024-01-06T03:50:05Z,2024-01-06T03:50:05Z,38.988333,282,49,4801,123,4924,0,0,0,0,1,NO_REVIEW,no_review,,,no,qinluhe,2024-01-06T03:50:05Z,4489,10,95,0.050000
AppFlowy-IO,AppFlowy,AppFlowy-IO/AppFlowy,4235,https://github.com/AppFlowy-IO/AppFlowy/pull/4235,fix: group name edit issue in mobile,MERGED,2023-12-28T20:59:15Z,2023-12-29T15:51:39Z,2023-12-29T15:51:39Z,18.873333,399,2,7,2,9,0,0,0,0,1,NO_REVIEW,no_review,,,no,hyj1204,2023-12-29T01:46:10Z,4489,10,95,0.050000
AppFlowy-IO,AppFlowy,AppFlowy-IO/AppFlowy,1373,https://github.com/AppFlowy-IO/AppFlowy/pull/1373,fix: copy link and code style,MERGED,2022-10-26T12:17:22Z,2022-10-28T02:50:11Z,2022-10-28T02:50:11Z,38.546944,0,1,20,5,25,0,0,0,0,1,NO_REVIEW,no_review,,,no,LucasXu0,2022-10-27T07:22:55Z,4489,10,95,0.050000
AppFlowy-IO,AppFlowy,AppFlowy-IO/AppFlowy,1026,https://github.com/AppFlowy-IO/AppFlowy/pull/1026,feat: elide sidebar text,MERGED,2022-09-11T09:08:36Z,2022-10-03T03:38:51Z,2022-10-03T03:38:51Z,522.504167,9,3,6,4,10,2,0,2,0,1,NO_REVIEW,no_review,,,no,richardshiue,2022-10-03T01:58:14Z,4489,10,95,0.050000
AppFlowy-IO,AppFlowy,AppFlowy-IO/AppFlowy,707,https://github.com/AppFlowy-IO/AppFlowy/pull/707,chore: add documentation for flowy-grid crate,MERGED,2022-07-25T07:31:05Z,2022-08-02T01:55:39Z,2022-08-02T01:55:39Z,186.409444,0,9,143,1,144,0,0,0,5,2,COMMENTED,neutral,CHANGES_REQUESTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,MikeWallaceDev|appflowy|appflowy|appflowy|appflowy,yes,appflowy,2022-07-31T09:33:13Z,4489,10,95,0.050000
