owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
CompVis,stable-diffusion,CompVis/stable-diffusion,623,https://github.com/CompVis/stable-diffusion/pull/623,Minor aesthetic fixes,CLOSED,2023-02-21T11:09:10Z,2023-10-30T21:06:00Z,2023-10-30T21:06:00Z,6033.947222,0,40,5040,2630,7670,0,0,0,0,1,NO_REVIEW,no_review,,,no,l1x,,160,10,95,0.050000
CompVis,stable-diffusion,CompVis/stable-diffusion,681,https://github.com/CompVis/stable-diffusion/pull/681,Optimisations from Basujindal fork,CLOSED,2023-04-01T22:20:52Z,2023-04-01T22:29:09Z,2023-04-01T22:29:09Z,0.138056,0,25,4499,98,4597,0,0,0,0,1,NO_REVIEW,no_review,,,no,W1R3D-Code,,160,10,95,0.050000
CompVis,stable-diffusion,CompVis/stable-diffusion,533,https://github.com/CompVis/stable-diffusion/pull/533,Correct timestep for initial noise addition,CLOSED,2022-12-10T18:25:55Z,2023-01-25T06:52:57Z,2023-01-25T06:52:57Z,1092.450556,950,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,patrickvonplaten,,160,10,95,0.050000
CompVis,stable-diffusion,CompVis/stable-diffusion,468,https://github.com/CompVis/stable-diffusion/pull/468,"Add dockerfile with NGC base image, supports H100 and RTX 4090 arch",OPEN,2022-11-09T11:38:26Z,2022-11-09T11:38:26Z,2022-11-09T11:38:26Z,0.000000,101,1,23,0,23,0,0,0,0,1,NO_REVIEW,no_review,,,no,zhaoyongke,,160,10,95,0.050000
CompVis,stable-diffusion,CompVis/stable-diffusion,404,https://github.com/CompVis/stable-diffusion/pull/404,"docs: demo, experiments and live inference API on Tiyaro",OPEN,2022-10-20T05:13:12Z,2022-10-20T05:13:12Z,2022-10-20T05:13:12Z,0.000000,1531,1,5,0,5,0,0,0,0,1,NO_REVIEW,no_review,,,no,ijonglin,,160,10,95,0.050000
CompVis,stable-diffusion,CompVis/stable-diffusion,337,https://github.com/CompVis/stable-diffusion/pull/337,Add missing paren in argument help text,OPEN,2022-09-29T12:54:18Z,2022-09-29T12:54:18Z,2022-09-29T12:54:18Z,0.000000,0,4,4,4,8,0,0,0,0,1,NO_REVIEW,no_review,,,no,dave1010,,160,10,95,0.050000
CompVis,stable-diffusion,CompVis/stable-diffusion,134,https://github.com/CompVis/stable-diffusion/pull/134,"[Docker support] enabling docker, adding description to readme",OPEN,2022-08-30T15:21:22Z,2022-09-23T18:37:57Z,2022-09-23T18:37:57Z,579.276389,60,3,82,0,82,9,0,9,18,6,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,krainboltgreene|JustinGuese|eggplants|eggplants|eggplants|hkiang01|JustinGuese|hkiang01|hkiang01|JustinGuese|0x2b3bfa0|JustinGuese|JustinGuese|jackalcooper|jackalcooper|jackalcooper|hkiang01|0x2b3bfa0,yes,JustinGuese,,160,10,95,0.050000
CompVis,stable-diffusion,CompVis/stable-diffusion,40,https://github.com/CompVis/stable-diffusion/pull/40,Changes the meaning of the --seed flag,CLOSED,2022-08-20T01:31:21Z,2022-09-05T19:42:31Z,2022-09-05T19:42:31Z,402.186111,221,2,7,4,11,0,0,0,1,2,APPROVED,positive,APPROVED,mturnshek,yes,xaroth8088,,160,10,95,0.050000
CompVis,stable-diffusion,CompVis/stable-diffusion,124,https://github.com/CompVis/stable-diffusion/pull/124,"Don't overwrite images, instead find an unused filename.",OPEN,2022-08-29T19:54:04Z,2022-08-30T00:05:30Z,2022-08-30T00:05:30Z,4.190556,190,1,8,0,8,1,0,1,0,1,NO_REVIEW,no_review,,,no,MarcusAdams,,160,10,95,0.050000
CompVis,stable-diffusion,CompVis/stable-diffusion,27,https://github.com/CompVis/stable-diffusion/pull/27,Add diffusers as a way to inference in the model,MERGED,2022-08-16T19:09:38Z,2022-08-16T21:17:12Z,2022-08-16T21:17:12Z,2.126111,0,1,19,0,19,1,0,1,0,1,NO_REVIEW,no_review,,,no,apolinario,2022-08-16T21:11:39Z,160,10,95,0.050000
