owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
DopplerHQ,awesome-interview-questions,DopplerHQ/awesome-interview-questions,283,https://github.com/DopplerHQ/awesome-interview-questions/pull/283,Add Interview Preparation Notes,OPEN,2023-05-16T18:46:23Z,2023-05-16T18:46:23Z,2023-05-16T18:46:23Z,0.000000,0,1,9,0,9,0,0,0,0,1,NO_REVIEW,no_review,,,no,shubhanshurav,,232,10,95,0.050000
DopplerHQ,awesome-interview-questions,DopplerHQ/awesome-interview-questions,268,https://github.com/DopplerHQ/awesome-interview-questions/pull/268,Updated title for ReactJS,OPEN,2022-08-22T09:17:46Z,2023-01-05T15:21:26Z,2023-01-05T15:21:26Z,3270.061111,0,1,1,1,2,0,0,0,4,5,APPROVED,positive,APPROVED|APPROVED|APPROVED|APPROVED,thecoder8890|PrasannaBrabourame|Janaina-Andrade|ahmadalwareh,yes,bikkimahato,,232,10,95,0.050000
DopplerHQ,awesome-interview-questions,DopplerHQ/awesome-interview-questions,260,https://github.com/DopplerHQ/awesome-interview-questions/pull/260,SQL Lite redirect id incorrect fix,CLOSED,2022-06-16T17:49:12Z,2022-06-19T14:23:25Z,2022-06-19T14:23:25Z,68.570278,139,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,RedHeadphone,,232,10,95,0.050000
DopplerHQ,awesome-interview-questions,DopplerHQ/awesome-interview-questions,202,https://github.com/DopplerHQ/awesome-interview-questions/pull/202,Add android interview questions,CLOSED,2020-08-12T05:46:49Z,2021-04-19T02:52:01Z,2021-04-19T02:52:01Z,5997.086667,40,1,4,0,4,1,0,1,5,3,COMMENTED,neutral,APPROVED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,kbakdev|ryan-blunden|ryan-blunden|akhilesh0707|akhilesh0707,yes,akhilesh0707,,232,10,95,0.050000
DopplerHQ,awesome-interview-questions,DopplerHQ/awesome-interview-questions,148,https://github.com/DopplerHQ/awesome-interview-questions/pull/148,Update README.md,MERGED,2019-02-17T17:23:58Z,2019-05-13T09:08:33Z,2019-05-13T09:08:33Z,2031.743056,0,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,ignacio-chiazzo,2019-05-13T09:08:33Z,232,10,95,0.050000
DopplerHQ,awesome-interview-questions,DopplerHQ/awesome-interview-questions,156,https://github.com/DopplerHQ/awesome-interview-questions/pull/156,Update Swift questions,MERGED,2019-05-11T22:11:01Z,2019-05-13T09:06:57Z,2019-05-13T09:06:57Z,34.932222,0,1,2,2,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,enomoto,2019-05-13T09:06:57Z,232,10,95,0.050000
DopplerHQ,awesome-interview-questions,DopplerHQ/awesome-interview-questions,114,https://github.com/DopplerHQ/awesome-interview-questions/pull/114,docs(README.md): angular interview questions,MERGED,2018-06-13T15:00:56Z,2018-08-29T04:22:36Z,2018-08-29T04:22:36Z,1837.361111,0,1,5,0,5,3,0,3,0,1,NO_REVIEW,no_review,,,no,splincode,2018-08-29T04:22:35Z,232,10,95,0.050000
DopplerHQ,awesome-interview-questions,DopplerHQ/awesome-interview-questions,91,https://github.com/DopplerHQ/awesome-interview-questions/pull/91,chore(JS): Update repo link for JavaScript,MERGED,2017-10-26T09:10:37Z,2017-10-29T18:57:07Z,2017-10-29T18:57:07Z,81.775000,28,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,raisedadead,2017-10-29T18:57:06Z,232,10,95,0.050000
DopplerHQ,awesome-interview-questions,DopplerHQ/awesome-interview-questions,84,https://github.com/DopplerHQ/awesome-interview-questions/pull/84,yyyyy,CLOSED,2017-08-05T10:59:45Z,2017-08-05T11:00:29Z,2017-08-05T11:00:29Z,0.012222,65,1,16,0,16,0,0,0,0,1,NO_REVIEW,no_review,,,no,Viqar,,232,10,95,0.050000
DopplerHQ,awesome-interview-questions,DopplerHQ/awesome-interview-questions,56,https://github.com/DopplerHQ/awesome-interview-questions/pull/56,add interview cake javascript questions,MERGED,2016-03-07T14:53:12Z,2016-03-07T20:59:06Z,2016-03-07T20:59:06Z,6.098333,47,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,kaplanoah,2016-03-07T20:59:06Z,232,10,95,0.050000
