owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
EbookFoundation,free-programming-books,EbookFoundation/free-programming-books,13101,https://github.com/EbookFoundation/free-programming-books/pull/13101,Revise Bangla Programming Resources layout and content,open,2026-03-01T00:23:48Z,2026-04-30T00:38:28Z,2026-04-30T00:38:28Z,1440.244444,123,1,81,53,134,1,0,1,0,1,NO_REVIEW,no_review,,,no,wkazisan,,11393,300,95,0.050000
EbookFoundation,free-programming-books,EbookFoundation/free-programming-books,13210,https://github.com/EbookFoundation/free-programming-books/pull/13210,Fix russian translate for CONTRIBUTING-ru.md,closed,2026-04-07T05:34:23Z,2026-04-07T19:54:46Z,2026-04-07T19:54:46Z,14.339722,70,1,3,3,6,1,0,1,0,1,NO_REVIEW,no_review,,,no,CuminV,2026-04-07T19:54:46Z,11393,300,95,0.050000
EbookFoundation,free-programming-books,EbookFoundation/free-programming-books,13161,https://github.com/EbookFoundation/free-programming-books/pull/13161,Fix broken link: free-programming-books-ar.md,open,2026-03-26T16:37:35Z,2026-03-30T17:04:31Z,2026-03-30T17:04:31Z,96.448889,1103,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,jahnavika27,,11393,300,95,0.050000
EbookFoundation,free-programming-books,EbookFoundation/free-programming-books,1,https://github.com/EbookFoundation/free-programming-books/pull/1,Fixed a broken link.,closed,2013-10-11T16:55:40Z,2026-03-19T07:03:19Z,2026-03-19T07:03:19Z,108998.127500,99,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,paulrehkugler,2013-10-11T16:57:25Z,11393,300,95,0.050000
EbookFoundation,free-programming-books,EbookFoundation/free-programming-books,13112,https://github.com/EbookFoundation/free-programming-books/pull/13112,docs: fix incorrect anchor link for Markdown in courses index,closed,2026-03-04T11:21:16Z,2026-03-06T12:48:14Z,2026-03-06T12:48:14Z,49.449444,94,2,3,3,6,0,0,0,0,1,NO_REVIEW,no_review,,,no,Rohan5commit,,11393,300,95,0.050000
EbookFoundation,free-programming-books,EbookFoundation/free-programming-books,12926,https://github.com/EbookFoundation/free-programming-books/pull/12926,Add LearnScala.org to Scala resources,closed,2025-10-29T14:39:24Z,2025-10-30T16:49:53Z,2025-10-30T16:49:53Z,26.174722,1740,1,1,0,1,2,0,2,0,1,NO_REVIEW,no_review,,,no,Muditapandey26,2025-10-30T16:49:53Z,11393,300,95,0.050000
EbookFoundation,free-programming-books,EbookFoundation/free-programming-books,12893,https://github.com/EbookFoundation/free-programming-books/pull/12893,Added new telugu courses,closed,2025-10-28T13:22:03Z,2025-10-30T15:33:15Z,2025-10-30T15:33:15Z,50.186667,1520,1,7,0,7,0,3,3,2,3,COMMENTED,neutral,CHANGES_REQUESTED|COMMENTED,RUIZEN9|eshellman,yes,PavanKuppili,2025-10-30T15:33:15Z,11393,300,95,0.050000
EbookFoundation,free-programming-books,EbookFoundation/free-programming-books,12889,https://github.com/EbookFoundation/free-programming-books/pull/12889,Fix search bar visibility,closed,2025-10-28T11:34:28Z,2025-10-29T03:16:04Z,2025-10-29T03:16:04Z,15.693333,1103,2,3,0,3,1,0,1,0,1,NO_REVIEW,no_review,,,no,harir03,,11393,300,95,0.050000
EbookFoundation,free-programming-books,EbookFoundation/free-programming-books,12886,https://github.com/EbookFoundation/free-programming-books/pull/12886,resolved UI issue in contributers page,closed,2025-10-28T04:16:47Z,2025-10-29T03:01:56Z,2025-10-29T03:01:56Z,22.752500,1103,3,169,0,169,1,0,1,0,1,NO_REVIEW,no_review,,,no,yashika0711,,11393,300,95,0.050000
EbookFoundation,free-programming-books,EbookFoundation/free-programming-books,12834,https://github.com/EbookFoundation/free-programming-books/pull/12834,Adding three books produced by Linux Professional Institute,closed,2025-10-25T15:40:59Z,2025-10-26T14:21:21Z,2025-10-26T14:21:21Z,22.672778,841,2,4,1,5,2,0,2,1,2,COMMENTED,neutral,COMMENTED,Thenlie,yes,gsiri007,2025-10-26T14:21:21Z,11393,300,95,0.050000
EbookFoundation,free-programming-books,EbookFoundation/free-programming-books,12757,https://github.com/EbookFoundation/free-programming-books/pull/12757,Update to include 'Python for Education' to free programming books,closed,2025-10-22T00:47:30Z,2025-10-22T01:07:50Z,2025-10-22T01:07:50Z,0.338889,1640,2,1,1917,1918,0,0,0,0,1,NO_REVIEW,no_review,,,no,OAAK125,,11393,300,95,0.050000
EbookFoundation,free-programming-books,EbookFoundation/free-programming-books,12655,https://github.com/EbookFoundation/free-programming-books/pull/12655,Add IBM Cloud Training Catalog link,closed,2025-10-19T18:50:11Z,2025-10-20T01:58:19Z,2025-10-20T01:58:19Z,7.135556,1445,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,Bloop31,,11393,300,95,0.050000
EbookFoundation,free-programming-books,EbookFoundation/free-programming-books,12601,https://github.com/EbookFoundation/free-programming-books/pull/12601,Add three Rust courses,closed,2025-10-18T07:23:06Z,2025-10-19T15:11:12Z,2025-10-19T15:11:12Z,31.801667,1364,1,3,0,3,2,0,2,0,1,NO_REVIEW,no_review,,,no,Tejas-Santosh-Nalawade,2025-10-19T15:11:12Z,11393,300,95,0.050000
