owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
FortAwesome,Font-Awesome,FortAwesome/Font-Awesome,18905,https://github.com/FortAwesome/Font-Awesome/pull/18905,Makes use of immutable classes names for icon mixins,OPEN,2022-04-13T15:16:42Z,2025-05-29T09:16:05Z,2025-05-29T09:16:05Z,27401.989722,60,1,3,3,6,0,0,0,0,1,NO_REVIEW,no_review,,,no,jmverges,,709,10,95,0.050000
FortAwesome,Font-Awesome,FortAwesome/Font-Awesome,19236,https://github.com/FortAwesome/Font-Awesome/pull/19236,Remove useragent refs,OPEN,2022-08-04T09:00:48Z,2025-05-29T09:15:07Z,2025-05-29T09:15:07Z,24696.238611,218,2,3,8,11,2,0,2,0,1,NO_REVIEW,no_review,,,no,arielnmagno,,709,10,95,0.050000
FortAwesome,Font-Awesome,FortAwesome/Font-Awesome,19233,https://github.com/FortAwesome/Font-Awesome/pull/19233,Update teamspeak.svg,CLOSED,2022-08-03T17:09:53Z,2023-03-27T17:56:33Z,2023-03-27T17:56:33Z,5664.777778,284,1,18,1,19,6,0,6,0,1,NO_REVIEW,no_review,,,no,Azn9,,709,10,95,0.050000
FortAwesome,Font-Awesome,FortAwesome/Font-Awesome,14306,https://github.com/FortAwesome/Font-Awesome/pull/14306,fa-beat fa-hover-beat animations,CLOSED,2018-11-22T07:27:37Z,2019-01-04T14:45:45Z,2019-01-04T14:45:45Z,1039.302222,269,1,34,1,35,3,0,3,0,1,NO_REVIEW,no_review,,,no,moldypenguins,,709,10,95,0.050000
FortAwesome,Font-Awesome,FortAwesome/Font-Awesome,14111,https://github.com/FortAwesome/Font-Awesome/pull/14111,Conditional Rendering of fa-* classes,CLOSED,2018-10-14T20:02:00Z,2018-12-20T16:07:19Z,2018-12-20T16:07:19Z,1604.088611,543,2,1244,2476,3720,0,0,0,0,1,NO_REVIEW,no_review,,,no,smetzdev,,709,10,95,0.050000
FortAwesome,Font-Awesome,FortAwesome/Font-Awesome,8429,https://github.com/FortAwesome/Font-Awesome/pull/8429,Change link in HELP-US-OUT,CLOSED,2016-01-27T14:29:26Z,2018-01-31T23:46:15Z,2018-01-31T23:46:15Z,17649.280278,0,1,1,1,2,2,0,2,0,1,NO_REVIEW,no_review,,,no,prayagverma,,709,10,95,0.050000
FortAwesome,Font-Awesome,FortAwesome/Font-Awesome,10308,https://github.com/FortAwesome/Font-Awesome/pull/10308,Updating Docs Site Post-Font Awesome 5 Kickstarter,MERGED,2016-12-01T18:37:18Z,2016-12-02T16:50:40Z,2016-12-02T16:50:40Z,22.222778,0,16,58,216,274,0,0,0,0,1,NO_REVIEW,no_review,,,no,talbs,2016-12-02T16:50:39Z,709,10,95,0.050000
FortAwesome,Font-Awesome,FortAwesome/Font-Awesome,3800,https://github.com/FortAwesome/Font-Awesome/pull/3800,Add import file to application.css.sass,CLOSED,2014-06-27T19:22:22Z,2016-04-29T14:31:26Z,2016-04-29T14:31:26Z,16123.151111,0,1,4,0,4,1,0,1,0,1,NO_REVIEW,no_review,,,no,rafaelcneves,,709,10,95,0.050000
FortAwesome,Font-Awesome,FortAwesome/Font-Awesome,5750,https://github.com/FortAwesome/Font-Awesome/pull/5750,.fa { text-indent: 0; },CLOSED,2015-02-22T17:20:35Z,2015-04-11T04:43:47Z,2015-04-11T04:43:47Z,1139.386667,401,4,4,1,5,1,0,1,0,1,NO_REVIEW,no_review,,,no,mr21,,709,10,95,0.050000
FortAwesome,Font-Awesome,FortAwesome/Font-Awesome,5370,https://github.com/FortAwesome/Font-Awesome/pull/5370,Added Hover Spin Class [Cloned SPIN Class And Added Hover],CLOSED,2015-01-12T04:08:54Z,2015-01-12T04:48:09Z,2015-01-12T04:48:09Z,0.654167,110,1,5,0,5,0,0,0,0,1,NO_REVIEW,no_review,,,no,varunsridharan,,709,10,95,0.050000
