owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
FuelLabs,sway,FuelLabs/sway,7205,https://github.com/FuelLabs/sway/pull/7205,feat: return failed to fetch message for invalid registry lookups,MERGED,2025-05-29T01:23:11Z,2025-05-29T02:05:04Z,2025-05-29T02:05:04Z,0.698056,274,1,3,1,4,1,0,1,2,3,APPROVED,positive,APPROVED|APPROVED,zees-dev|JoshuaBatty,yes,kayagokalp,2025-05-29T02:05:02Z,4178,10,95,0.050000
FuelLabs,sway,FuelLabs/sway,7053,https://github.com/FuelLabs/sway/pull/7053,Update fuels version,MERGED,2025-04-01T01:06:09Z,2025-04-04T04:02:37Z,2025-04-04T04:02:37Z,74.941111,763,62,986,1284,2270,3,0,3,2,3,APPROVED,positive,APPROVED|APPROVED,JoshuaBatty|kayagokalp,yes,zees-dev,2025-04-04T04:02:35Z,4178,10,95,0.050000
FuelLabs,sway,FuelLabs/sway,6691,https://github.com/FuelLabs/sway/pull/6691,chore: remove unmaintained `atty` crate,MERGED,2024-11-04T07:39:27Z,2024-11-04T11:47:47Z,2024-11-04T11:47:47Z,4.138889,197,4,2,6,8,0,0,0,2,3,APPROVED,positive,APPROVED|APPROVED,tritao|IGI-111,yes,kayagokalp,2024-11-04T11:47:46Z,4178,10,95,0.050000
FuelLabs,sway,FuelLabs/sway,6409,https://github.com/FuelLabs/sway/pull/6409,chore: bump fuels-rs to 0.66.0,CLOSED,2024-08-12T21:31:37Z,2024-08-15T20:05:19Z,2024-08-15T20:05:19Z,70.561667,17,11,531,509,1040,1,0,1,0,1,NO_REVIEW,no_review,,,no,kayagokalp,,4178,10,95,0.050000
FuelLabs,sway,FuelLabs/sway,6044,https://github.com/FuelLabs/sway/pull/6044,Fix issue with name clash on auto implementation of AbiEncode and AbiDecode,MERGED,2024-05-22T03:46:27Z,2024-06-11T16:29:35Z,2024-06-11T16:29:35Z,492.718889,2566,18,174,36,210,16,0,16,5,5,APPROVED,positive,COMMENTED|APPROVED|COMMENTED|APPROVED|APPROVED,tritao|IGI-111|hal3e|tritao|kayagokalp,yes,jjcnn,2024-06-11T16:29:35Z,4178,10,95,0.050000
FuelLabs,sway,FuelLabs/sway,6048,https://github.com/FuelLabs/sway/pull/6048,Enable OrdEq on U128,MERGED,2024-05-22T14:27:46Z,2024-05-22T15:58:48Z,2024-05-22T15:58:48Z,1.517222,753,1,3,5,8,0,0,0,2,3,APPROVED,positive,APPROVED|APPROVED,tritao|jjcnn,yes,IGI-111,2024-05-22T15:58:47Z,4178,10,95,0.050000
FuelLabs,sway,FuelLabs/sway,5712,https://github.com/FuelLabs/sway/pull/5712,Use an explicit module id when generating auto impl declarations ,MERGED,2024-03-08T15:27:09Z,2024-03-11T14:20:56Z,2024-03-11T14:20:56Z,70.896389,670,2,94,17,111,0,0,0,2,3,APPROVED,positive,APPROVED|APPROVED,xunilrj|IGI-111,yes,tritao,2024-03-11T14:20:55Z,4178,10,95,0.050000
FuelLabs,sway,FuelLabs/sway,5533,https://github.com/FuelLabs/sway/pull/5533,Simplify the DCA handling for return nodes.,CLOSED,2024-01-31T12:12:07Z,2024-02-02T11:51:18Z,2024-02-02T11:51:18Z,47.653056,759,1,3,6,9,4,0,4,1,2,APPROVED,positive,APPROVED,ironcev,yes,tritao,,4178,10,95,0.050000
FuelLabs,sway,FuelLabs/sway,4441,https://github.com/FuelLabs/sway/pull/4441,U256 c fix,MERGED,2023-04-14T14:25:31Z,2023-04-15T01:37:24Z,2023-04-15T01:37:24Z,11.198056,692,2,36,6,42,0,0,0,4,3,APPROVED,positive,COMMENTED|COMMENTED|APPROVED|APPROVED,Braqzen|rostyslavtyshko|Braqzen|mohammadfawaz,yes,rostyslavtyshko,2023-04-15T01:37:23Z,4178,10,95,0.050000
FuelLabs,sway,FuelLabs/sway,92,https://github.com/FuelLabs/sway/pull/92,Formatter tests,MERGED,2021-06-22T13:08:43Z,2021-06-22T14:10:05Z,2021-06-22T14:10:05Z,1.022778,194,4,273,30,303,0,0,0,1,2,APPROVED,positive,APPROVED,adlerjohn,yes,leviathanbeak,2021-06-22T14:10:04Z,4178,10,95,0.050000
