owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
Genymobile,scrcpy,Genymobile/scrcpy,6744,https://github.com/Genymobile/scrcpy/pull/6744,fix: the server in server.c,CLOSED,2026-03-31T05:05:52Z,2026-04-01T11:18:51Z,2026-04-01T11:18:51Z,30.216389,837,1,3,2,5,2,0,2,0,1,NO_REVIEW,no_review,,,no,orbisai0security,,652,10,95,0.050000
Genymobile,scrcpy,Genymobile/scrcpy,6205,https://github.com/Genymobile/scrcpy/pull/6205,VR_Flickering_Fix,CLOSED,2025-07-03T07:42:57Z,2026-03-17T17:18:17Z,2026-03-17T17:18:17Z,6177.588889,0,4,167,29,196,2,0,2,1,2,APPROVED,positive,APPROVED,HarishPromact,yes,METoTs,,652,10,95,0.050000
Genymobile,scrcpy,Genymobile/scrcpy,6159,https://github.com/Genymobile/scrcpy/pull/6159,Add session metadata for video stream,MERGED,2025-06-15T10:38:07Z,2026-01-10T11:00:06Z,2026-01-10T11:00:06Z,5016.366389,935,20,402,142,544,5,0,5,0,1,NO_REVIEW,no_review,,,no,rom1v,2026-01-10T11:00:06Z,652,10,95,0.050000
Genymobile,scrcpy,Genymobile/scrcpy,4374,https://github.com/Genymobile/scrcpy/pull/4374,Fix some warnings,CLOSED,2023-10-24T14:55:48Z,2025-06-18T04:48:12Z,2025-06-18T04:48:12Z,14461.873333,639,3,11,11,22,1,0,1,0,1,NO_REVIEW,no_review,,,no,rootkea,,652,10,95,0.050000
Genymobile,scrcpy,Genymobile/scrcpy,3862,https://github.com/Genymobile/scrcpy/pull/3862,Create AudioRecord using reflection as a fallback,CLOSED,2023-03-26T17:23:19Z,2025-06-18T04:13:29Z,2025-06-18T04:13:29Z,19546.836111,1193,3,303,4,307,13,0,13,0,1,NO_REVIEW,no_review,,,no,yume-chan,,652,10,95,0.050000
Genymobile,scrcpy,Genymobile/scrcpy,3758,https://github.com/Genymobile/scrcpy/pull/3758,Fix hardcode deviceId while inject touch event.,OPEN,2023-02-27T14:32:27Z,2025-06-18T04:10:06Z,2025-06-18T04:10:06Z,20197.627500,203,2,18,1,19,12,0,12,0,1,NO_REVIEW,no_review,,,no,baker915,,652,10,95,0.050000
Genymobile,scrcpy,Genymobile/scrcpy,3547,https://github.com/Genymobile/scrcpy/pull/3547,Support wchar_t in argv in windows,CLOSED,2022-10-23T06:21:04Z,2025-06-18T04:05:57Z,2025-06-18T04:05:57Z,23253.748056,242,1,53,2,55,6,0,6,2,2,COMMENTED,neutral,COMMENTED|COMMENTED,rom1v|npes87184,yes,npes87184,,652,10,95,0.050000
Genymobile,scrcpy,Genymobile/scrcpy,2123,https://github.com/Genymobile/scrcpy/pull/2123,Remove unnecessary escape characters in manpage,CLOSED,2021-02-15T16:54:58Z,2025-06-17T14:01:59Z,2025-06-17T14:01:59Z,37989.116944,0,1,4,4,8,4,0,4,1,2,APPROVED,positive,APPROVED,Relluem94,yes,yangfl,,652,10,95,0.050000
Genymobile,scrcpy,Genymobile/scrcpy,587,https://github.com/Genymobile/scrcpy/pull/587,Use getPhysicalDisplayToken if getBuiltInDisplay is not found,MERGED,2019-06-12T16:36:59Z,2025-06-17T12:49:24Z,2025-06-17T12:49:24Z,52724.206944,77,1,8,1,9,5,0,5,0,1,NO_REVIEW,no_review,,,no,schwabe,2019-06-14T08:04:12Z,652,10,95,0.050000
Genymobile,scrcpy,Genymobile/scrcpy,5476,https://github.com/Genymobile/scrcpy/pull/5476,Add FakeContext.getContentResolver(),MERGED,2024-11-12T11:28:44Z,2024-11-14T09:33:41Z,2024-11-14T09:33:41Z,46.082500,387,4,62,7,69,2,0,2,0,1,NO_REVIEW,no_review,,,no,rom1v,2024-11-14T09:29:43Z,652,10,95,0.050000
