owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
Hack-with-Github,Awesome-Hacking,Hack-with-Github/Awesome-Hacking,168,https://github.com/Hack-with-Github/Awesome-Hacking/pull/168,Update lock-threads.yml,CLOSED,2025-03-07T16:08:55Z,2026-04-27T14:40:00Z,2026-04-27T14:40:00Z,9982.518056,0,1,0,23,23,1,0,1,2,3,APPROVED,positive,APPROVED|APPROVED,Nikki1980|Pietrek96,yes,heppard,,149,10,95,0.050000
Hack-with-Github,Awesome-Hacking,Hack-with-Github/Awesome-Hacking,184,https://github.com/Hack-with-Github/Awesome-Hacking/pull/184,MergCreatedevcontainer.json,CLOSED,2026-01-25T08:35:53Z,2026-04-24T13:58:31Z,2026-04-24T13:58:31Z,2141.377222,129,1,4,0,4,3,0,3,2,3,COMMENTED,neutral,APPROVED|COMMENTED,myself-aas|jadams1342,yes,Sparda4000,,149,10,95,0.050000
Hack-with-Github,Awesome-Hacking,Hack-with-Github/Awesome-Hacking,26,https://github.com/Hack-with-Github/Awesome-Hacking/pull/26,add osx security awesome,CLOSED,2017-10-14T17:24:43Z,2024-08-22T11:02:39Z,2024-08-22T11:02:39Z,60089.632222,62,1,1,0,1,3,0,3,0,1,NO_REVIEW,no_review,,,no,kai5263499,,149,10,95,0.050000
Hack-with-Github,Awesome-Hacking,Hack-with-Github/Awesome-Hacking,64,https://github.com/Hack-with-Github/Awesome-Hacking/pull/64,Update contributing.md,CLOSED,2019-10-23T18:46:13Z,2024-08-22T10:33:37Z,2024-08-22T10:33:37Z,42351.790000,0,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,ParryPrerana,,149,10,95,0.050000
Hack-with-Github,Awesome-Hacking,Hack-with-Github/Awesome-Hacking,74,https://github.com/Hack-with-Github/Awesome-Hacking/pull/74,Adding some useful resources and tools,CLOSED,2020-02-14T20:05:34Z,2024-08-22T10:33:36Z,2024-08-22T10:33:36Z,39614.467222,323,1,4,0,4,0,0,0,2,3,COMMENTED,neutral,APPROVED|COMMENTED,profnandaa|0xbadshah,yes,SofianeHamlaoui,,149,10,95,0.050000
Hack-with-Github,Awesome-Hacking,Hack-with-Github/Awesome-Hacking,117,https://github.com/Hack-with-Github/Awesome-Hacking/pull/117,add aspnet security,CLOSED,2020-10-01T12:03:04Z,2024-08-22T10:33:30Z,2024-08-22T10:33:30Z,34102.507222,0,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,Jommartinez,,149,10,95,0.050000
Hack-with-Github,Awesome-Hacking,Hack-with-Github/Awesome-Hacking,126,https://github.com/Hack-with-Github/Awesome-Hacking/pull/126,Adding PenTestKit,CLOSED,2021-07-26T19:14:43Z,2024-08-22T10:33:20Z,2024-08-22T10:33:20Z,26943.310278,0,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,Bryan-Herrera-DEV,,149,10,95,0.050000
Hack-with-Github,Awesome-Hacking,Hack-with-Github/Awesome-Hacking,140,https://github.com/Hack-with-Github/Awesome-Hacking/pull/140,Add files via upload,CLOSED,2022-07-01T18:42:18Z,2024-08-22T10:33:10Z,2024-08-22T10:33:10Z,18783.847778,0,1,0,0,0,3,0,3,4,4,APPROVED,positive,COMMENTED|APPROVED|CHANGES_REQUESTED|APPROVED,Saeedalbaji|Morra1|torriz|Becky773,yes,Saeedalbaji,,149,10,95,0.050000
Hack-with-Github,Awesome-Hacking,Hack-with-Github/Awesome-Hacking,153,https://github.com/Hack-with-Github/Awesome-Hacking/pull/153,Added nand2tetris in other resources section,CLOSED,2023-10-24T15:58:00Z,2024-08-22T10:32:57Z,2024-08-22T10:32:57Z,7266.582500,124,1,1,0,1,2,0,2,1,2,APPROVED,positive,APPROVED,WIWI84,yes,DevyDhanish,,149,10,95,0.050000
Hack-with-Github,Awesome-Hacking,Hack-with-Github/Awesome-Hacking,158,https://github.com/Hack-with-Github/Awesome-Hacking/pull/158,Mnlhacking,CLOSED,2024-03-10T02:52:39Z,2024-03-25T05:19:58Z,2024-03-25T05:19:58Z,362.455278,0,1,0,0,0,0,0,0,0,1,NO_REVIEW,no_review,,,no,Annemnl,,149,10,95,0.050000
