owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
LadybirdBrowser,ladybird,LadybirdBrowser/ladybird,9042,https://github.com/LadybirdBrowser/ladybird/pull/9042,LibWeb: Small mixed CSS fixes,MERGED,2026-04-22T17:57:00Z,2026-04-22T18:59:04Z,2026-04-22T18:59:04Z,1.034444,141,28,444,38,482,0,0,0,0,1,NO_REVIEW,no_review,,,no,awesomekling,2026-04-22T18:59:01Z,7576,10,95,0.050000
LadybirdBrowser,ladybird,LadybirdBrowser/ladybird,7739,https://github.com/LadybirdBrowser/ladybird/pull/7739,CI: Bump dawidd6/action-download-artifact from 12 to 14,MERGED,2026-02-03T04:34:56Z,2026-02-03T09:41:40Z,2026-02-03T09:41:40Z,5.112222,4145,1,2,2,4,0,0,0,1,2,APPROVED,positive,APPROVED,gmta,yes,dependabot,2026-02-03T09:41:31Z,7576,10,95,0.050000
LadybirdBrowser,ladybird,LadybirdBrowser/ladybird,6711,https://github.com/LadybirdBrowser/ladybird/pull/6711,LibWeb/WebGL: A pack of random fixes / improvements,MERGED,2025-11-05T21:52:23Z,2025-11-14T14:16:35Z,2025-11-14T14:16:35Z,208.403333,0,17,198,32,230,0,0,0,1,2,COMMENTED,neutral,COMMENTED,awesomekling,yes,cqundefine,2025-11-06T18:02:37Z,7576,10,95,0.050000
LadybirdBrowser,ladybird,LadybirdBrowser/ladybird,5722,https://github.com/LadybirdBrowser/ladybird/pull/5722,Re-evaluate media queries only when things they depend on change,MERGED,2025-08-05T15:10:05Z,2025-08-05T15:24:35Z,2025-08-05T15:24:35Z,0.241667,115,5,17,12,29,0,0,0,1,2,APPROVED,positive,APPROVED,gmta,yes,kalenikaliaksandr,2025-08-05T15:24:34Z,7576,10,95,0.050000
LadybirdBrowser,ladybird,LadybirdBrowser/ladybird,5649,https://github.com/LadybirdBrowser/ladybird/pull/5649,LibWeb: Don't capture proxy as root in `ProxyConstructor::revocable`,MERGED,2025-07-30T03:07:20Z,2025-07-30T06:43:54Z,2025-07-30T06:43:54Z,3.609444,130,1,3,5,8,0,0,0,1,2,APPROVED,positive,APPROVED,gmta,yes,kalenikaliaksandr,2025-07-30T06:43:54Z,7576,10,95,0.050000
LadybirdBrowser,ladybird,LadybirdBrowser/ladybird,5627,https://github.com/LadybirdBrowser/ladybird/pull/5627,"LibWeb: Port node text content, `innerText`, and `outerText` to UTF-16",MERGED,2025-07-28T15:46:29Z,2025-07-28T16:33:21Z,2025-07-28T16:33:21Z,0.781111,0,40,334,199,533,0,0,0,1,2,APPROVED,positive,APPROVED,gmta,yes,trflynn89,2025-07-28T16:30:50Z,7576,10,95,0.050000
LadybirdBrowser,ladybird,LadybirdBrowser/ladybird,4549,https://github.com/LadybirdBrowser/ladybird/pull/4549,Base: Add about:settings and about:processes to about:about page,MERGED,2025-05-02T04:46:13Z,2025-05-02T11:51:32Z,2025-05-02T11:51:32Z,7.088611,125,1,2,0,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,bplaat,2025-05-02T10:21:37Z,7576,10,95,0.050000
LadybirdBrowser,ladybird,LadybirdBrowser/ladybird,3821,https://github.com/LadybirdBrowser/ladybird/pull/3821,LibWeb: Prevent infinitely growing font size due to rem units in root,MERGED,2025-03-05T17:25:04Z,2025-03-06T20:30:56Z,2025-03-06T20:30:56Z,27.097778,328,5,45,8,53,1,0,1,1,2,COMMENTED,neutral,COMMENTED,dotnetCarpenter,yes,awesomekling,2025-03-05T21:46:07Z,7576,10,95,0.050000
LadybirdBrowser,ladybird,LadybirdBrowser/ladybird,2883,https://github.com/LadybirdBrowser/ladybird/pull/2883,LibWeb: Align `execute_async_script` variable name with the latest spec,MERGED,2024-12-12T10:27:43Z,2024-12-12T13:19:20Z,2024-12-12T13:19:20Z,2.860278,46,1,2,2,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,tcl3,2024-12-12T13:16:19Z,7576,10,95,0.050000
LadybirdBrowser,ladybird,LadybirdBrowser/ladybird,1775,https://github.com/LadybirdBrowser/ladybird/pull/1775,LibWeb: Use abs() dimensions for canvas getImageData(),MERGED,2024-10-13T18:38:59Z,2024-10-14T06:24:37Z,2024-10-14T06:24:37Z,11.760556,171,1,14,2,16,0,0,0,0,1,NO_REVIEW,no_review,,,no,coryvirok,2024-10-14T06:24:37Z,7576,10,95,0.050000
