owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
NationalSecurityAgency,ghidra,NationalSecurityAgency/ghidra,9127,https://github.com/NationalSecurityAgency/ghidra/pull/9127,fix: stabilize recursive typedef resolution in composite viewer,OPEN,2026-04-18T01:19:35Z,2026-04-19T10:14:01Z,2026-04-19T10:14:01Z,32.907222,753,2,92,8,100,0,0,0,0,1,NO_REVIEW,no_review,,,no,nmggithub,,1696,10,95,0.050000
NationalSecurityAgency,ghidra,NationalSecurityAgency/ghidra,6564,https://github.com/NationalSecurityAgency/ghidra/pull/6564,AArch32: (Thumb32) ldrsh.w & ldrsb.w (pc-relative) had double memory load,CLOSED,2024-05-23T04:45:53Z,2025-11-26T18:44:33Z,2025-11-26T18:44:33Z,13261.977778,991,1,2,2,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,Sleigh-InSPECtor,,1696,10,95,0.050000
NationalSecurityAgency,ghidra,NationalSecurityAgency/ghidra,8439,https://github.com/NationalSecurityAgency/ghidra/pull/8439,BSim: Add listdatabases subcommand to bsim_ctl,OPEN,2025-08-14T20:13:57Z,2025-08-15T10:17:35Z,2025-08-15T10:17:35Z,14.060556,2228,2,75,18,93,0,0,0,0,1,NO_REVIEW,no_review,,,no,gemesa,,1696,10,95,0.050000
NationalSecurityAgency,ghidra,NationalSecurityAgency/ghidra,4270,https://github.com/NationalSecurityAgency/ghidra/pull/4270,"Implement ColdFire's BITREV, BYTEREV and FF1.",MERGED,2022-05-22T04:40:10Z,2022-10-06T16:23:34Z,2022-10-06T16:23:34Z,3299.723333,115,2,65,0,65,4,0,4,0,1,NO_REVIEW,no_review,,,no,agatti,2022-10-06T15:18:02Z,1696,10,95,0.050000
NationalSecurityAgency,ghidra,NationalSecurityAgency/ghidra,4223,https://github.com/NationalSecurityAgency/ghidra/pull/4223,Implement 68000 PACK and UNPK opcodes.,MERGED,2022-05-03T02:20:52Z,2022-09-21T00:38:08Z,2022-09-21T00:38:08Z,3382.287778,96,1,19,2,21,0,0,0,0,1,NO_REVIEW,no_review,,,no,agatti,2022-09-20T05:05:15Z,1696,10,95,0.050000
NationalSecurityAgency,ghidra,NationalSecurityAgency/ghidra,3156,https://github.com/NationalSecurityAgency/ghidra/pull/3156,Fix locale issue in MacintoshTimeStampDataType,MERGED,2021-06-24T13:38:29Z,2022-07-01T14:46:40Z,2022-07-01T14:46:40Z,8929.136389,0,1,2,1,3,3,0,3,0,1,NO_REVIEW,no_review,,,no,MarcMil,2022-07-01T14:46:39Z,1696,10,95,0.050000
NationalSecurityAgency,ghidra,NationalSecurityAgency/ghidra,4354,https://github.com/NationalSecurityAgency/ghidra/pull/4354,Fixed comments for OperandType flags,MERGED,2022-06-17T23:31:45Z,2022-06-22T20:58:25Z,2022-06-22T20:58:25Z,117.444444,75,1,2,2,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,alex-bellon,2022-06-22T20:58:24Z,1696,10,95,0.050000
NationalSecurityAgency,ghidra,NationalSecurityAgency/ghidra,1960,https://github.com/NationalSecurityAgency/ghidra/pull/1960,Extensions installed per user (outside of installation dir),CLOSED,2020-06-08T17:19:03Z,2020-07-14T18:41:34Z,2020-07-14T18:41:34Z,865.375278,359,11,139,82,221,12,0,12,0,1,NO_REVIEW,no_review,,,no,ryanmkurtz,,1696,10,95,0.050000
NationalSecurityAgency,ghidra,NationalSecurityAgency/ghidra,1447,https://github.com/NationalSecurityAgency/ghidra/pull/1447,Add osabi and abiversion to ElfHeader,CLOSED,2020-01-18T17:14:45Z,2020-02-26T18:08:43Z,2020-02-26T18:08:43Z,936.899444,211,1,25,1,26,1,0,1,0,1,NO_REVIEW,no_review,,,no,aerosoul94,,1696,10,95,0.050000
NationalSecurityAgency,ghidra,NationalSecurityAgency/ghidra,1414,https://github.com/NationalSecurityAgency/ghidra/pull/1414,Motorola 6809 Processor's Manual,MERGED,2020-01-06T16:56:49Z,2020-01-15T12:05:47Z,2020-01-15T12:05:47Z,211.149444,63,2,139,0,139,0,0,0,0,1,NO_REVIEW,no_review,,,no,gdeldago,2020-01-15T12:05:46Z,1696,10,95,0.050000
