owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
OpenBB-finance,OpenBB,OpenBB-finance/OpenBB,6326,https://github.com/OpenBB-finance/OpenBB/pull/6326,[Release] 4.1.7,MERGED,2024-04-19T17:08:56Z,2024-04-20T13:52:13Z,2024-04-20T13:52:13Z,20.721389,1,585,48543,47356,95899,1,0,1,1,2,APPROVED,positive,APPROVED,IgorWounds,yes,hjoaquim,2024-04-20T13:47:31Z,4906,10,95,0.050000
OpenBB-finance,OpenBB,OpenBB-finance/OpenBB,6203,https://github.com/OpenBB-finance/OpenBB/pull/6203,[Enhancement] - Improve the example test,MERGED,2024-03-13T13:46:36Z,2024-03-13T14:28:46Z,2024-03-13T14:28:46Z,0.702778,398,3,31,5,36,0,0,0,1,2,APPROVED,positive,APPROVED,montezdesousa,yes,IgorWounds,2024-03-13T14:12:58Z,4906,10,95,0.050000
OpenBB-finance,OpenBB,OpenBB-finance/OpenBB,5883,https://github.com/OpenBB-finance/OpenBB/pull/5883,Fix version,MERGED,2023-12-12T14:53:32Z,2023-12-15T09:45:11Z,2023-12-15T09:45:11Z,66.860833,64,2,11,3,14,0,0,0,1,2,APPROVED,positive,APPROVED,hjoaquim,yes,IgorWounds,2023-12-13T09:58:00Z,4906,10,95,0.050000
OpenBB-finance,OpenBB,OpenBB-finance/OpenBB,5651,https://github.com/OpenBB-finance/OpenBB/pull/5651,Add ETF Holder command with FMP data,CLOSED,2023-11-01T19:25:01Z,2023-11-07T12:08:38Z,2023-11-07T12:08:38Z,136.726944,134,6,142,1,143,2,0,2,0,1,NO_REVIEW,no_review,,,no,piiq,,4906,10,95,0.050000
OpenBB-finance,OpenBB,OpenBB-finance/OpenBB,5276,https://github.com/OpenBB-finance/OpenBB/pull/5276,Feature/sdk v4 updates,MERGED,2023-08-02T16:46:37Z,2023-08-15T10:15:12Z,2023-08-15T10:15:12Z,305.476389,691,130,3838,1921,5759,0,0,0,3,4,APPROVED,positive,COMMENTED|COMMENTED|APPROVED,piiq|jmaslek|IgorWounds,yes,tehcoderer,2023-08-15T10:14:52Z,4906,10,95,0.050000
OpenBB-finance,OpenBB,OpenBB-finance/OpenBB,4509,https://github.com/OpenBB-finance/OpenBB/pull/4509,Add login command,MERGED,2023-03-17T13:39:27Z,2023-03-21T10:22:13Z,2023-03-21T10:22:13Z,92.712778,1213,24,389,297,686,5,0,5,3,3,COMMENTED,neutral,APPROVED|COMMENTED|COMMENTED,jmaslek|hjoaquim|jmaslek,yes,montezdesousa,2023-03-21T10:17:47Z,4906,10,95,0.050000
OpenBB-finance,OpenBB,OpenBB-finance/OpenBB,4210,https://github.com/OpenBB-finance/OpenBB/pull/4210,"Hotfix/sdk-trailmaps `portfolio.po` deprecated functions, fix `stocks.disc.filings`, `stocks.fa.sec_fmp`",MERGED,2023-02-10T17:59:33Z,2023-02-16T16:31:04Z,2023-02-16T16:31:04Z,142.525278,41,2,2,4,6,0,0,0,4,2,APPROVED,positive,COMMENTED|COMMENTED|COMMENTED|APPROVED,jmaslek|tehcoderer|jmaslek|jmaslek,yes,tehcoderer,2023-02-10T18:22:01Z,4906,10,95,0.050000
OpenBB-finance,OpenBB,OpenBB-finance/OpenBB,3764,https://github.com/OpenBB-finance/OpenBB/pull/3764,Changing packaging version,MERGED,2022-12-12T17:27:11Z,2022-12-13T00:21:03Z,2022-12-13T00:21:03Z,6.897778,421,9,100,61,161,7,0,7,1,2,APPROVED,positive,APPROVED,jmaslek,yes,hjoaquim,2022-12-12T21:32:13Z,4906,10,95,0.050000
OpenBB-finance,OpenBB,OpenBB-finance/OpenBB,2528,https://github.com/OpenBB-finance/OpenBB/pull/2528,Some docs improvements,MERGED,2022-09-12T10:25:52Z,2022-09-12T11:46:36Z,2022-09-12T11:46:36Z,1.345556,0,19,32,10,42,0,0,0,1,2,APPROVED,positive,APPROVED,JerBouma,yes,jose-donato,2022-09-12T11:45:57Z,4906,10,95,0.050000
OpenBB-finance,OpenBB,OpenBB-finance/OpenBB,1971,https://github.com/OpenBB-finance/OpenBB/pull/1971,Changing menu dialogue for keys menu to be more apparent on how to add an api key,MERGED,2022-06-20T23:29:23Z,2022-06-29T19:12:31Z,2022-06-29T19:12:31Z,211.718889,727,1,1,1,2,2,0,2,3,3,APPROVED,positive,APPROVED|CHANGES_REQUESTED|APPROVED,minhhoang1023|DidierRLopes|DidierRLopes,yes,simmonsj330,2022-06-28T19:41:10Z,4906,10,95,0.050000
