owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
PKUFlyingPig,cs-self-learning,PKUFlyingPig/cs-self-learning,831,https://github.com/PKUFlyingPig/cs-self-learning/pull/831,chore: Update outdated GitHub Actions versions,OPEN,2026-01-21T09:21:23Z,2026-01-21T09:21:33Z,2026-01-21T09:21:33Z,0.002778,187,1,2,2,4,1,0,1,0,1,NO_REVIEW,no_review,,,no,pgoslatara,,395,10,95,0.050000
PKUFlyingPig,cs-self-learning,PKUFlyingPig/cs-self-learning,800,https://github.com/PKUFlyingPig/cs-self-learning/pull/800,[Fix] Fix link,MERGED,2025-09-29T14:04:14Z,2025-09-29T14:05:51Z,2025-09-29T14:05:51Z,0.026944,0,1,1,2,3,1,0,1,0,1,NO_REVIEW,no_review,,,no,PKUFlyingPig,2025-09-29T14:05:39Z,395,10,95,0.050000
PKUFlyingPig,cs-self-learning,PKUFlyingPig/cs-self-learning,642,https://github.com/PKUFlyingPig/cs-self-learning/pull/642,[ENHANCE] Add resources for UCB-CS161 && CMU-10714,OPEN,2024-07-26T09:48:51Z,2024-07-26T12:51:19Z,2024-07-26T12:51:19Z,3.041111,17,4,4,0,4,2,0,2,0,1,NO_REVIEW,no_review,,,no,wplf,,395,10,95,0.050000
PKUFlyingPig,cs-self-learning,PKUFlyingPig/cs-self-learning,533,https://github.com/PKUFlyingPig/cs-self-learning/pull/533,[FIX] Fix course name,MERGED,2023-11-24T16:00:02Z,2023-11-24T16:11:03Z,2023-11-24T16:11:03Z,0.183611,0,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,Boreas618,2023-11-24T16:11:03Z,395,10,95,0.050000
PKUFlyingPig,cs-self-learning,PKUFlyingPig/cs-self-learning,468,https://github.com/PKUFlyingPig/cs-self-learning/pull/468,[COURSE] Add Computer Architecture 227-2210-00L and Digital Design and Computer Architecture 252-0028-00L,MERGED,2023-06-13T17:47:54Z,2023-06-30T09:33:00Z,2023-06-30T09:33:00Z,399.751667,230,3,35,4,39,7,0,7,1,2,COMMENTED,neutral,COMMENTED,PKUFlyingPig,yes,TephrocactusMYC,2023-06-30T09:32:59Z,395,10,95,0.050000
PKUFlyingPig,cs-self-learning,PKUFlyingPig/cs-self-learning,472,https://github.com/PKUFlyingPig/cs-self-learning/pull/472,[RELEASE] Update release version in home page,MERGED,2023-06-17T17:28:23Z,2023-06-18T07:00:18Z,2023-06-18T07:00:18Z,13.531944,17,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,xuyanshi,2023-06-18T04:27:53Z,395,10,95,0.050000
PKUFlyingPig,cs-self-learning,PKUFlyingPig/cs-self-learning,123,https://github.com/PKUFlyingPig/cs-self-learning/pull/123,Reformat to show links,MERGED,2022-04-05T06:43:11Z,2022-04-05T07:19:56Z,2022-04-05T07:19:56Z,0.612500,265,1,17,17,34,0,0,0,0,1,NO_REVIEW,no_review,,,no,ZhiyuanMa2017,2022-04-05T07:19:56Z,395,10,95,0.050000
PKUFlyingPig,cs-self-learning,PKUFlyingPig/cs-self-learning,54,https://github.com/PKUFlyingPig/cs-self-learning/pull/54,6.S081 补充材料,MERGED,2022-02-15T15:43:20Z,2022-02-16T02:41:31Z,2022-02-16T02:41:31Z,10.969722,132,1,1,1,2,2,0,2,0,1,NO_REVIEW,no_review,,,no,KuangjuX,2022-02-16T02:41:08Z,395,10,95,0.050000
PKUFlyingPig,cs-self-learning,PKUFlyingPig/cs-self-learning,26,https://github.com/PKUFlyingPig/cs-self-learning/pull/26,add a book about database,MERGED,2021-12-16T03:40:51Z,2021-12-16T07:45:31Z,2021-12-16T07:45:31Z,4.077778,33,1,2,1,3,0,0,0,0,1,NO_REVIEW,no_review,,,no,MedivhGO,2021-12-16T07:39:13Z,395,10,95,0.050000
PKUFlyingPig,cs-self-learning,PKUFlyingPig/cs-self-learning,9,https://github.com/PKUFlyingPig/cs-self-learning/pull/9,add GAMES101 for computer graphics courses and add recommended books,MERGED,2021-12-13T02:32:39Z,2021-12-13T03:36:28Z,2021-12-13T03:36:28Z,1.063611,68,2,33,0,33,0,0,0,0,1,NO_REVIEW,no_review,,,no,ysj1173886760,2021-12-13T03:36:28Z,395,10,95,0.050000
