owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
PaddlePaddle,PaddleOCR,PaddlePaddle/PaddleOCR,15948,https://github.com/PaddlePaddle/PaddleOCR/pull/15948,sup func for pp_chatocrv4,MERGED,2025-07-03T08:03:17Z,2025-07-03T09:18:52Z,2025-07-03T09:18:52Z,1.259722,0,1,5,0,5,1,0,1,1,2,APPROVED,positive,APPROVED,Bobholamovic,yes,zhang-prog,2025-07-03T08:26:27Z,3951,10,95,0.050000
PaddlePaddle,PaddleOCR,PaddlePaddle/PaddleOCR,15546,https://github.com/PaddlePaddle/PaddleOCR/pull/15546,【cherry-pick】fix OCR pipeline docs,MERGED,2025-06-03T06:01:28Z,2025-06-03T07:20:40Z,2025-06-03T07:20:40Z,1.320000,0,2,71,2,73,1,0,1,1,2,APPROVED,positive,APPROVED,cuicheng01,yes,zhangyubo0722,2025-06-03T07:20:40Z,3951,10,95,0.050000
PaddlePaddle,PaddleOCR,PaddlePaddle/PaddleOCR,15216,https://github.com/PaddlePaddle/PaddleOCR/pull/15216,fix chatocr_doc.en,MERGED,2025-05-20T08:12:12Z,2025-05-20T08:31:26Z,2025-05-20T08:31:26Z,0.320556,0,1,1078,0,1078,2,0,2,1,2,APPROVED,positive,APPROVED,TingquanGao,yes,letmeinplzzzzz,2025-05-20T08:31:26Z,3951,10,95,0.050000
PaddlePaddle,PaddleOCR,PaddlePaddle/PaddleOCR,13763,https://github.com/PaddlePaddle/PaddleOCR/pull/13763,update applications/overview.md,MERGED,2024-08-28T07:32:59Z,2024-11-13T06:56:49Z,2024-11-13T06:56:49Z,1847.397222,10,1,15,13,28,0,0,0,1,2,APPROVED,positive,APPROVED,SWHL,yes,GreatV,2024-08-28T08:38:27Z,3951,10,95,0.050000
PaddlePaddle,PaddleOCR,PaddlePaddle/PaddleOCR,6279,https://github.com/PaddlePaddle/PaddleOCR/pull/6279,Update PPOCRLabel ,MERGED,2022-05-13T07:01:54Z,2022-05-13T07:02:20Z,2022-05-13T07:02:20Z,0.007222,17,5,11356,11330,22686,1,0,1,0,1,NO_REVIEW,no_review,,,no,Evezerest,2022-05-13T07:02:20Z,3951,10,95,0.050000
PaddlePaddle,PaddleOCR,PaddlePaddle/PaddleOCR,4718,https://github.com/PaddlePaddle/PaddleOCR/pull/4718,Fix att loss,MERGED,2021-11-22T04:08:58Z,2021-11-22T06:27:42Z,2021-11-22T06:27:42Z,2.312222,3,1,1,1,2,1,0,1,1,2,APPROVED,positive,APPROVED,LDOUBLEV,yes,tink2123,2021-11-22T06:27:42Z,3951,10,95,0.050000
PaddlePaddle,PaddleOCR,PaddlePaddle/PaddleOCR,662,https://github.com/PaddlePaddle/PaddleOCR/pull/662,rm duplicate readme,MERGED,2020-09-03T04:51:55Z,2021-11-13T03:29:44Z,2021-11-13T03:29:44Z,10462.630278,18,1,0,58,58,0,0,0,0,1,NO_REVIEW,no_review,,,no,littletomatodonkey,2020-09-03T05:43:09Z,3951,10,95,0.050000
PaddlePaddle,PaddleOCR,PaddlePaddle/PaddleOCR,3935,https://github.com/PaddlePaddle/PaddleOCR/pull/3935,add icdar2015 download,MERGED,2021-09-07T03:36:48Z,2021-09-07T03:36:55Z,2021-09-07T03:36:55Z,0.001944,0,2,2,2,4,1,0,1,0,1,NO_REVIEW,no_review,,,no,LDOUBLEV,2021-09-07T03:36:54Z,3951,10,95,0.050000
PaddlePaddle,PaddleOCR,PaddlePaddle/PaddleOCR,1989,https://github.com/PaddlePaddle/PaddleOCR/pull/1989,Add FAQ for 2.8,MERGED,2021-02-09T02:52:40Z,2021-02-09T03:07:37Z,2021-02-09T03:07:37Z,0.249167,3,2,55,17,72,0,0,0,0,1,NO_REVIEW,no_review,,,no,tink2123,2021-02-09T03:07:37Z,3951,10,95,0.050000
PaddlePaddle,PaddleOCR,PaddlePaddle/PaddleOCR,540,https://github.com/PaddlePaddle/PaddleOCR/pull/540,add total-text metrics,MERGED,2020-08-16T12:07:53Z,2020-08-16T12:09:36Z,2020-08-16T12:09:36Z,0.028611,0,2,13,1,14,0,0,0,0,1,NO_REVIEW,no_review,,,no,MissPenguin,2020-08-16T12:09:36Z,3951,10,95,0.050000
