owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
Significant-Gravitas,AutoGPT,Significant-Gravitas/AutoGPT,12967,https://github.com/Significant-Gravitas/AutoGPT/pull/12967,hotfix(backend): remove $5 VISIT_COPILOT signup grant,closed,2026-04-30T20:09:04Z,2026-05-01T09:42:48Z,2026-05-01T09:42:48Z,13.562222,2543,2,26,4,30,7,0,7,0,1,NO_REVIEW,no_review,COMMENTED,,no,Torantulino,,7851,300,95,0.050000
Significant-Gravitas,AutoGPT,Significant-Gravitas/AutoGPT,12740,https://github.com/Significant-Gravitas/AutoGPT/pull/12740,feat(platform): Trigger On Anything,open,2026-04-10T17:13:03Z,2026-05-01T08:42:42Z,2026-05-01T08:42:42Z,495.494167,3705,47,2684,41,2725,17,141,158,44,3,DISMISSED,dismissed,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|CHANGES_REQUESTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|CHANGES_REQUESTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|CHANGES_REQUESTED|COMMENTED|COMMENTED|COMMENTED|CHANGES_REQUESTED|CHANGES_REQUESTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|DISMISSED,Pwuts|Pwuts|majdyz|majdyz|majdyz|majdyz|majdyz|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|Pwuts|ntindle|ntindle|Pwuts|ntindle,yes,Pwuts,,7851,300,95,0.050000
Significant-Gravitas,AutoGPT,Significant-Gravitas/AutoGPT,12959,https://github.com/Significant-Gravitas/AutoGPT/pull/12959,fix(backend/credit): reserve TOP_UP for real Stripe checkouts; refunds use grant_credits,closed,2026-04-30T13:15:39Z,2026-04-30T23:06:44Z,2026-04-30T23:06:44Z,9.851389,3356,8,179,7,186,6,6,12,2,1,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,majdyz|majdyz,yes,majdyz,2026-04-30T18:18:03Z,7851,300,95,0.050000
Significant-Gravitas,AutoGPT,Significant-Gravitas/AutoGPT,12921,https://github.com/Significant-Gravitas/AutoGPT/pull/12921,fix(frontend): filter null query params in buildUrlWithQuery (#11237),closed,2026-04-25T09:15:49Z,2026-04-27T06:46:04Z,2026-04-27T06:46:04Z,45.504167,342,2,35,3,38,4,0,4,1,2,APPROVED,positive,APPROVED,majdyz,yes,SymbolStar,2026-04-27T06:43:48Z,7851,300,95,0.050000
Significant-Gravitas,AutoGPT,Significant-Gravitas/AutoGPT,12915,https://github.com/Significant-Gravitas/AutoGPT/pull/12915,refactor(platform): consolidate 6 LD flags into 2 JSON flags,closed,2026-04-24T16:14:48Z,2026-04-24T23:08:12Z,2026-04-24T23:08:12Z,6.890000,3169,5,404,73,477,3,5,8,2,1,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,majdyz|majdyz,yes,majdyz,2026-04-24T23:08:10Z,7851,300,95,0.050000
Significant-Gravitas,AutoGPT,Significant-Gravitas/AutoGPT,12885,https://github.com/Significant-Gravitas/AutoGPT/pull/12885,feat(frontend): add Settings v2 page layout behind SETTINGS_V2 flag (SECRT-2272),closed,2026-04-22T15:11:18Z,2026-04-24T10:56:34Z,2026-04-24T10:56:34Z,43.754444,4798,18,656,0,656,3,21,24,9,2,APPROVED,positive,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|DISMISSED|APPROVED,Abhi1992002|Abhi1992002|Abhi1992002|Abhi1992002|Abhi1992002|Abhi1992002|Abhi1992002|0ubbe|0ubbe,yes,Abhi1992002,2026-04-24T10:55:29Z,7851,300,95,0.050000
Significant-Gravitas,AutoGPT,Significant-Gravitas/AutoGPT,12671,https://github.com/Significant-Gravitas/AutoGPT/pull/12671,docs: fix broken paths and outdated references after classic consolidation,open,2026-04-03T14:09:20Z,2026-04-21T16:54:04Z,2026-04-21T16:54:04Z,434.745556,1776,16,66,95,161,2,8,10,0,1,NO_REVIEW,no_review,COMMENTED|COMMENTED|COMMENTED,,no,ntindle,,7851,300,95,0.050000
Significant-Gravitas,AutoGPT,Significant-Gravitas/AutoGPT,12620,https://github.com/Significant-Gravitas/AutoGPT/pull/12620,feat(platform): Add xAI Grok 4.20 models from OpenRouter,closed,2026-03-31T13:45:34Z,2026-04-16T12:28:20Z,2026-04-16T12:28:20Z,382.712778,1066,4,24,10,34,6,0,6,4,3,APPROVED,positive,DISMISSED|DISMISSED|APPROVED|APPROVED,ntindle|Pwuts|Pwuts|Pwuts,yes,Torantulino,2026-04-16T12:27:22Z,7851,300,95,0.050000
Significant-Gravitas,AutoGPT,Significant-Gravitas/AutoGPT,11902,https://github.com/Significant-Gravitas/AutoGPT/pull/11902,fix(backend/db): Move `vector` extension to `extensions` schema,open,2026-01-30T11:13:17Z,2026-04-15T21:48:57Z,2026-04-15T21:48:57Z,1810.594444,653,2,84,1,85,5,3,8,5,4,APPROVED,positive,COMMENTED|DISMISSED|COMMENTED|COMMENTED|APPROVED|APPROVED|APPROVED,majdyz|Pwuts|majdyz|ntindle|Swiftyos,yes,Pwuts,,7851,300,95,0.050000
Significant-Gravitas,AutoGPT,Significant-Gravitas/AutoGPT,12420,https://github.com/Significant-Gravitas/AutoGPT/pull/12420,Claude/ai coach navigator mr504,closed,2026-03-14T17:56:54Z,2026-04-15T21:28:19Z,2026-04-15T21:28:19Z,771.523611,1352,32,3693,65,3758,4,33,37,2,3,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,autogpt-reviewer|majdyz,yes,syncpartners1,,7851,300,95,0.050000
