owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
Stirling-Tools,Stirling-PDF,Stirling-Tools/Stirling-PDF,6244,https://github.com/Stirling-Tools/Stirling-PDF/pull/6244,Add Playwright/bootRun/test.sh tasks ,OPEN,2026-04-27T11:07:38Z,2026-04-30T21:22:27Z,2026-04-30T21:22:27Z,82.246944,909,11,243,80,323,2,0,2,3,3,COMMENTED,neutral,DISMISSED|COMMENTED|COMMENTED,reecebrowne|jbrunton96|jbrunton96,yes,Frooodle,,4264,10,95,0.050000
Stirling-Tools,Stirling-PDF,Stirling-Tools/Stirling-PDF,6051,https://github.com/Stirling-Tools/Stirling-PDF/pull/6051,removeffmpeg,CLOSED,2026-04-02T16:05:21Z,2026-04-02T16:17:14Z,2026-04-02T16:17:14Z,0.198056,819,6,12,5,17,0,0,0,0,1,NO_REVIEW,no_review,,,no,Frooodle,,4264,10,95,0.050000
Stirling-Tools,Stirling-PDF,Stirling-Tools/Stirling-PDF,4198,https://github.com/Stirling-Tools/Stirling-PDF/pull/4198,feat: Update Brazilian Portuguese translation,MERGED,2025-08-13T00:29:18Z,2025-11-02T19:56:34Z,2025-11-02T19:56:34Z,1963.454444,392,1,241,241,482,1,0,1,4,3,APPROVED,positive,DISMISSED|DISMISSED|APPROVED|APPROVED,Ludy87|Frooodle|Ludy87|Frooodle,yes,lspaulucio,2025-11-02T19:56:34Z,4264,10,95,0.050000
Stirling-Tools,Stirling-PDF,Stirling-Tools/Stirling-PDF,3965,https://github.com/Stirling-Tools/Stirling-PDF/pull/3965,V2 testing and docker replacements,MERGED,2025-07-16T22:40:12Z,2025-07-17T13:29:17Z,2025-07-17T13:29:17Z,14.818056,2345,27,394,433,827,1,0,1,2,3,APPROVED,positive,APPROVED|APPROVED,reecebrowne|ConnorYoh,yes,Frooodle,2025-07-17T13:29:10Z,4264,10,95,0.050000
Stirling-Tools,Stirling-PDF,Stirling-Tools/Stirling-PDF,3869,https://github.com/Stirling-Tools/Stirling-PDF/pull/3869,:globe_with_meridians: Sync Translations + Update README Progress Table,MERGED,2025-07-03T11:00:53Z,2025-07-03T11:02:40Z,2025-07-03T11:02:40Z,0.029722,885,2,5,5,10,0,0,0,1,2,APPROVED,positive,APPROVED,Frooodle,yes,stirlingbot,2025-07-03T11:01:53Z,4264,10,95,0.050000
Stirling-Tools,Stirling-PDF,Stirling-Tools/Stirling-PDF,3463,https://github.com/Stirling-Tools/Stirling-PDF/pull/3463,Fix cert-sign API NullPointerException when pageNumber is omitted for invisible signatures,MERGED,2025-05-02T17:33:25Z,2025-05-07T08:19:06Z,2025-05-07T08:19:06Z,110.761389,1957,2,37,14,51,3,0,3,2,3,APPROVED,positive,COMMENTED|APPROVED,copilot-pull-request-reviewer|Frooodle,yes,Ludy87,2025-05-07T08:19:06Z,4264,10,95,0.050000
Stirling-Tools,Stirling-PDF,Stirling-Tools/Stirling-PDF,3095,https://github.com/Stirling-Tools/Stirling-PDF/pull/3095,Survey to allow booking meetings1,MERGED,2025-03-01T20:28:20Z,2025-04-11T08:46:25Z,2025-04-11T08:46:25Z,972.301389,895,5,43,23,66,1,0,1,1,2,APPROVED,positive,APPROVED,Ludy87,yes,Frooodle,2025-03-01T20:36:11Z,4264,10,95,0.050000
Stirling-Tools,Stirling-PDF,Stirling-Tools/Stirling-PDF,3244,https://github.com/Stirling-Tools/Stirling-PDF/pull/3244,Hardening suggestions for Stirling-PDF / enterpriseStuff,MERGED,2025-03-25T17:46:06Z,2025-03-25T17:50:28Z,2025-03-25T17:50:28Z,0.072778,364,1,1,1,2,0,0,0,2,2,APPROVED,positive,COMMENTED|APPROVED,pixeebot|Frooodle,yes,pixeebot,2025-03-25T17:50:26Z,4264,10,95,0.050000
Stirling-Tools,Stirling-PDF,Stirling-Tools/Stirling-PDF,2853,https://github.com/Stirling-Tools/Stirling-PDF/pull/2853,Bump actions/create-github-app-token from 1.11.1 to 1.11.2,MERGED,2025-02-02T20:59:20Z,2025-02-03T10:07:45Z,2025-02-03T10:07:45Z,13.140278,2986,3,4,4,8,0,0,0,2,3,APPROVED,positive,APPROVED|APPROVED,Ludy87|Frooodle,yes,dependabot,2025-02-03T10:07:37Z,4264,10,95,0.050000
Stirling-Tools,Stirling-PDF,Stirling-Tools/Stirling-PDF,201,https://github.com/Stirling-Tools/Stirling-PDF/pull/201,Add Korean translation,MERGED,2023-05-22T16:04:23Z,2023-10-09T23:54:37Z,2023-10-09T23:54:37Z,3367.837222,0,3,516,0,516,5,0,5,0,1,NO_REVIEW,no_review,,,no,Alanimdeo,2023-05-22T19:14:39Z,4264,10,95,0.050000
