owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
TheAlgorithms,Python,TheAlgorithms/Python,14616,https://github.com/TheAlgorithms/Python/pull/14616,feat: add n_input_or_gate function to calculate OR of multiple inputs,open,2026-05-03T07:28:11Z,2026-05-03T07:36:14Z,2026-05-03T07:36:14Z,0.134167,1494,1,13,0,13,0,0,0,0,1,NO_REVIEW,no_review,,,no,TTAAAN,,12072,300,95,0.050000
TheAlgorithms,Python,TheAlgorithms/Python,13588,https://github.com/TheAlgorithms/Python/pull/13588,Add comprehensive test coverage for maths.abs module,open,2025-10-18T19:02:58Z,2026-04-30T16:10:18Z,2026-04-30T16:10:18Z,4653.122222,2446,1,145,0,145,1,0,1,0,1,NO_REVIEW,no_review,,,no,raman1236,,12072,300,95,0.050000
TheAlgorithms,Python,TheAlgorithms/Python,14559,https://github.com/TheAlgorithms/Python/pull/14559,searches: improve type hints in linear_search.py,open,2026-04-14T12:59:28Z,2026-04-14T20:37:37Z,2026-04-14T20:37:37Z,7.635833,1097,1,2,2,4,0,0,0,1,2,APPROVED,positive,APPROVED,mindaugl,yes,AKIB473,,12072,300,95,0.050000
TheAlgorithms,Python,TheAlgorithms/Python,14444,https://github.com/TheAlgorithms/Python/pull/14444,Fix empty input edge case and correct output formatting,closed,2026-03-25T14:22:04Z,2026-04-10T22:07:39Z,2026-04-10T22:07:39Z,391.759722,483,1,5,1,6,0,0,0,2,3,APPROVED,positive,APPROVED|APPROVED,mindaugl|MaximSmolskiy,yes,mahema-14,2026-04-10T22:07:39Z,12072,300,95,0.050000
TheAlgorithms,Python,TheAlgorithms/Python,14487,https://github.com/TheAlgorithms/Python/pull/14487,docs: Improve bubble sort documentation with beginner-friendly explan…,closed,2026-03-31T23:00:49Z,2026-03-31T23:06:19Z,2026-03-31T23:06:19Z,0.091667,1849,1,56,3,59,1,0,1,0,1,NO_REVIEW,no_review,,,no,nareshkoundel,,12072,300,95,0.050000
TheAlgorithms,Python,TheAlgorithms/Python,14482,https://github.com/TheAlgorithms/Python/pull/14482,feat: add Reversort sorting algorithm,open,2026-03-29T20:13:20Z,2026-03-30T20:04:54Z,2026-03-30T20:04:54Z,23.859444,569,1,159,0,159,0,0,0,1,2,APPROVED,positive,APPROVED,mindaugl,yes,xingzihai,,12072,300,95,0.050000
TheAlgorithms,Python,TheAlgorithms/Python,14417,https://github.com/TheAlgorithms/Python/pull/14417,Improved docstring and added comments for better readability,closed,2026-03-18T14:44:40Z,2026-03-18T14:46:41Z,2026-03-18T14:46:41Z,0.033611,236,1,24,5,29,1,0,1,0,1,NO_REVIEW,no_review,,,no,charull44,,12072,300,95,0.050000
TheAlgorithms,Python,TheAlgorithms/Python,14370,https://github.com/TheAlgorithms/Python/pull/14370,Added tests,closed,2026-03-13T09:00:48Z,2026-03-13T09:03:30Z,2026-03-13T09:03:30Z,0.045000,0,2,11,0,11,1,0,1,0,1,NO_REVIEW,no_review,,,no,kir1903,,12072,300,95,0.050000
TheAlgorithms,Python,TheAlgorithms/Python,13793,https://github.com/TheAlgorithms/Python/pull/13793,Create factorial_iterative.py,closed,2025-10-28T19:48:21Z,2026-03-11T07:33:45Z,2026-03-11T07:33:45Z,3203.756667,928,2,36,0,36,1,2,3,0,1,NO_REVIEW,no_review,COMMENTED|COMMENTED,,no,agarwalpranay02,,12072,300,95,0.050000
TheAlgorithms,Python,TheAlgorithms/Python,13804,https://github.com/TheAlgorithms/Python/pull/13804,Add recursive factorial implementation in Python,closed,2025-10-29T20:06:24Z,2026-03-10T15:08:19Z,2026-03-10T15:08:19Z,3163.031944,1337,1,9,0,9,0,1,1,1,2,APPROVED,positive,COMMENTED|APPROVED,mindaugl,yes,Sourabhyadav09,,12072,300,95,0.050000
TheAlgorithms,Python,TheAlgorithms/Python,14272,https://github.com/TheAlgorithms/Python/pull/14272,Improved binary search docs,open,2026-02-15T05:52:14Z,2026-02-15T06:04:07Z,2026-02-15T06:04:07Z,0.198056,1677,1,6,0,6,0,0,0,0,1,NO_REVIEW,no_review,,,no,avneeshkumar31311-cyber,,12072,300,95,0.050000
TheAlgorithms,Python,TheAlgorithms/Python,14269,https://github.com/TheAlgorithms/Python/pull/14269,Remove unreachable Case 1 in radix tree insert and handle exact match…,open,2026-02-13T08:34:19Z,2026-02-13T08:39:39Z,2026-02-13T08:39:39Z,0.088889,1953,1,7,4,11,0,0,0,0,1,NO_REVIEW,no_review,,,no,tri-23-dip,,12072,300,95,0.050000
TheAlgorithms,Python,TheAlgorithms/Python,14263,https://github.com/TheAlgorithms/Python/pull/14263,Create sample.py,closed,2026-02-10T17:51:43Z,2026-02-10T17:53:44Z,2026-02-10T17:53:44Z,0.033611,1494,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,vamsi-bommu,,12072,300,95,0.050000
TheAlgorithms,Python,TheAlgorithms/Python,14226,https://github.com/TheAlgorithms/Python/pull/14226,Replace urllib with requests to Restrict Unsafe Protocol Handling,closed,2026-01-30T05:42:20Z,2026-01-30T05:44:03Z,2026-01-30T05:44:03Z,0.028611,818,1,4,4,8,1,0,1,0,1,NO_REVIEW,no_review,,,no,Tanmaykaturi,,12072,300,95,0.050000
TheAlgorithms,Python,TheAlgorithms/Python,14090,https://github.com/TheAlgorithms/Python/pull/14090,Add iterative binary search implementation,open,2026-01-09T14:25:45Z,2026-01-29T15:28:44Z,2026-01-29T15:28:44Z,481.049722,1542,1,26,0,26,0,2,2,0,1,NO_REVIEW,no_review,COMMENTED,,no,KushDutta23,,12072,300,95,0.050000
TheAlgorithms,Python,TheAlgorithms/Python,14220,https://github.com/TheAlgorithms/Python/pull/14220,docs: improve README clarity and formatting,closed,2026-01-28T13:47:48Z,2026-01-28T13:48:37Z,2026-01-28T13:48:37Z,0.013611,108,1,15,9,24,1,0,1,0,1,NO_REVIEW,no_review,,,no,krishnahanda484,,12072,300,95,0.050000
TheAlgorithms,Python,TheAlgorithms/Python,14138,https://github.com/TheAlgorithms/Python/pull/14138,Change from qiskit import Aer to from qiskit_aer import AerSimulator,open,2026-01-14T16:16:01Z,2026-01-15T16:15:44Z,2026-01-15T16:15:44Z,23.995278,1088,3,103,58,161,1,5,6,0,1,NO_REVIEW,no_review,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,,no,AnshMNSoni,,12072,300,95,0.050000
