owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
Z4nzu,hackingtool,Z4nzu/hackingtool,590,https://github.com/Z4nzu/hackingtool/pull/590,"Restructure for v2.0.0 with new tools, features, and UI updates",MERGED,2026-03-15T13:52:48Z,2026-04-01T08:41:21Z,2026-04-01T08:41:21Z,402.809167,1753,60,4494,3672,8166,0,0,0,3,2,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED,copilot-pull-request-reviewer|copilot-pull-request-reviewer|copilot-pull-request-reviewer,yes,Z4nzu,2026-03-15T14:33:09Z,154,10,95,0.050000
Z4nzu,hackingtool,Z4nzu/hackingtool,310,https://github.com/Z4nzu/hackingtool/pull/310,Add Docker,MERGED,2022-12-02T21:20:13Z,2025-02-23T19:27:17Z,2025-02-23T19:27:17Z,19534.117778,276,3,49,1,50,2,0,2,0,1,NO_REVIEW,no_review,,,no,vgpastor,2022-12-03T16:40:36Z,154,10,95,0.050000
Z4nzu,hackingtool,Z4nzu/hackingtool,423,https://github.com/Z4nzu/hackingtool/pull/423,Fix typo on docker build command,CLOSED,2023-10-29T18:21:42Z,2024-10-23T19:23:45Z,2024-10-23T19:23:45Z,8641.034167,57,1,1,1,2,0,0,0,1,2,APPROVED,positive,APPROVED,FabioDePalma,yes,rowenwillabus,,154,10,95,0.050000
Z4nzu,hackingtool,Z4nzu/hackingtool,462,https://github.com/Z4nzu/hackingtool/pull/462,Hack 98935 77882 for whatsaap otp pass,CLOSED,2024-05-05T06:24:07Z,2024-05-15T07:27:53Z,2024-05-15T07:27:53Z,241.062778,8,1,0,0,0,2,0,2,1,2,APPROVED,positive,APPROVED,Allinfoplug,yes,Pukhrajsahu,,154,10,95,0.050000
Z4nzu,hackingtool,Z4nzu/hackingtool,388,https://github.com/Z4nzu/hackingtool/pull/388,GitHub Action to test the install process,MERGED,2023-07-18T07:49:20Z,2023-07-18T12:18:27Z,2023-07-18T12:18:27Z,4.485278,0,3,31,3,34,0,0,0,0,1,NO_REVIEW,no_review,,,no,cclauss,2023-07-18T12:09:41Z,154,10,95,0.050000
Z4nzu,hackingtool,Z4nzu/hackingtool,351,https://github.com/Z4nzu/hackingtool/pull/351,Minor fixes,MERGED,2023-03-04T15:02:57Z,2023-03-04T15:13:05Z,2023-03-04T15:13:05Z,0.168889,120,5,15,18,33,0,0,0,2,2,APPROVED,positive,APPROVED|APPROVED,Z4nzu|Z4nzu,yes,cclauss,2023-03-04T15:11:44Z,154,10,95,0.050000
Z4nzu,hackingtool,Z4nzu/hackingtool,257,https://github.com/Z4nzu/hackingtool/pull/257,Add XSS detection tool - Cyclops,MERGED,2022-06-14T07:39:45Z,2023-01-27T08:42:00Z,2023-01-27T08:42:00Z,5449.037500,255,1,1,0,1,1,0,1,1,2,APPROVED,positive,APPROVED,Z4nzu,yes,v8blink,2023-01-27T08:41:59Z,154,10,95,0.050000
Z4nzu,hackingtool,Z4nzu/hackingtool,260,https://github.com/Z4nzu/hackingtool/pull/260,feat: format out put and group commands,MERGED,2022-06-26T12:46:21Z,2022-06-28T15:21:39Z,2022-06-28T15:21:39Z,50.588333,157,1,38,47,85,0,0,0,0,1,NO_REVIEW,no_review,,,no,Sanix-Darker,2022-06-28T15:21:38Z,154,10,95,0.050000
Z4nzu,hackingtool,Z4nzu/hackingtool,211,https://github.com/Z4nzu/hackingtool/pull/211,Update this template,MERGED,2022-04-02T18:15:18Z,2022-06-12T19:32:31Z,2022-06-12T19:32:31Z,1705.286944,137,1,10,13,23,1,0,1,0,1,NO_REVIEW,no_review,,,no,M00NL16H7,2022-06-12T19:32:30Z,154,10,95,0.050000
Z4nzu,hackingtool,Z4nzu/hackingtool,150,https://github.com/Z4nzu/hackingtool/pull/150,Update hackingtool.py,CLOSED,2021-07-30T18:03:30Z,2021-08-10T16:58:08Z,2021-08-10T16:58:08Z,262.910556,20,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,1RaY-1,,154,10,95,0.050000
