owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
abi,screenshot-to-code,abi/screenshot-to-code,357,https://github.com/abi/screenshot-to-code/pull/357,AWS Bedrock support,CLOSED,2024-06-07T05:21:25Z,2026-02-27T17:18:28Z,2026-02-27T17:18:28Z,15131.950833,102,4,266,41,307,1,0,1,1,2,CHANGES_REQUESTED,negative,CHANGES_REQUESTED,abi,yes,yoreland,,172,10,95,0.050000
abi,screenshot-to-code,abi/screenshot-to-code,238,https://github.com/abi/screenshot-to-code/pull/238,add Flutter widget template,CLOSED,2024-02-26T09:56:00Z,2026-02-27T17:17:57Z,2026-02-27T17:17:57Z,17575.365833,92,11,9488,1288,10776,3,0,3,0,1,NO_REVIEW,no_review,,,no,nne998,,172,10,95,0.050000
abi,screenshot-to-code,abi/screenshot-to-code,564,https://github.com/abi/screenshot-to-code/pull/564,Add z-image-turbo as default Replicate model,OPEN,2026-02-26T18:09:06Z,2026-02-26T18:09:06Z,2026-02-26T18:09:06Z,0.000000,622,4,137,14,151,0,0,0,0,1,NO_REVIEW,no_review,,,no,abi,,172,10,95,0.050000
abi,screenshot-to-code,abi/screenshot-to-code,496,https://github.com/abi/screenshot-to-code/pull/496,xAi (grok-2-vision-1212) added to llm list,CLOSED,2025-02-24T11:40:38Z,2026-02-08T23:21:56Z,2026-02-08T23:21:56Z,8387.688333,68,5,155,25,180,3,0,3,0,1,NO_REVIEW,no_review,,,no,mirzaaghazadeh,,172,10,95,0.050000
abi,screenshot-to-code,abi/screenshot-to-code,549,https://github.com/abi/screenshot-to-code/pull/549,Claude/fix fade animation xu jrr,MERGED,2026-01-28T13:59:21Z,2026-01-28T19:33:37Z,2026-01-28T19:33:37Z,5.571111,0,4,15,8,23,0,0,0,0,1,NO_REVIEW,no_review,,,no,abi,2026-01-28T13:59:29Z,172,10,95,0.050000
abi,screenshot-to-code,abi/screenshot-to-code,329,https://github.com/abi/screenshot-to-code/pull/329,Add field for Anthropic API key in settings,MERGED,2024-05-17T16:30:27Z,2026-01-28T19:33:03Z,2026-01-28T19:33:03Z,14907.043333,744,7,93,30,123,1,0,1,0,1,NO_REVIEW,no_review,,,no,abi,2024-05-31T18:35:47Z,172,10,95,0.050000
abi,screenshot-to-code,abi/screenshot-to-code,471,https://github.com/abi/screenshot-to-code/pull/471,Update Dockerfile,MERGED,2025-01-02T08:01:49Z,2025-01-08T22:04:49Z,2025-01-08T22:04:49Z,158.050000,855,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,buhuipao,2025-01-08T22:04:48Z,172,10,95,0.050000
abi,screenshot-to-code,abi/screenshot-to-code,115,https://github.com/abi/screenshot-to-code/pull/115,Dark mode.,MERGED,2023-11-28T05:53:26Z,2023-12-01T11:45:15Z,2023-12-01T11:45:15Z,77.863611,59,6,124,61,185,4,0,4,5,2,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,abi|kachbit|abi|kachbit|abi,yes,kachbit,2023-11-30T14:00:03Z,172,10,95,0.050000
abi,screenshot-to-code,abi/screenshot-to-code,70,https://github.com/abi/screenshot-to-code/pull/70,Feat: add image comparison auto debugging,MERGED,2023-11-21T13:20:39Z,2023-11-23T16:26:23Z,2023-11-23T16:26:23Z,51.095556,2434,7,107,27,134,3,0,3,0,1,NO_REVIEW,no_review,,,no,clean99,2023-11-23T16:26:23Z,172,10,95,0.050000
abi,screenshot-to-code,abi/screenshot-to-code,31,https://github.com/abi/screenshot-to-code/pull/31,Fix spelling and Grammer issue,CLOSED,2023-11-19T01:54:08Z,2023-11-20T00:35:15Z,2023-11-20T00:35:15Z,22.685278,0,1,4,4,8,2,0,2,0,1,NO_REVIEW,no_review,,,no,devtayyab,,172,10,95,0.050000
