owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
affaan-m,everything-claude-code,affaan-m/everything-claude-code,1682,https://github.com/affaan-m/everything-claude-code/pull/1682,docs(strategic-compact): fix hook command path in SKILL.md,OPEN,2026-05-05T19:13:43Z,2026-05-05T19:15:41Z,2026-05-05T19:15:41Z,0.032778,2671,1,2,2,4,2,0,2,1,2,COMMENTED,neutral,COMMENTED,cubic-dev-ai,yes,gaurav0107,,1049,282,95,0.050000
affaan-m,everything-claude-code,affaan-m/everything-claude-code,1674,https://github.com/affaan-m/everything-claude-code/pull/1674,skills/production-audit: external repo audit complementing in-session security skills,OPEN,2026-05-03T15:09:56Z,2026-05-03T15:16:06Z,2026-05-03T15:16:06Z,0.102778,3911,1,122,0,122,2,0,2,3,4,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED,greptile-apps|coderabbitai|cubic-dev-ai,yes,commitshow,,1049,282,95,0.050000
affaan-m,everything-claude-code,affaan-m/everything-claude-code,1582,https://github.com/affaan-m/everything-claude-code/pull/1582,build(deps): bump the minor-and-patch group across 1 directory with 3 updates,OPEN,2026-04-26T04:53:53Z,2026-05-03T04:53:50Z,2026-05-03T04:53:50Z,167.999167,1462,1,368,22,390,0,0,0,1,2,COMMENTED,neutral,COMMENTED,cubic-dev-ai,yes,dependabot,,1049,282,95,0.050000
affaan-m,everything-claude-code,affaan-m/everything-claude-code,1580,https://github.com/affaan-m/everything-claude-code/pull/1580,chore(deps): bump pnpm/action-setup from 6.0.0 to 6.0.3,CLOSED,2026-04-26T04:52:35Z,2026-05-03T04:52:42Z,2026-05-03T04:52:42Z,168.001944,2224,2,2,2,4,2,0,2,1,2,COMMENTED,neutral,COMMENTED,cubic-dev-ai,yes,dependabot,,1049,282,95,0.050000
affaan-m,everything-claude-code,affaan-m/everything-claude-code,1655,https://github.com/affaan-m/everything-claude-code/pull/1655,feat: add loop-status exit-code mode,MERGED,2026-04-30T14:00:52Z,2026-04-30T14:33:20Z,2026-04-30T14:33:20Z,0.541111,1107,3,128,4,132,9,0,9,2,3,COMMENTED,neutral,COMMENTED|COMMENTED,greptile-apps|coderabbitai,yes,affaan-m,2026-04-30T14:33:18Z,1049,282,95,0.050000
affaan-m,everything-claude-code,affaan-m/everything-claude-code,1654,https://github.com/affaan-m/everything-claude-code/pull/1654,fix: harden agent instruction surfaces,MERGED,2026-04-30T13:20:44Z,2026-04-30T13:40:00Z,2026-04-30T13:40:00Z,0.321111,1166,6,141,13,154,7,0,7,2,3,COMMENTED,neutral,COMMENTED|COMMENTED,greptile-apps|coderabbitai,yes,affaan-m,2026-04-30T13:39:55Z,1049,282,95,0.050000
affaan-m,everything-claude-code,affaan-m/everything-claude-code,1651,https://github.com/affaan-m/everything-claude-code/pull/1651,fix: fail open on GateGuard state write errors,MERGED,2026-04-30T12:07:28Z,2026-04-30T12:15:30Z,2026-04-30T12:15:30Z,0.133889,798,2,47,5,52,2,0,2,2,3,COMMENTED,neutral,COMMENTED|COMMENTED,greptile-apps|cubic-dev-ai,yes,affaan-m,2026-04-30T12:15:28Z,1049,282,95,0.050000
affaan-m,everything-claude-code,affaan-m/everything-claude-code,1650,https://github.com/affaan-m/everything-claude-code/pull/1650,Fix Claude managed install path collisions,MERGED,2026-04-30T11:43:45Z,2026-04-30T11:53:22Z,2026-04-30T11:53:22Z,0.160278,1582,10,243,53,296,3,0,3,3,4,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED,coderabbitai|cubic-dev-ai|greptile-apps,yes,affaan-m,2026-04-30T11:53:20Z,1049,282,95,0.050000
affaan-m,everything-claude-code,affaan-m/everything-claude-code,1604,https://github.com/affaan-m/everything-claude-code/pull/1604,Feature/install ecc local,OPEN,2026-04-29T00:29:09Z,2026-04-30T10:13:25Z,2026-04-30T10:13:25Z,33.737778,2356,2,198,0,198,2,0,2,11,4,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,greptile-apps|coderabbitai|cubic-dev-ai|greptile-apps|coderabbitai|cubic-dev-ai|coderabbitai|coderabbitai|cubic-dev-ai|coderabbitai|greptile-apps,yes,hieuck,,1049,282,95,0.050000
affaan-m,everything-claude-code,affaan-m/everything-claude-code,1645,https://github.com/affaan-m/everything-claude-code/pull/1645,docs: sync zh-cn rc1 release heading,MERGED,2026-04-30T08:25:55Z,2026-04-30T08:40:15Z,2026-04-30T08:40:15Z,0.238889,1255,2,17,0,17,2,0,2,1,2,COMMENTED,neutral,COMMENTED,cubic-dev-ai,yes,affaan-m,2026-04-30T08:40:12Z,1049,282,95,0.050000
