owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
alacritty,alacritty,alacritty/alacritty,8878,https://github.com/alacritty/alacritty/pull/8878,Add no-LLM contribution policy,MERGED,2026-03-20T16:59:06Z,2026-03-21T01:49:27Z,2026-03-21T01:49:27Z,8.839167,331,1,6,0,6,5,0,5,2,2,APPROVED,positive,COMMENTED|APPROVED,chrisduerr|kchibisov,yes,chrisduerr,2026-03-21T01:47:24Z,2563,10,95,0.050000
alacritty,alacritty,alacritty/alacritty,7793,https://github.com/alacritty/alacritty/pull/7793,Bump winit to 0.29.12,MERGED,2024-03-01T10:16:42Z,2024-03-01T10:36:59Z,2024-03-01T10:36:59Z,0.338056,23,2,3,3,6,0,0,0,0,1,NO_REVIEW,no_review,,,no,kchibisov,2024-03-01T10:36:56Z,2563,10,95,0.050000
alacritty,alacritty,alacritty/alacritty,6675,https://github.com/alacritty/alacritty/pull/6675,Resize the window by cell dimensions,MERGED,2023-02-04T20:34:40Z,2023-02-05T08:41:23Z,2023-02-05T08:41:23Z,12.111944,241,3,11,0,11,1,0,1,1,2,APPROVED,positive,APPROVED,chrisduerr,yes,kchibisov,2023-02-05T08:41:23Z,2563,10,95,0.050000
alacritty,alacritty,alacritty/alacritty,5629,https://github.com/alacritty/alacritty/pull/5629,Add install.yml spec file,CLOSED,2021-11-22T22:28:32Z,2021-11-23T08:35:21Z,2021-11-23T08:35:21Z,10.113611,644,1,32,0,32,2,0,2,0,1,NO_REVIEW,no_review,,,no,danyspin97,,2563,10,95,0.050000
alacritty,alacritty,alacritty/alacritty,2181,https://github.com/alacritty/alacritty/pull/2181,[WIP] Basic text shaping and rendering using HarfBuzz,CLOSED,2019-03-16T01:19:01Z,2019-07-26T11:14:27Z,2019-07-26T11:14:27Z,3177.923889,259,8,449,34,483,6,0,6,0,1,NO_REVIEW,no_review,,,no,anirudhb,,2563,10,95,0.050000
alacritty,alacritty,alacritty/alacritty,2019,https://github.com/alacritty/alacritty/pull/2019,Remove Appveyor CI builds,MERGED,2019-01-19T18:18:33Z,2019-01-19T22:41:25Z,2019-01-19T22:41:25Z,4.381111,261,2,0,65,65,0,0,0,0,1,NO_REVIEW,no_review,,,no,chrisduerr,2019-01-19T22:41:24Z,2563,10,95,0.050000
alacritty,alacritty,alacritty/alacritty,1869,https://github.com/alacritty/alacritty/pull/1869,"Rust 2018, NLL fixes",MERGED,2018-12-06T17:56:41Z,2018-12-10T17:53:57Z,2018-12-10T17:53:57Z,95.954444,234,36,318,375,693,10,0,10,1,2,APPROVED,positive,APPROVED,chrisduerr,yes,jwilm,2018-12-10T17:53:57Z,2563,10,95,0.050000
alacritty,alacritty,alacritty/alacritty,1226,https://github.com/alacritty/alacritty/pull/1226,alacritty: add support for OpenBSD.,MERGED,2018-04-03T07:51:43Z,2018-04-14T17:17:52Z,2018-04-14T17:17:52Z,273.435833,423,4,16,6,22,1,0,1,2,2,COMMENTED,neutral,COMMENTED|COMMENTED,jwilm|matttproud,yes,matttproud,2018-04-14T17:17:51Z,2563,10,95,0.050000
alacritty,alacritty,alacritty/alacritty,593,https://github.com/alacritty/alacritty/pull/593,Preparatory changes for macOS font fallback,MERGED,2017-05-31T08:30:45Z,2017-06-02T12:25:37Z,2017-06-02T12:25:37Z,51.914444,0,7,103,292,395,1,0,1,0,1,NO_REVIEW,no_review,,,no,algesten,2017-05-31T16:30:55Z,2563,10,95,0.050000
alacritty,alacritty,alacritty/alacritty,152,https://github.com/alacritty/alacritty/pull/152,Clear only new lines on resize.,CLOSED,2017-01-07T04:06:07Z,2017-01-08T00:01:39Z,2017-01-08T00:01:39Z,19.925556,380,1,7,5,12,1,0,1,0,1,NO_REVIEW,no_review,,,no,mbrumlow,,2563,10,95,0.050000
