metric,count,mean,std,min,q25,median,q75,max
Changed Files,6822,13.50,221.98,0.00,1.00,1.00,2.00,9932.00
Total Changes (lines),6822,2106.59,46230.81,0.00,2.00,8.00,82.00,2429126.00
Lines Added,6822,1785.71,44617.21,0.00,1.00,6.00,59.00,2429126.00
Lines Deleted,6822,320.88,11846.67,0.00,0.00,1.00,6.00,917406.00
Analysis Time (hours),6822,3651.36,9495.71,0.00,3.91,73.04,1322.84,108998.13
Description Length (chars),6822,1131.34,2742.62,0.00,69.00,474.00,1244.00,65535.00
Total Comments,6822,2.86,7.83,0.00,0.00,1.00,3.00,286.00
Participant Count,6822,1.64,1.19,1.00,1.00,1.00,2.00,34.00
Human Reviews,6822,1.21,3.51,0.00,0.00,0.00,1.00,86.00
Approved Reviews,6822,0.40,1.09,0.00,0.00,0.00,1.00,33.00
Changes Requested,6822,0.09,1.21,0.00,0.00,0.00,0.00,59.00
Commented Reviews,6822,0.85,3.33,0.00,0.00,0.00,0.00,100.00
