owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
anthropics,claude-code,anthropics/claude-code,55098,https://github.com/anthropics/claude-code/pull/55098,examples: add statusline script with context window and rate limit bars,OPEN,2026-04-30T18:36:23Z,2026-04-30T18:36:23Z,2026-04-30T18:36:23Z,0.000000,830,2,91,0,91,0,0,0,0,1,NO_REVIEW,no_review,,,no,DGDrago,,962,10,95,0.050000
anthropics,claude-code,anthropics/claude-code,40779,https://github.com/anthropics/claude-code/pull/40779,fix(devcontainer): allow googleapis.com through sandbox firewall,OPEN,2026-03-30T03:04:21Z,2026-03-30T18:24:09Z,2026-03-30T18:24:09Z,15.330000,1419,1,3,1,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,tiennguyen-onehouse,,962,10,95,0.050000
anthropics,claude-code,anthropics/claude-code,20452,https://github.com/anthropics/claude-code/pull/20452,Use -exist flag when adding to allowed-domains,OPEN,2026-01-23T20:48:21Z,2026-03-30T06:58:09Z,2026-03-30T06:58:09Z,1570.163333,459,1,2,2,4,1,0,1,2,3,APPROVED,positive,APPROVED|APPROVED,steveyegge|james-dfns,yes,fonteijne,,962,10,95,0.050000
anthropics,claude-code,anthropics/claude-code,40776,https://github.com/anthropics/claude-code/pull/40776,feat(examples): add security rules to bash command validator hook,OPEN,2026-03-30T03:03:46Z,2026-03-30T03:11:48Z,2026-03-30T03:11:48Z,0.133889,2305,1,88,13,101,0,0,0,0,1,NO_REVIEW,no_review,,,no,tiennguyen-onehouse,,962,10,95,0.050000
anthropics,claude-code,anthropics/claude-code,32751,https://github.com/anthropics/claude-code/pull/32751,fix(hookify): map stop/prompt events to correct field names,OPEN,2026-03-10T07:51:52Z,2026-03-10T07:51:52Z,2026-03-10T07:51:52Z,0.000000,1056,1,4,0,4,0,0,0,0,1,NO_REVIEW,no_review,,,no,mvanhorn,,962,10,95,0.050000
anthropics,claude-code,anthropics/claude-code,28850,https://github.com/anthropics/claude-code/pull/28850,docs: clarify Windows install command requires PowerShell,OPEN,2026-02-26T04:26:59Z,2026-03-09T13:16:07Z,2026-03-09T13:16:07Z,272.818889,330,1,2,1,3,2,0,2,0,1,NO_REVIEW,no_review,,,no,SageRish,,962,10,95,0.050000
anthropics,claude-code,anthropics/claude-code,16132,https://github.com/anthropics/claude-code/pull/16132,fix: /install-github-app support for dev container,OPEN,2026-01-03T06:53:03Z,2026-03-05T07:52:10Z,2026-03-05T07:52:10Z,1464.985278,231,1,5,0,5,0,0,0,0,1,NO_REVIEW,no_review,,,no,jopmiddelkamp,,962,10,95,0.050000
anthropics,claude-code,anthropics/claude-code,23660,https://github.com/anthropics/claude-code/pull/23660,feat(plugin): add timestamp-context plugin,OPEN,2026-02-06T11:43:13Z,2026-02-06T15:05:24Z,2026-02-06T15:05:24Z,3.369722,1335,3,56,0,56,0,0,0,1,2,APPROVED,positive,APPROVED,spiderakm,yes,NoRain211,,962,10,95,0.050000
anthropics,claude-code,anthropics/claude-code,14071,https://github.com/anthropics/claude-code/pull/14071,Make no-comment the default for /code-review,MERGED,2025-12-15T17:57:27Z,2025-12-16T20:22:20Z,2025-12-16T20:22:20Z,26.414722,304,2,21,7,28,0,0,0,1,2,APPROVED,positive,APPROVED,dltn,yes,km-anthropic,2025-12-16T20:22:19Z,962,10,95,0.050000
anthropics,claude-code,anthropics/claude-code,5872,https://github.com/anthropics/claude-code/pull/5872,fix: improve DNS resolution in firewall script to filter CNAME records,MERGED,2025-08-15T21:41:46Z,2025-08-19T23:02:00Z,2025-08-19T23:02:00Z,97.337222,1063,1,1,1,2,0,0,0,1,2,APPROVED,positive,APPROVED,ant-kurt,yes,backpaper0,2025-08-19T18:23:35Z,962,10,95,0.050000
