owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
anuraghazra,github-readme-stats,anuraghazra/github-readme-stats,5,https://github.com/anuraghazra/github-readme-stats/pull/5,Fixed capitalization,MERGED,2020-07-09T13:59:59Z,2025-01-15T17:51:10Z,2025-01-15T17:51:10Z,39627.853056,79,1,1,1,2,2,0,2,0,1,NO_REVIEW,no_review,,,no,urmilshroff,2020-07-09T14:35:02Z,2961,10,95,0.050000
anuraghazra,github-readme-stats,anuraghazra/github-readme-stats,3634,https://github.com/anuraghazra/github-readme-stats/pull/3634,new theme purple_darkblue,CLOSED,2024-02-02T12:56:11Z,2024-02-02T16:11:57Z,2024-02-02T16:11:57Z,3.262778,0,1,6,0,6,2,0,2,1,2,CHANGES_REQUESTED,negative,CHANGES_REQUESTED,github-actions,yes,A-Bartolomeu,,2961,10,95,0.050000
anuraghazra,github-readme-stats,anuraghazra/github-readme-stats,3582,https://github.com/anuraghazra/github-readme-stats/pull/3582,build(deps-dev): bump @testing-library/jest-dom from 6.1.6 to 6.2.0,MERGED,2024-01-08T18:20:33Z,2024-01-08T20:31:02Z,2024-01-08T20:31:02Z,2.174722,1788,2,22,10,32,2,0,2,1,2,APPROVED,positive,APPROVED,qwerty541,yes,dependabot,2024-01-08T20:30:59Z,2961,10,95,0.050000
anuraghazra,github-readme-stats,anuraghazra/github-readme-stats,3558,https://github.com/anuraghazra/github-readme-stats/pull/3558,creat midnight-red,CLOSED,2023-12-21T23:13:03Z,2023-12-21T23:25:53Z,2023-12-21T23:25:53Z,0.213889,0,1,6,0,6,1,0,1,1,2,CHANGES_REQUESTED,negative,CHANGES_REQUESTED,github-actions,yes,RenanCost15,,2961,10,95,0.050000
anuraghazra,github-readme-stats,anuraghazra/github-readme-stats,3476,https://github.com/anuraghazra/github-readme-stats/pull/3476,build(deps-dev): Bump prettier from 3.0.3 to 3.1.0,MERGED,2023-11-13T18:37:19Z,2023-11-13T19:22:43Z,2023-11-13T19:22:43Z,0.756667,2359,5,19,19,38,2,0,2,1,2,APPROVED,positive,APPROVED,qwerty541,yes,dependabot,2023-11-13T19:22:40Z,2961,10,95,0.050000
anuraghazra,github-readme-stats,anuraghazra/github-readme-stats,3167,https://github.com/anuraghazra/github-readme-stats/pull/3167,Build(deps-dev): Bump jest-environment-jsdom from 29.6.3 to 29.6.4,MERGED,2023-08-28T18:57:54Z,2023-08-28T19:06:48Z,2023-08-28T19:06:48Z,0.148333,2484,2,12,12,24,1,0,1,1,2,APPROVED,positive,APPROVED,qwerty541,yes,dependabot,2023-08-28T19:06:46Z,2961,10,95,0.050000
anuraghazra,github-readme-stats,anuraghazra/github-readme-stats,1736,https://github.com/anuraghazra/github-readme-stats/pull/1736,new theme,CLOSED,2022-05-07T09:50:36Z,2022-10-18T14:35:26Z,2022-10-18T14:35:26Z,3940.747222,230,1,7,0,7,4,0,4,2,2,CHANGES_REQUESTED,negative,CHANGES_REQUESTED|CHANGES_REQUESTED,rickstaa|rickstaa,yes,xbeji,,2961,10,95,0.050000
anuraghazra,github-readme-stats,anuraghazra/github-readme-stats,2096,https://github.com/anuraghazra/github-readme-stats/pull/2096,Added Contributors Badge,MERGED,2022-10-03T00:06:50Z,2022-10-03T06:42:44Z,2022-10-03T06:42:44Z,6.598333,0,1,3,0,3,2,0,2,1,2,APPROVED,positive,APPROVED,rickstaa,yes,Manan1612,2022-10-03T06:42:33Z,2961,10,95,0.050000
anuraghazra,github-readme-stats,anuraghazra/github-readme-stats,846,https://github.com/anuraghazra/github-readme-stats/pull/846,"Update index.js by adding new ""simple_white"" colour",CLOSED,2021-01-29T20:36:11Z,2021-03-07T16:50:48Z,2021-03-07T16:50:48Z,884.243611,0,1,6,0,6,5,0,5,0,1,NO_REVIEW,no_review,,,no,FedorMashoshin,,2961,10,95,0.050000
anuraghazra,github-readme-stats,anuraghazra/github-readme-stats,377,https://github.com/anuraghazra/github-readme-stats/pull/377,Add chill-ebony theme updated,CLOSED,2020-08-13T07:25:10Z,2020-08-29T07:13:38Z,2020-08-29T07:13:38Z,383.807778,71,1,6,0,6,4,0,4,0,1,NO_REVIEW,no_review,,,no,sarwan920,,2961,10,95,0.050000
