owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
apache,echarts,apache/echarts,21555,https://github.com/apache/echarts/pull/21555,fix: extract 1 unsafe expression(s) to env vars,CLOSED,2026-03-26T20:11:49Z,2026-03-26T21:22:05Z,2026-03-26T21:22:05Z,1.171111,2463,1,4,1,5,1,0,1,0,1,NO_REVIEW,no_review,,,no,dagecko,,2145,10,95,0.050000
apache,echarts,apache/echarts,21108,https://github.com/apache/echarts/pull/21108,Fix matrix label API,MERGED,2025-07-16T08:32:07Z,2025-07-22T09:12:36Z,2025-07-22T09:12:36Z,144.674722,886,13,743,613,1356,1,0,1,1,2,APPROVED,positive,APPROVED,Ovilia,yes,100pah,2025-07-16T09:15:13Z,2145,10,95,0.050000
apache,echarts,apache/echarts,20557,https://github.com/apache/echarts/pull/20557,fix(pictorial): fix zero value flipping for different axes,MERGED,2024-12-04T09:42:31Z,2024-12-04T10:56:47Z,2024-12-04T10:56:47Z,1.237778,1234,2,75,33,108,3,0,3,1,2,APPROVED,positive,APPROVED,plainheart,yes,Ovilia,2024-12-04T10:51:30Z,2145,10,95,0.050000
apache,echarts,apache/echarts,15411,https://github.com/apache/echarts/pull/15411,Time axis shadow,CLOSED,2021-07-25T14:12:29Z,2024-04-03T15:22:59Z,2024-04-03T15:22:59Z,23593.175000,565,2,55,1,56,1,0,1,2,2,COMMENTED,neutral,COMMENTED|COMMENTED,Ovilia|susiwen8,yes,susiwen8,,2145,10,95,0.050000
apache,echarts,apache/echarts,19449,https://github.com/apache/echarts/pull/19449,chore: Fix typo s/buidling/building/,MERGED,2023-12-29T12:17:41Z,2024-01-30T06:50:05Z,2024-01-30T06:50:05Z,762.540000,459,1,1,1,2,3,0,3,1,2,APPROVED,positive,APPROVED,plainheart,yes,hugo-syn,2023-12-31T05:31:37Z,2145,10,95,0.050000
apache,echarts,apache/echarts,17406,https://github.com/apache/echarts/pull/17406,fix(svg): encode HTML special characters when generating SVG string,MERGED,2022-07-19T09:39:01Z,2022-09-01T03:23:26Z,2022-09-01T03:23:26Z,1049.740278,716,3,11,26,37,3,0,3,2,2,APPROVED,positive,DISMISSED|APPROVED,pissang|pissang,yes,plainheart,2022-07-20T09:21:43Z,2145,10,95,0.050000
apache,echarts,apache/echarts,13554,https://github.com/apache/echarts/pull/13554,fix: [parallel] fix that the second category parallel axis can not be selectable,MERGED,2020-11-06T06:32:30Z,2020-11-06T06:33:55Z,2020-11-06T06:33:55Z,0.023611,170,2,62,15,77,2,0,2,1,2,APPROVED,positive,APPROVED,pissang,yes,100pah,2020-11-06T06:33:51Z,2145,10,95,0.050000
apache,echarts,apache/echarts,8684,https://github.com/apache/echarts/pull/8684,Sankey diagram fails if no 'tooltip' option specified,CLOSED,2018-07-11T18:56:40Z,2020-07-18T05:41:41Z,2020-07-18T05:41:41Z,17698.750278,0,2,4,3,7,1,0,1,0,1,NO_REVIEW,no_review,,,no,YuriGor,,2145,10,95,0.050000
apache,echarts,apache/echarts,11793,https://github.com/apache/echarts/pull/11793,style(pie): update comment,MERGED,2019-12-05T07:34:25Z,2019-12-10T05:48:49Z,2019-12-10T05:48:49Z,118.240000,25,1,3,1,4,0,0,0,1,2,APPROVED,positive,APPROVED,pissang,yes,Ovilia,2019-12-10T05:48:46Z,2145,10,95,0.050000
apache,echarts,apache/echarts,4332,https://github.com/apache/echarts/pull/4332,修复漏斗图tooltip没有百分比的问题,MERGED,2016-10-26T11:09:13Z,2018-04-02T17:47:14Z,2018-04-02T17:47:14Z,12558.633611,9,1,13,1,14,0,0,0,0,1,NO_REVIEW,no_review,,,no,YuanYifei,2017-02-28T18:14:56Z,2145,10,95,0.050000
