owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
astral-sh,uv,astral-sh/uv,19197,https://github.com/astral-sh/uv/pull/19197,Package by default: Stabilize preview feature,OPEN,2026-04-27T20:25:40Z,2026-04-27T23:24:03Z,2026-04-27T23:24:03Z,2.973056,374,7,201,321,522,0,0,0,0,1,NO_REVIEW,no_review,,,no,konstin,,10271,10,95,0.050000
astral-sh,uv,astral-sh/uv,17765,https://github.com/astral-sh/uv/pull/17765,Update the version publish workflow,MERGED,2026-01-30T12:51:02Z,2026-01-30T14:35:47Z,2026-01-30T14:35:47Z,1.745833,29,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,zanieb,2026-01-30T14:35:44Z,10271,10,95,0.050000
astral-sh,uv,astral-sh/uv,17692,https://github.com/astral-sh/uv/pull/17692,Update MSRV to v1.91.0,CLOSED,2026-01-26T01:42:16Z,2026-01-26T01:53:24Z,2026-01-26T01:53:24Z,0.185556,8329,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,renovate,,10271,10,95,0.050000
astral-sh,uv,astral-sh/uv,14278,https://github.com/astral-sh/uv/pull/14278,add more proper docker login if,MERGED,2025-06-26T15:54:42Z,2025-06-26T16:05:47Z,2025-06-26T16:05:47Z,0.184722,0,1,6,0,6,0,0,0,5,2,COMMENTED,neutral,COMMENTED|COMMENTED|APPROVED|COMMENTED|COMMENTED,zanieb|zanieb|zanieb|Gankra|zanieb,yes,Gankra,2025-06-26T16:05:45Z,10271,10,95,0.050000
astral-sh,uv,astral-sh/uv,12964,https://github.com/astral-sh/uv/pull/12964,Refactor `ExtraSpecification` to support `default-extras`,MERGED,2025-04-18T12:37:46Z,2025-04-28T17:30:14Z,2025-04-28T17:30:14Z,244.874444,278,17,1148,278,1426,3,0,3,4,2,COMMENTED,neutral,APPROVED|COMMENTED|COMMENTED|COMMENTED,Gankra|blueraft|Gankra|Gankra,yes,blueraft,2025-04-28T17:30:14Z,10271,10,95,0.050000
astral-sh,uv,astral-sh/uv,6915,https://github.com/astral-sh/uv/pull/6915,Remove dangling archives in `uv cache clean ${package}`,MERGED,2024-09-01T17:09:56Z,2024-09-01T17:27:15Z,2024-09-01T17:27:15Z,0.288611,21,3,99,9,108,0,0,0,0,1,NO_REVIEW,no_review,,,no,charliermarsh,2024-09-01T17:27:13Z,10271,10,95,0.050000
astral-sh,uv,astral-sh/uv,3645,https://github.com/astral-sh/uv/pull/3645,Pin the zip crate to 0.6,MERGED,2024-05-17T19:13:34Z,2024-05-18T17:31:53Z,2024-05-18T17:31:53Z,22.305278,212,4,13,41,54,0,0,0,1,2,APPROVED,positive,APPROVED,zanieb,yes,musicinmybrain,2024-05-18T17:31:53Z,10271,10,95,0.050000
astral-sh,uv,astral-sh/uv,2778,https://github.com/astral-sh/uv/pull/2778,feat: stray quote keep quote,CLOSED,2024-04-02T15:48:46Z,2024-04-23T18:37:19Z,2024-04-23T18:37:19Z,506.809167,155,1,4,2,6,3,0,3,0,1,NO_REVIEW,no_review,,,no,fatelei,,10271,10,95,0.050000
astral-sh,uv,astral-sh/uv,2341,https://github.com/astral-sh/uv/pull/2341,Remove `wheel` from default PEP 517 backend,MERGED,2024-03-10T16:16:39Z,2024-03-10T23:34:37Z,2024-03-10T23:34:37Z,7.299444,81,1,14,8,22,1,0,1,1,2,APPROVED,positive,APPROVED,konstin,yes,charliermarsh,2024-03-10T23:34:37Z,10271,10,95,0.050000
astral-sh,uv,astral-sh/uv,956,https://github.com/astral-sh/uv/pull/956,Add support for disabling installation from pre-built wheels,MERGED,2024-01-17T23:09:09Z,2024-01-19T17:24:28Z,2024-01-19T17:24:28Z,42.255278,2630,23,482,49,531,3,0,3,9,2,APPROVED,positive,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|APPROVED,zanieb|zanieb|zanieb|zanieb|charliermarsh|charliermarsh|charliermarsh|zanieb|charliermarsh,yes,zanieb,2024-01-19T17:24:27Z,10271,10,95,0.050000
