owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
avelino,awesome-go,avelino/awesome-go,6245,https://github.com/avelino/awesome-go/pull/6245,Add Immortal to DevOps Tools,closed,2026-04-14T18:47:50Z,2026-04-21T08:04:50Z,2026-04-21T08:04:50Z,157.283333,377,1,1,0,1,2,1,3,0,1,NO_REVIEW,no_review,COMMENTED,,no,Nagendhra-web,,5237,300,95,0.050000
avelino,awesome-go,avelino/awesome-go,6198,https://github.com/avelino/awesome-go/pull/6198,Add Distributed scheduler with support high scale application with Redis as datastore ,closed,2026-04-04T12:25:38Z,2026-04-04T12:28:19Z,2026-04-04T12:28:19Z,0.044722,2363,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,yuseferi,,5237,300,95,0.050000
avelino,awesome-go,avelino/awesome-go,6190,https://github.com/avelino/awesome-go/pull/6190,Add fibersse — Production SSE for Fiber v3,closed,2026-04-03T05:49:34Z,2026-04-04T07:03:02Z,2026-04-04T07:03:02Z,25.224444,1174,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,vinod-morya,2026-04-04T07:03:01Z,5237,300,95,0.050000
avelino,awesome-go,avelino/awesome-go,6192,https://github.com/avelino/awesome-go/pull/6192,Add autopool to worker pool implementations list,closed,2026-04-03T10:28:47Z,2026-04-03T10:31:35Z,2026-04-03T10:31:35Z,0.046667,600,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,AshvinBambhaniya,2026-04-03T10:31:35Z,5237,300,95,0.050000
avelino,awesome-go,avelino/awesome-go,6145,https://github.com/avelino/awesome-go/pull/6145,Add speedata/go-lua - Lua 5.4 VM in pure Go,closed,2026-03-24T10:54:34Z,2026-03-24T11:34:38Z,2026-03-24T11:34:38Z,0.667778,2393,1,2,1,3,1,1,2,0,1,NO_REVIEW,no_review,COMMENTED,,no,pgundlach,,5237,300,95,0.050000
avelino,awesome-go,avelino/awesome-go,6107,https://github.com/avelino/awesome-go/pull/6107,feat(security): add password manager link,closed,2026-03-11T11:05:38Z,2026-03-11T11:06:43Z,2026-03-11T11:06:43Z,0.018056,1281,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,nicola-strappazzon,2026-03-11T11:06:43Z,5237,300,95,0.050000
avelino,awesome-go,avelino/awesome-go,6100,https://github.com/avelino/awesome-go/pull/6100,Add BurnRate - AI coding cost analytics tool,closed,2026-03-08T20:50:11Z,2026-03-09T16:27:25Z,2026-03-09T16:27:25Z,19.620556,646,1,1,0,1,2,0,2,0,1,NO_REVIEW,no_review,,,no,mattthewong,,5237,300,95,0.050000
avelino,awesome-go,avelino/awesome-go,6074,https://github.com/avelino/awesome-go/pull/6074,Add TG Telegram Bot Framework to README,closed,2026-03-01T08:16:16Z,2026-03-01T08:17:09Z,2026-03-01T08:17:09Z,0.014722,2276,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,enetx,2026-03-01T08:17:09Z,5237,300,95,0.050000
avelino,awesome-go,avelino/awesome-go,6066,https://github.com/avelino/awesome-go/pull/6066,chore(auth): add AuthGate server,closed,2026-02-28T15:05:18Z,2026-03-01T00:01:48Z,2026-03-01T00:01:48Z,8.941667,2334,1,1,0,1,1,1,2,0,1,NO_REVIEW,no_review,COMMENTED|COMMENTED,,no,appleboy,2026-03-01T00:01:45Z,5237,300,95,0.050000
avelino,awesome-go,avelino/awesome-go,5937,https://github.com/avelino/awesome-go/pull/5937,Add Deterministic Random Bit Generator based on AES in Counter mode (AES-CTR-DRBG),open,2025-11-22T16:48:43Z,2026-02-28T08:42:46Z,2026-02-28T08:42:46Z,2343.900833,3386,1,1,0,1,4,0,4,0,1,NO_REVIEW,no_review,,,no,mprimeaux,,5237,300,95,0.050000
avelino,awesome-go,avelino/awesome-go,5942,https://github.com/avelino/awesome-go/pull/5942,add tecnickcom/gogen/sfcache,open,2025-11-24T10:56:53Z,2026-02-28T08:42:32Z,2026-02-28T08:42:32Z,2301.760833,2923,1,1,0,1,3,0,3,0,1,NO_REVIEW,no_review,COMMENTED,,no,nicolaasuni,,5237,300,95,0.050000
avelino,awesome-go,avelino/awesome-go,5962,https://github.com/avelino/awesome-go/pull/5962,Add glinq to Iterators,open,2025-12-21T08:32:01Z,2026-02-28T08:41:40Z,2026-02-28T08:41:40Z,1656.160833,2533,1,1,0,1,2,1,3,0,1,NO_REVIEW,no_review,COMMENTED,,no,CreateLab,,5237,300,95,0.050000
avelino,awesome-go,avelino/awesome-go,5963,https://github.com/avelino/awesome-go/pull/5963,Update README to add Tilda Go library,open,2025-12-21T09:00:08Z,2026-02-28T08:41:36Z,2026-02-28T08:41:36Z,1655.691111,2801,1,2,0,2,2,0,2,0,1,NO_REVIEW,no_review,COMMENTED,,no,dimuska139,,5237,300,95,0.050000
avelino,awesome-go,avelino/awesome-go,6051,https://github.com/avelino/awesome-go/pull/6051,Add aguara to Security section,closed,2026-02-26T12:50:42Z,2026-02-27T00:34:37Z,2026-02-27T00:34:37Z,11.731944,774,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,garagon,,5237,300,95,0.050000
avelino,awesome-go,avelino/awesome-go,6011,https://github.com/avelino/awesome-go/pull/6011,add geo-engine-go to Geographic section,closed,2026-01-25T15:23:49Z,2026-01-26T04:22:06Z,2026-01-26T04:22:06Z,12.971389,2325,1,1,0,1,2,0,2,0,1,NO_REVIEW,no_review,,,no,AlexG695,,5237,300,95,0.050000
avelino,awesome-go,avelino/awesome-go,6000,https://github.com/avelino/awesome-go/pull/6000,Update nodepass repository link and description,closed,2026-01-19T05:26:57Z,2026-01-19T07:09:58Z,2026-01-19T07:09:58Z,1.716944,2251,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,ghost,2026-01-19T07:09:58Z,5237,300,95,0.050000
avelino,awesome-go,avelino/awesome-go,5992,https://github.com/avelino/awesome-go/pull/5992,Add Go Cookbook link to resources section,closed,2026-01-16T12:07:42Z,2026-01-16T12:13:51Z,2026-01-16T12:13:51Z,0.102500,2251,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,b441berith,,5237,300,95,0.050000
avelino,awesome-go,avelino/awesome-go,5924,https://github.com/avelino/awesome-go/pull/5924,Add promptext - Smart code context extractor CLI,closed,2025-11-06T02:29:57Z,2025-11-06T17:58:56Z,2025-11-06T17:58:56Z,15.483056,2543,1,1,0,1,5,0,5,0,1,NO_REVIEW,no_review,COMMENTED,,no,1broseidon,,5237,300,95,0.050000
avelino,awesome-go,avelino/awesome-go,5876,https://github.com/avelino/awesome-go/pull/5876,Add argus to Configuration section,closed,2025-10-17T15:42:57Z,2025-10-21T10:01:51Z,2025-10-21T10:01:51Z,90.315000,693,1,1,0,1,2,0,2,1,2,APPROVED,positive,APPROVED,avelino,yes,agilira,2025-10-21T10:01:51Z,5237,300,95,0.050000
