owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
awesome-selfhosted,awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,4197,https://github.com/awesome-selfhosted/awesome-selfhosted/pull/4197,Add OpenClaw to GenAI section,closed,2026-04-29T12:53:00Z,2026-04-29T15:06:43Z,2026-04-29T15:06:43Z,2.228611,203,1,1,0,1,0,0,0,1,2,APPROVED,positive,APPROVED,savepong,yes,a10011101,,2990,300,95,0.050000
awesome-selfhosted,awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,4119,https://github.com/awesome-selfhosted/awesome-selfhosted/pull/4119,Remove budgetzero (unmaintained since Aug 2022),closed,2023-08-20T08:30:47Z,2025-03-31T12:47:42Z,2025-03-31T12:47:42Z,14140.281944,654,1,0,1,1,0,0,0,1,2,APPROVED,positive,APPROVED,nodiscc,yes,Rabenherz112,2023-08-22T13:01:43Z,2990,300,95,0.050000
awesome-selfhosted,awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,4186,https://github.com/awesome-selfhosted/awesome-selfhosted/pull/4186,SQLPage has moved to sql-page.com,closed,2024-11-26T23:41:46Z,2025-03-20T17:35:27Z,2025-03-20T17:35:27Z,2729.894722,131,1,1,1,2,0,0,0,1,2,APPROVED,positive,APPROVED,deeznuttz98,yes,lovasoa,,2990,300,95,0.050000
awesome-selfhosted,awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,3919,https://github.com/awesome-selfhosted/awesome-selfhosted/pull/3919,Remove ethercalc (unmaintained since 2020),closed,2023-06-21T13:13:02Z,2023-08-18T08:20:56Z,2023-08-18T08:20:56Z,1387.131667,209,1,0,1,1,0,0,0,1,2,APPROVED,positive,APPROVED,nodiscc,yes,Rabenherz112,2023-06-26T12:18:03Z,2990,300,95,0.050000
awesome-selfhosted,awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,3981,https://github.com/awesome-selfhosted/awesome-selfhosted/pull/3981,Remove GetSimple CMS (unmaintained since 2022),closed,2023-07-08T09:17:13Z,2023-08-18T08:20:46Z,2023-08-18T08:20:46Z,983.059167,214,1,0,1,1,2,0,2,1,2,APPROVED,positive,APPROVED,nodiscc,yes,Rabenherz112,2023-07-11T10:59:41Z,2990,300,95,0.050000
awesome-selfhosted,awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,3976,https://github.com/awesome-selfhosted/awesome-selfhosted/pull/3976,Update language tags - Part 2,closed,2023-07-06T19:42:43Z,2023-08-18T08:20:44Z,2023-08-18T08:20:44Z,1020.633611,42,1,54,54,108,5,0,5,1,2,APPROVED,positive,APPROVED,nodiscc,yes,Rabenherz112,2023-07-15T12:32:55Z,2990,300,95,0.050000
awesome-selfhosted,awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,4045,https://github.com/awesome-selfhosted/awesome-selfhosted/pull/4045,Remove schnack (unmaintained since June 2022),closed,2023-07-23T09:45:58Z,2023-08-18T08:20:32Z,2023-08-18T08:20:32Z,622.576111,111,1,0,2,2,0,0,0,1,2,APPROVED,positive,APPROVED,nodiscc,yes,Rabenherz112,2023-07-30T19:30:55Z,2990,300,95,0.050000
awesome-selfhosted,awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,4107,https://github.com/awesome-selfhosted/awesome-selfhosted/pull/4107,Adds DocKing to Document Management,closed,2023-08-16T06:36:41Z,2023-08-16T17:09:17Z,2023-08-16T17:09:17Z,10.543333,3481,1,1,0,1,2,0,2,0,1,NO_REVIEW,no_review,,,no,sethsandaru,,2990,300,95,0.050000
awesome-selfhosted,awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,3987,https://github.com/awesome-selfhosted/awesome-selfhosted/pull/3987,Add CraftyControl to Games - Administrative Utilities & Control Panels,closed,2023-07-09T11:18:13Z,2023-08-07T23:37:04Z,2023-08-07T23:37:04Z,708.314167,3143,1,1,0,1,1,0,1,2,3,APPROVED,positive,APPROVED|APPROVED,nodiscc|Ki-er,yes,kokomo123,2023-07-18T20:39:09Z,2990,300,95,0.050000
awesome-selfhosted,awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,4052,https://github.com/awesome-selfhosted/awesome-selfhosted/pull/4052,Add Remotely to Remote Access,closed,2023-07-26T12:24:29Z,2023-08-03T01:55:45Z,2023-08-03T01:55:45Z,181.521111,3213,1,1,0,1,0,0,0,2,3,APPROVED,positive,APPROVED|APPROVED,kokomo123|nodiscc,yes,arbdevml,2023-08-03T01:55:45Z,2990,300,95,0.050000
