owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
awesomedata,awesome-public-datasets,awesomedata/awesome-public-datasets,494,https://github.com/awesomedata/awesome-public-datasets/pull/494,Add ProofBets crypto casino data API to Finance section,OPEN,2026-03-04T22:16:15Z,2026-03-04T22:16:15Z,2026-03-04T22:16:15Z,0.000000,450,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,vjrmuc,,364,10,95,0.050000
awesomedata,awesome-public-datasets,awesomedata/awesome-public-datasets,386,https://github.com/awesomedata/awesome-public-datasets/pull/386,Update README.rst,CLOSED,2019-03-26T14:14:28Z,2021-04-28T20:33:44Z,2021-04-28T20:33:44Z,18342.321111,35,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,ppival,,364,10,95,0.050000
awesomedata,awesome-public-datasets,awesomedata/awesome-public-datasets,337,https://github.com/awesomedata/awesome-public-datasets/pull/337,Add geo-maps,CLOSED,2017-11-20T23:31:24Z,2018-01-19T06:18:35Z,2018-01-19T06:18:35Z,1422.786389,564,1,1,0,1,3,0,3,0,1,NO_REVIEW,no_review,,,no,simonepri,,364,10,95,0.050000
awesomedata,awesome-public-datasets,awesomedata/awesome-public-datasets,335,https://github.com/awesomedata/awesome-public-datasets/pull/335,Added my set of tools for preprocessing and analysis of BackBlaze Dataset,CLOSED,2017-11-11T15:12:20Z,2018-01-18T12:32:46Z,2018-01-18T12:32:46Z,1629.340556,0,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,KOLANICH,,364,10,95,0.050000
awesomedata,awesome-public-datasets,awesomedata/awesome-public-datasets,235,https://github.com/awesomedata/awesome-public-datasets/pull/235,Updated TFL to current API link.,MERGED,2016-07-07T13:33:46Z,2016-08-15T02:58:47Z,2016-08-15T02:58:47Z,925.416944,102,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,handmadeby,2016-08-15T02:58:47Z,364,10,95,0.050000
awesomedata,awesome-public-datasets,awesomedata/awesome-public-datasets,187,https://github.com/awesomedata/awesome-public-datasets/pull/187,Added Basketball Player Database and Statistics,MERGED,2016-02-09T04:20:26Z,2016-02-13T16:53:52Z,2016-02-13T16:53:52Z,108.557222,0,1,1,0,1,1,0,1,0,1,NO_REVIEW,no_review,,,no,HashirZahir,2016-02-13T16:53:52Z,364,10,95,0.050000
awesomedata,awesome-public-datasets,awesomedata/awesome-public-datasets,154,https://github.com/awesomedata/awesome-public-datasets/pull/154,Update README.rst,MERGED,2016-01-31T03:50:51Z,2016-02-04T13:48:16Z,2016-02-04T13:48:16Z,105.956944,24,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,m4thfr34k,2016-02-04T13:48:16Z,364,10,95,0.050000
awesomedata,awesome-public-datasets,awesomedata/awesome-public-datasets,85,https://github.com/awesomedata/awesome-public-datasets/pull/85,Typo fix,MERGED,2015-05-20T22:14:32Z,2015-05-21T08:46:46Z,2015-05-21T08:46:46Z,10.537222,0,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,narner,2015-05-21T08:46:46Z,364,10,95,0.050000
awesomedata,awesome-public-datasets,awesomedata/awesome-public-datasets,83,https://github.com/awesomedata/awesome-public-datasets/pull/83,Added link to open data website for Austria,MERGED,2015-05-19T07:44:18Z,2015-05-19T13:51:23Z,2015-05-19T13:51:23Z,6.118056,0,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,mkurz,2015-05-19T13:51:23Z,364,10,95,0.050000
awesomedata,awesome-public-datasets,awesomedata/awesome-public-datasets,74,https://github.com/awesomedata/awesome-public-datasets/pull/74,Added Puerto Rico Open data to the List,MERGED,2015-04-22T16:25:06Z,2015-04-23T02:10:46Z,2015-04-23T02:10:46Z,9.761111,49,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,devmoreno,2015-04-23T02:10:46Z,364,10,95,0.050000
