owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
base,node,base/node,657,https://github.com/base/node/pull/657,chore: update client versions and unify CI action versions,CLOSED,2025-11-17T18:01:58Z,2025-12-07T00:46:56Z,2025-12-07T00:46:56Z,462.749444,449,2,8,8,16,3,0,3,0,1,NO_REVIEW,no_review,,,no,mslord213,,463,10,95,0.050000
base,node,base/node,638,https://github.com/base/node/pull/638,"chore: updated optimism, reth, node-reth, nethermind, op-geth",MERGED,2025-11-07T13:12:29Z,2025-11-13T21:43:02Z,2025-11-13T21:43:02Z,152.509167,155,2,20,20,40,1,0,1,2,3,APPROVED,positive,COMMENTED|APPROVED,circhacks|henridevieux,yes,github-actions,2025-11-12T21:26:14Z,463,10,95,0.050000
base,node,base/node,510,https://github.com/base/node/pull/510,fix: remove debug print statement and fix error messages in dependency updater,MERGED,2025-07-19T12:17:31Z,2025-07-21T15:23:09Z,2025-07-21T15:23:09Z,51.093889,453,1,2,2,4,1,0,1,1,2,APPROVED,positive,APPROVED,JenabaBa,yes,pashka8,2025-07-21T15:23:08Z,463,10,95,0.050000
base,node,base/node,507,https://github.com/base/node/pull/507,fix: push when title is set,MERGED,2025-07-16T15:07:25Z,2025-07-16T15:27:22Z,2025-07-16T15:27:22Z,0.332500,106,1,1,1,2,1,0,1,1,2,APPROVED,positive,APPROVED,JenabaBa,yes,danyalprout,2025-07-16T15:27:20Z,463,10,95,0.050000
base,node,base/node,500,https://github.com/base/node/pull/500,chore: updated reth,MERGED,2025-07-09T19:03:26Z,2025-07-09T22:22:07Z,2025-07-09T22:22:07Z,3.311389,75,2,4,4,8,7,0,7,6,4,APPROVED,positive,APPROVED|APPROVED|APPROVED|APPROVED|APPROVED|APPROVED,JenabaBa|danyalprout|JenabaBa|JenabaBa|JenabaBa|tobidae-cb,yes,github-actions,2025-07-09T22:22:05Z,463,10,95,0.050000
base,node,base/node,280,https://github.com/base/node/pull/280,fix: typo in natextip for op-geth,CLOSED,2024-06-20T10:26:31Z,2024-06-20T15:15:14Z,2024-06-20T15:15:14Z,4.811944,0,1,1,1,2,0,0,0,1,2,APPROVED,positive,APPROVED,danyalprout,yes,coval3nte,,463,10,95,0.050000
base,node,base/node,271,https://github.com/base/node/pull/271,chore: add reth configuration & cleanup configs,MERGED,2024-06-12T02:27:03Z,2024-06-14T02:58:50Z,2024-06-14T02:58:50Z,48.529722,507,18,204,29832,30036,1,0,1,10,2,APPROVED,positive,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|APPROVED|APPROVED|APPROVED|APPROVED,danyalprout|BrianBland|danyalprout|BrianBland|BrianBland|BrianBland|BrianBland|BrianBland|BrianBland|BrianBland,yes,danyalprout,2024-06-14T02:58:47Z,463,10,95,0.050000
base,node,base/node,40,https://github.com/base/node/pull/40,web3 -> onchain,MERGED,2023-04-11T21:41:37Z,2023-04-12T01:29:57Z,2023-04-12T01:29:57Z,3.805556,27,1,1,1,2,3,0,3,3,4,APPROVED,positive,APPROVED|APPROVED|APPROVED,netdragonx|aflock|mdehoog,yes,jessepollak,2023-04-12T01:29:47Z,463,10,95,0.050000
base,node,base/node,23,https://github.com/base/node/pull/23,Fix one grammatical error in README.md,MERGED,2023-03-13T05:20:45Z,2023-03-14T16:24:24Z,2023-03-14T16:24:24Z,35.060833,0,1,1,1,2,0,0,0,1,2,APPROVED,positive,APPROVED,wbnns,yes,davidcardenasus,2023-03-14T16:24:24Z,463,10,95,0.050000
base,node,base/node,8,https://github.com/base/node/pull/8,reformat sync status command to work with bash,MERGED,2023-02-25T18:57:04Z,2023-02-26T17:55:37Z,2023-02-26T17:55:37Z,22.975833,8,1,4,4,8,0,0,0,1,2,APPROVED,positive,APPROVED,0x00101010,yes,roberto-bayardo,2023-02-26T17:31:23Z,463,10,95,0.050000
