owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
binhnguyennus,awesome-scalability,binhnguyennus/awesome-scalability,109,https://github.com/binhnguyennus/awesome-scalability/pull/109,Update README.md,CLOSED,2025-02-15T13:34:53Z,2025-02-16T02:27:53Z,2025-02-16T02:27:53Z,12.883333,42,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,thijs-s,,105,10,95,0.050000
binhnguyennus,awesome-scalability,binhnguyennus/awesome-scalability,67,https://github.com/binhnguyennus/awesome-scalability/pull/67,Add one RabbitMQ article.,OPEN,2021-06-09T15:59:35Z,2024-11-20T18:04:05Z,2024-11-20T18:04:05Z,30242.075000,123,1,1,0,1,0,0,0,1,2,APPROVED,positive,APPROVED,Borhanuiddan,yes,obaqueiro,,105,10,95,0.050000
binhnguyennus,awesome-scalability,binhnguyennus/awesome-scalability,2,https://github.com/binhnguyennus/awesome-scalability/pull/2,Add link to Tracing distributed systems at Showmax,MERGED,2018-01-24T07:52:49Z,2021-02-28T18:37:56Z,2021-02-28T18:37:56Z,27154.751944,184,1,1,0,1,0,0,0,1,2,APPROVED,positive,APPROVED,binhnguyennus,yes,bobek,2018-01-24T10:59:53Z,105,10,95,0.050000
binhnguyennus,awesome-scalability,binhnguyennus/awesome-scalability,58,https://github.com/binhnguyennus/awesome-scalability/pull/58,Fixing link to blog scale up vs. scale out,MERGED,2020-09-12T23:02:55Z,2020-09-12T23:19:12Z,2020-09-12T23:19:12Z,0.271389,240,1,2,2,4,2,0,2,0,1,NO_REVIEW,no_review,,,no,spekulatius,2020-09-12T23:15:45Z,105,10,95,0.050000
binhnguyennus,awesome-scalability,binhnguyennus/awesome-scalability,56,https://github.com/binhnguyennus/awesome-scalability/pull/56,Add TCP article to Low-Level Systems section,CLOSED,2020-08-14T14:32:20Z,2020-08-15T07:03:38Z,2020-08-15T07:03:38Z,16.521667,0,1,1,0,1,2,0,2,0,1,NO_REVIEW,no_review,,,no,vitillo,,105,10,95,0.050000
binhnguyennus,awesome-scalability,binhnguyennus/awesome-scalability,42,https://github.com/binhnguyennus/awesome-scalability/pull/42,Add Data Engineering in Badoo Talk link to Big Data Section,CLOSED,2019-08-21T14:30:50Z,2020-01-10T00:02:16Z,2020-01-10T00:02:16Z,3393.523889,145,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,pardeep-singh,,105,10,95,0.050000
binhnguyennus,awesome-scalability,binhnguyennus/awesome-scalability,45,https://github.com/binhnguyennus/awesome-scalability/pull/45,add: Goods - Organizing Google's Datasets,CLOSED,2019-09-30T17:17:58Z,2020-01-10T00:01:49Z,2020-01-10T00:01:49Z,2430.730833,377,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,fpaupier,,105,10,95,0.050000
binhnguyennus,awesome-scalability,binhnguyennus/awesome-scalability,46,https://github.com/binhnguyennus/awesome-scalability/pull/46,Added Enduro/X ASG for golang,CLOSED,2019-10-13T09:50:31Z,2019-10-13T09:50:44Z,2019-10-13T09:50:44Z,0.003611,0,0,0,0,0,0,0,0,0,1,NO_REVIEW,no_review,,,no,aalhour,,105,10,95,0.050000
binhnguyennus,awesome-scalability,binhnguyennus/awesome-scalability,24,https://github.com/binhnguyennus/awesome-scalability/pull/24, Fixed broken link for expedia article,MERGED,2019-01-02T19:13:13Z,2019-01-03T01:51:34Z,2019-01-03T01:51:34Z,6.639167,89,1,1,1,2,0,0,0,1,2,APPROVED,positive,APPROVED,binhnguyennus,yes,techyrajeev,2019-01-03T01:51:34Z,105,10,95,0.050000
binhnguyennus,awesome-scalability,binhnguyennus/awesome-scalability,21,https://github.com/binhnguyennus/awesome-scalability/pull/21,"Add talk ""Scaling Redis at Twitter""",CLOSED,2018-10-17T13:56:19Z,2018-10-18T15:04:01Z,2018-10-18T15:04:01Z,25.128333,401,1,1,0,1,2,0,2,0,1,NO_REVIEW,no_review,,,no,pegaslee,,105,10,95,0.050000
