owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
browser-use,browser-use,browser-use/browser-use,3930,https://github.com/browser-use/browser-use/pull/3930,fix: preserve CDP connection for chrome-extension:// pages,CLOSED,2026-01-24T13:12:54Z,2026-03-26T03:06:43Z,2026-03-26T03:06:43Z,1453.896944,1192,1,40,15,55,2,0,2,1,2,COMMENTED,neutral,COMMENTED,cubic-dev-ai,yes,akramcodez,,2910,10,95,0.050000
browser-use,browser-use,browser-use/browser-use,4388,https://github.com/browser-use/browser-use/pull/4388,Fix(DOM): Exclude Password Field Values from DOM Snapshots sent to LLM,MERGED,2026-03-17T03:44:17Z,2026-03-19T00:26:53Z,2026-03-19T00:26:53Z,44.710000,3363,2,168,1,169,3,0,3,2,3,APPROVED,positive,COMMENTED|APPROVED,cubic-dev-ai|sauravpanda,yes,zachdotai,2026-03-19T00:26:53Z,2910,10,95,0.050000
browser-use,browser-use,browser-use/browser-use,3976,https://github.com/browser-use/browser-use/pull/3976,fix: validate file size on upload and dynamic text extension list,MERGED,2026-01-30T08:25:57Z,2026-01-31T00:37:58Z,2026-01-31T00:37:58Z,16.200278,1924,3,19,2,21,2,0,2,2,3,COMMENTED,neutral,COMMENTED|COMMENTED,cubic-dev-ai|cursor,yes,MagMueller,2026-01-31T00:37:57Z,2910,10,95,0.050000
browser-use,browser-use,browser-use/browser-use,3686,https://github.com/browser-use/browser-use/pull/3686,docs: clarify Actor vs WatchDog usage and event positioning (fix #3680),CLOSED,2025-11-29T13:18:29Z,2026-01-29T02:58:21Z,2026-01-29T02:58:21Z,1453.664444,1305,1,26,0,26,3,0,3,2,2,COMMENTED,neutral,COMMENTED|COMMENTED,cubic-dev-ai|cubic-dev-ai,yes,tanu268,,2910,10,95,0.050000
browser-use,browser-use,browser-use/browser-use,3462,https://github.com/browser-use/browser-use/pull/3462,download-less,MERGED,2025-10-29T19:47:02Z,2025-10-29T20:39:38Z,2025-10-29T20:39:38Z,0.876667,937,2,178,4,182,4,0,4,4,3,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED,cursor|cubic-dev-ai|cubic-dev-ai|cubic-dev-ai,yes,MagMueller,2025-10-29T20:18:00Z,2910,10,95,0.050000
browser-use,browser-use,browser-use/browser-use,2218,https://github.com/browser-use/browser-use/pull/2218,"dont use fs for short tasks, dont initialize results.md",MERGED,2025-07-01T08:30:30Z,2025-07-01T10:54:08Z,2025-07-01T10:54:08Z,2.393889,316,5,16,54,70,5,0,5,2,3,COMMENTED,neutral,COMMENTED|COMMENTED,cubic-dev-ai|cursor,yes,mertunsall,2025-07-01T10:54:07Z,2910,10,95,0.050000
browser-use,browser-use,browser-use/browser-use,1310,https://github.com/browser-use/browser-use/pull/1310,Detect blocking synchronous commands in asyncio code,MERGED,2025-04-07T13:54:04Z,2025-04-22T00:32:17Z,2025-04-22T00:32:17Z,346.636944,473,14,86,65,151,2,0,2,10,3,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,cubic-dev-ai|cclauss|cclauss|cclauss|cclauss|pirate|pirate|cclauss|pirate|pirate,yes,cclauss,2025-04-21T22:10:57Z,2910,10,95,0.050000
browser-use,browser-use,browser-use/browser-use,444,https://github.com/browser-use/browser-use/pull/444,added highlight manager in browser_use/dom,CLOSED,2025-01-28T08:31:12Z,2025-04-02T16:29:47Z,2025-04-02T16:29:47Z,1543.976389,21,8,103,86,189,13,0,13,0,1,NO_REVIEW,no_review,,,no,PaperBoardOfficial,,2910,10,95,0.050000
browser-use,browser-use,browser-use/browser-use,1095,https://github.com/browser-use/browser-use/pull/1095,Feature to save webpage as PDF to given path,MERGED,2025-03-21T07:33:37Z,2025-03-23T02:36:50Z,2025-03-23T02:36:50Z,43.053611,233,1,17,0,17,9,0,9,8,2,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,pirate|ml5ah|pirate|pirate|ml5ah|pirate|pirate|ml5ah,yes,ml5ah,2025-03-23T02:10:48Z,2910,10,95,0.050000
browser-use,browser-use,browser-use/browser-use,746,https://github.com/browser-use/browser-use/pull/746,Doc fix: Fixed broken link to extra_chromium_args,MERGED,2025-02-17T09:58:50Z,2025-02-17T16:57:44Z,2025-02-17T16:57:44Z,6.981667,399,1,21,21,42,2,0,2,0,1,NO_REVIEW,no_review,,,no,RishabhKodes,2025-02-17T16:57:44Z,2910,10,95,0.050000
