owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
bytedance,deer-flow,bytedance/deer-flow,2583,https://github.com/bytedance/deer-flow/pull/2583,fix(subagents): make subagent timeout terminal state atomic,OPEN,2026-04-26T18:02:26Z,2026-05-03T11:09:08Z,2026-05-03T11:09:08Z,161.111667,1524,2,178,49,227,1,0,1,1,2,CHANGES_REQUESTED,negative,CHANGES_REQUESTED,hetaoBackend,yes,Kiteeater,,1454,10,95,0.050000
bytedance,deer-flow,bytedance/deer-flow,2494,https://github.com/bytedance/deer-flow/pull/2494,fix: use subprocess instead of os.system in local_backend.py,MERGED,2026-04-24T04:57:38Z,2026-04-25T00:59:32Z,2026-04-25T00:59:32Z,20.031667,1137,2,6,4,10,1,0,1,2,3,APPROVED,positive,COMMENTED|APPROVED,copilot-pull-request-reviewer|WillemJiang,yes,orbisai0security,2026-04-25T00:59:32Z,1454,10,95,0.050000
bytedance,deer-flow,bytedance/deer-flow,2238,https://github.com/bytedance/deer-flow/pull/2238,docs: add Italian README translation and language link,OPEN,2026-04-14T20:36:06Z,2026-04-15T14:52:43Z,2026-04-15T14:52:43Z,18.276944,594,2,256,1,257,2,0,2,0,1,NO_REVIEW,no_review,,,no,R0mb0,,1454,10,95,0.050000
bytedance,deer-flow,bytedance/deer-flow,1802,https://github.com/bytedance/deer-flow/pull/1802,fix(channels): normalize slack allowed user ids,MERGED,2026-04-03T04:22:11Z,2026-04-05T10:04:21Z,2026-04-05T10:04:21Z,53.702778,486,2,43,2,45,3,0,3,2,3,APPROVED,positive,COMMENTED|APPROVED,copilot-pull-request-reviewer|WillemJiang,yes,haimingZZ,2026-04-05T10:04:21Z,1454,10,95,0.050000
bytedance,deer-flow,bytedance/deer-flow,1668,https://github.com/bytedance/deer-flow/pull/1668,feat(memory): structured reflection + correction detection in MemoryMiddleware (#1620),MERGED,2026-03-31T09:42:39Z,2026-04-01T08:45:29Z,2026-04-01T08:45:29Z,23.047222,954,10,436,21,457,5,0,5,4,3,APPROVED,positive,COMMENTED|COMMENTED|COMMENTED|APPROVED,copilot-pull-request-reviewer|ShenAC-SAC|ShenAC-SAC|WillemJiang,yes,ShenAC-SAC,2026-04-01T08:45:29Z,1454,10,95,0.050000
bytedance,deer-flow,bytedance/deer-flow,1582,https://github.com/bytedance/deer-flow/pull/1582,Sync all backend workspace packages during install,OPEN,2026-03-29T20:41:15Z,2026-03-30T14:57:45Z,2026-03-30T14:57:45Z,18.275000,891,4,99,10,109,0,0,0,0,1,NO_REVIEW,no_review,,,no,corazzione,,1454,10,95,0.050000
bytedance,deer-flow,bytedance/deer-flow,1448,https://github.com/bytedance/deer-flow/pull/1448,Update config.example.yaml,CLOSED,2026-03-27T03:36:36Z,2026-03-27T09:47:05Z,2026-03-27T09:47:05Z,6.174722,33,1,1,1,2,2,0,2,0,1,NO_REVIEW,no_review,,,no,huxinwang49-arch,,1454,10,95,0.050000
bytedance,deer-flow,bytedance/deer-flow,524,https://github.com/bytedance/deer-flow/pull/524,feat: Implement conversation history ,CLOSED,2025-08-20T17:07:01Z,2026-03-04T14:23:25Z,2026-03-04T14:23:25Z,4701.273333,1044,19,954,84,1038,8,0,8,0,1,NO_REVIEW,no_review,,,no,changxubo,,1454,10,95,0.050000
bytedance,deer-flow,bytedance/deer-flow,636,https://github.com/bytedance/deer-flow/pull/636,fix: convert crawl_tool dict return to JSON string for type consistency,MERGED,2025-10-21T01:14:23Z,2025-10-21T02:00:43Z,2025-10-21T02:00:43Z,0.772222,808,2,10,6,16,0,0,0,1,2,APPROVED,positive,APPROVED,willem-bd,yes,WillemJiang,2025-10-21T02:00:33Z,1454,10,95,0.050000
bytedance,deer-flow,bytedance/deer-flow,502,https://github.com/bytedance/deer-flow/pull/502,feat: add Google AI Studio API support with platform-based detection,MERGED,2025-08-04T07:04:52Z,2025-09-13T00:49:28Z,2025-09-13T00:49:28Z,953.743333,715,5,215,3,218,1,0,1,1,2,APPROVED,positive,APPROVED,WillemJiang,yes,HagonChan,2025-09-13T00:49:05Z,1454,10,95,0.050000
