owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
caddyserver,caddy,caddyserver/caddy,7071,https://github.com/caddyserver/caddy/pull/7071,build(deps): bump github.com/alecthomas/chroma/v2 from 2.15.0 to 2.18.0,CLOSED,2025-06-16T20:55:13Z,2026-03-10T17:41:08Z,2026-03-10T17:41:08Z,6404.765278,4270,2,6,6,12,2,0,2,0,1,NO_REVIEW,no_review,,,no,dependabot,,2876,10,95,0.050000
caddyserver,caddy,caddyserver/caddy,5915,https://github.com/caddyserver/caddy/pull/5915,proxyprotocol: use github.com/pires/go-proxyproto,MERGED,2023-10-24T19:41:24Z,2024-05-27T13:42:16Z,2024-05-27T13:42:16Z,5178.014444,139,6,176,42,218,7,0,7,24,6,COMMENTED,neutral,COMMENTED|CHANGES_REQUESTED|APPROVED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|APPROVED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,francislavoie|WeidiDeng|mholt|mohammed90|WeidiDeng|mohammed90|mohammed90|mohammed90|mohammed90|WeidiDeng|TimWolla|TimWolla|francislavoie|francislavoie|TimWolla|francislavoie|polarathene|TimWolla|TimWolla|mohammed90|polarathene|TimWolla|TimWolla|polarathene,yes,mohammed90,2023-12-13T16:07:43Z,2876,10,95,0.050000
caddyserver,caddy,caddyserver/caddy,5895,https://github.com/caddyserver/caddy/pull/5895,Add newline character to version string in CLI output,MERGED,2023-10-14T12:33:14Z,2023-10-16T15:58:36Z,2023-10-16T15:58:36Z,51.422778,834,1,1,1,2,0,0,0,1,2,APPROVED,positive,APPROVED,mholt,yes,ThanmayNath,2023-10-16T15:58:32Z,2876,10,95,0.050000
caddyserver,caddy,caddyserver/caddy,3983,https://github.com/caddyserver/caddy/pull/3983,caddyhttp: Implement handler abort; new 'abort' directive (close #3871),MERGED,2021-01-21T21:35:35Z,2021-01-28T21:37:50Z,2021-01-28T21:37:50Z,168.037500,368,4,27,4,31,4,0,4,0,1,NO_REVIEW,no_review,,,no,mholt,2021-01-28T19:54:56Z,2876,10,95,0.050000
caddyserver,caddy,caddyserver/caddy,3747,https://github.com/caddyserver/caddy/pull/3747,feat: add a module implementing Vulcain,CLOSED,2020-09-23T00:00:34Z,2020-10-02T22:16:03Z,2020-10-02T22:16:03Z,238.258056,734,8,273,18,291,6,0,6,0,1,NO_REVIEW,no_review,,,no,dunglas,,2876,10,95,0.050000
caddyserver,caddy,caddyserver/caddy,2489,https://github.com/caddyserver/caddy/pull/2489,fastcgi: Improve fastcgi SCRIPT_FILENAME generation,CLOSED,2019-02-27T10:59:52Z,2019-07-25T17:11:33Z,2019-07-25T17:11:33Z,3558.194722,535,2,52,30,82,8,0,8,0,1,NO_REVIEW,no_review,,,no,longsleep,,2876,10,95,0.050000
caddyserver,caddy,caddyserver/caddy,1648,https://github.com/caddyserver/caddy/pull/1648,caddy 'login' plugin,MERGED,2017-05-03T07:37:42Z,2017-05-14T01:19:55Z,2017-05-14T01:19:55Z,257.703611,297,1,1,0,1,17,0,17,1,2,APPROVED,positive,APPROVED,mholt,yes,smancke,2017-05-04T11:17:53Z,2876,10,95,0.050000
caddyserver,caddy,caddyserver/caddy,1314,https://github.com/caddyserver/caddy/pull/1314,proxy: Unbuffered request optimization,MERGED,2016-12-29T17:22:29Z,2017-01-17T14:32:24Z,2017-01-17T14:32:24Z,453.165278,385,3,129,13,142,26,0,26,18,4,APPROVED,positive,CHANGES_REQUESTED|COMMENTED|CHANGES_REQUESTED|COMMENTED|DISMISSED|CHANGES_REQUESTED|COMMENTED|COMMENTED|CHANGES_REQUESTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|CHANGES_REQUESTED|APPROVED,mholt|lhecker|tw4452852|mholt|tw4452852|mholt|lhecker|mholt|mholt|oliverpool|mholt|oliverpool|oliverpool|mholt|lhecker|lhecker|mholt|mholt,yes,lhecker,2017-01-11T20:02:26Z,2876,10,95,0.050000
caddyserver,caddy,caddyserver/caddy,989,https://github.com/caddyserver/caddy/pull/989,tls: fix TestStandaloneTLSTicketKeyRotation data race,MERGED,2016-08-02T07:33:00Z,2016-08-03T00:50:53Z,2016-08-03T00:50:53Z,17.298056,3035,1,12,9,21,4,0,4,0,1,NO_REVIEW,no_review,,,no,tw4452852,2016-08-02T12:03:15Z,2876,10,95,0.050000
caddyserver,caddy,caddyserver/caddy,908,https://github.com/caddyserver/caddy/pull/908,Proposal: Middleware Config,MERGED,2016-06-29T23:17:43Z,2016-07-09T00:13:20Z,2016-07-09T00:13:20Z,216.926944,109,6,127,69,196,3,0,3,0,1,NO_REVIEW,no_review,,,no,abiosoft,2016-07-09T00:12:52Z,2876,10,95,0.050000
