owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
chartjs,Chart.js,chartjs/Chart.js,11521,https://github.com/chartjs/Chart.js/pull/11521,"fix: correct typing for doughnut, pie, and polarArea charts",MERGED,2023-09-28T16:43:02Z,2024-11-20T13:34:14Z,2024-11-20T13:34:14Z,10052.853333,505,2,14,2,16,1,0,1,2,3,APPROVED,positive,APPROVED|APPROVED,kurkle|etimberg,yes,DustinEwan,2024-11-18T20:43:18Z,3942,10,95,0.050000
chartjs,Chart.js,chartjs/Chart.js,11115,https://github.com/chartjs/Chart.js/pull/11115,Add colors plugin TS options to be configured,MERGED,2023-02-04T19:30:56Z,2024-01-15T17:12:28Z,2024-01-15T17:12:28Z,8277.692222,15,2,21,0,21,0,0,0,2,3,APPROVED,positive,APPROVED|APPROVED,dangreen|etimberg,yes,LeeLenaleee,2023-02-07T13:19:00Z,3942,10,95,0.050000
chartjs,Chart.js,chartjs/Chart.js,10543,https://github.com/chartjs/Chart.js/pull/10543,Test branch,CLOSED,2022-08-02T08:20:38Z,2022-08-02T14:15:26Z,2022-08-02T14:15:26Z,5.913333,0,3,2,32,34,1,0,1,0,1,NO_REVIEW,no_review,,,no,danolekh,,3942,10,95,0.050000
chartjs,Chart.js,chartjs/Chart.js,7936,https://github.com/chartjs/Chart.js/pull/7936,Rename showLines to showLine,MERGED,2020-10-21T06:20:59Z,2020-12-31T06:59:13Z,2020-12-31T06:59:13Z,1704.637222,61,17,24,23,47,0,0,0,1,2,APPROVED,positive,APPROVED,etimberg,yes,kurkle,2020-10-21T12:13:28Z,3942,10,95,0.050000
chartjs,Chart.js,chartjs/Chart.js,7725,https://github.com/chartjs/Chart.js/pull/7725,Fix prototype leak on title and tooltip options,CLOSED,2020-08-24T09:16:23Z,2020-09-16T05:12:04Z,2020-09-16T05:12:04Z,547.928056,37,2,25,27,52,1,0,1,0,1,NO_REVIEW,no_review,,,no,kurkle,,3942,10,95,0.050000
chartjs,Chart.js,chartjs/Chart.js,6975,https://github.com/chartjs/Chart.js/pull/6975,fix drawPoint parameters,MERGED,2020-01-17T14:01:59Z,2020-01-20T01:42:21Z,2020-01-20T01:42:21Z,59.672778,190,1,7,2,9,2,0,2,8,4,APPROVED,positive,DISMISSED|COMMENTED|DISMISSED|DISMISSED|DISMISSED|APPROVED|APPROVED|APPROVED,benmccann|touletan|benmccann|kurkle|etimberg|benmccann|kurkle|etimberg,yes,touletan,2020-01-18T13:32:10Z,3942,10,95,0.050000
chartjs,Chart.js,chartjs/Chart.js,6288,https://github.com/chartjs/Chart.js/pull/6288,Fix regression with lineTension,MERGED,2019-05-21T16:50:33Z,2019-05-24T07:35:40Z,2019-05-24T07:35:40Z,62.751944,328,3,12,12,24,0,0,0,8,5,APPROVED,positive,DISMISSED|DISMISSED|DISMISSED|COMMENTED|COMMENTED|APPROVED|APPROVED|APPROVED,benmccann|kurkle|etimberg|simonbrunel|nagix|etimberg|benmccann|kurkle,yes,nagix,2019-05-24T07:34:10Z,3942,10,95,0.050000
chartjs,Chart.js,chartjs/Chart.js,3419,https://github.com/chartjs/Chart.js/pull/3419,Docs - Examples integrations Javascript's Library,CLOSED,2016-10-04T18:08:39Z,2016-10-13T20:07:19Z,2016-10-13T20:07:19Z,217.977778,80,1,5,0,5,1,0,1,0,1,NO_REVIEW,no_review,,,no,00F100,,3942,10,95,0.050000
chartjs,Chart.js,chartjs/Chart.js,1817,https://github.com/chartjs/Chart.js/pull/1817,Add missing comma,MERGED,2015-12-22T09:50:20Z,2016-04-24T21:45:15Z,2016-04-24T21:45:15Z,2987.915278,0,1,2,2,4,1,0,1,0,1,NO_REVIEW,no_review,,,no,prashcr,2015-12-22T13:19:45Z,3942,10,95,0.050000
chartjs,Chart.js,chartjs/Chart.js,519,https://github.com/chartjs/Chart.js/pull/519,gulpfile cleanup / improvment and initial test framework and just beginn...,CLOSED,2014-08-06T04:49:12Z,2016-04-24T21:44:31Z,2016-04-24T21:44:31Z,15064.921944,1361,12,424,3408,3832,10,0,10,0,1,NO_REVIEW,no_review,,,no,txbm,,3942,10,95,0.050000
