owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at
codecrafters-io,build-your-own-x,codecrafters-io/build-your-own-x,1740,https://github.com/codecrafters-io/build-your-own-x/pull/1740,fix: AI Model section link,open,2026-04-12T06:09:53Z,2026-04-17T12:20:45Z,2026-04-17T12:20:45Z,126.181111,0,1,1,1,2,0,0,0,1,2,APPROVED,positive,APPROVED,atacanjacques,yes,MrMohamedAbdallah,
codecrafters-io,build-your-own-x,codecrafters-io/build-your-own-x,1695,https://github.com/codecrafters-io/build-your-own-x/pull/1695,Fix broken tutorial links and formatting inconsistency,open,2026-03-18T11:22:00Z,2026-04-17T10:48:09Z,2026-04-17T10:48:09Z,719.435833,619,1,3,3,6,0,0,0,1,2,COMMENTED,neutral,COMMENTED,JDWILSON80,yes,apoorvdarshan,
codecrafters-io,build-your-own-x,codecrafters-io/build-your-own-x,1742,https://github.com/codecrafters-io/build-your-own-x/pull/1742,Create LICENSE,closed,2026-04-15T15:55:19Z,2026-04-15T15:56:50Z,2026-04-15T15:56:50Z,0.025278,0,1,24,0,24,2,0,2,0,1,NO_REVIEW,no_review,,,no,HackerDLJ,
codecrafters-io,build-your-own-x,codecrafters-io/build-your-own-x,1706,https://github.com/codecrafters-io/build-your-own-x/pull/1706,Build your own Key-Value Storage Engine,open,2026-03-23T23:46:57Z,2026-04-12T08:54:45Z,2026-04-12T08:54:45Z,465.130000,101,1,1,0,1,3,0,3,0,2,NO_REVIEW,no_review,,,no,teivah,
codecrafters-io,build-your-own-x,codecrafters-io/build-your-own-x,1729,https://github.com/codecrafters-io/build-your-own-x/pull/1729,Remove Lua resource from README,closed,2026-04-04T14:10:48Z,2026-04-07T19:11:21Z,2026-04-07T19:11:21Z,77.009167,42,1,0,1,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,Luca12341234,
codecrafters-io,build-your-own-x,codecrafters-io/build-your-own-x,1731,https://github.com/codecrafters-io/build-your-own-x/pull/1731,Add Glitch - build your own bug reporter,open,2026-04-05T11:55:56Z,2026-04-05T11:55:56Z,2026-04-05T11:55:56Z,0.000000,25,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,Ankitajainkuniya,
codecrafters-io,build-your-own-x,codecrafters-io/build-your-own-x,1685,https://github.com/codecrafters-io/build-your-own-x/pull/1685,"Add AI Agent, Vector Database, and MCP categories",closed,2026-03-08T11:38:56Z,2026-04-05T07:20:14Z,2026-04-05T07:20:14Z,667.688333,393,1,31,0,31,0,0,0,0,1,NO_REVIEW,no_review,,,no,hiSandog,
codecrafters-io,build-your-own-x,codecrafters-io/build-your-own-x,1713,https://github.com/codecrafters-io/build-your-own-x/pull/1713,Fix wording in README,open,2026-03-28T21:36:50Z,2026-04-05T00:07:40Z,2026-04-05T00:07:40Z,170.513889,40,1,1,1,2,0,0,0,1,2,CHANGES_REQUESTED,negative,CHANGES_REQUESTED,robotsnh,yes,Manjeera-K,
codecrafters-io,build-your-own-x,codecrafters-io/build-your-own-x,1521,https://github.com/codecrafters-io/build-your-own-x/pull/1521,Add: FurrDB key-value Database written in go,closed,2025-07-31T15:43:36Z,2026-04-04T15:59:18Z,2026-04-04T15:59:18Z,5928.261667,79,1,1,0,1,0,0,0,1,2,APPROVED,positive,APPROVED,mealicecooper,yes,itsfuad,
codecrafters-io,build-your-own-x,codecrafters-io/build-your-own-x,1714,https://github.com/codecrafters-io/build-your-own-x/pull/1714,Fix the table of contents,open,2026-03-29T18:19:38Z,2026-03-29T18:19:38Z,2026-03-29T18:19:38Z,0.000000,144,1,5,3,8,0,0,0,0,1,NO_REVIEW,no_review,,,no,almet,
