owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
coder,code-server,coder/code-server,6382,https://github.com/coder/code-server/pull/6382,Update Caddyfile syntax,MERGED,2023-08-09T18:46:18Z,2023-08-10T00:58:52Z,2023-08-10T00:58:52Z,6.209444,64,1,3,3,6,0,0,0,1,2,APPROVED,positive,APPROVED,code-asher,yes,encg,2023-08-10T00:44:23Z,2157,10,95,0.050000
coder,code-server,coder/code-server,6048,https://github.com/coder/code-server/pull/6048,Add origin checks to web sockets,MERGED,2023-03-03T03:16:59Z,2023-03-03T09:12:39Z,2023-03-03T09:12:39Z,5.927778,0,17,353,101,454,1,0,1,0,1,NO_REVIEW,no_review,,,no,code-asher,2023-03-03T09:12:34Z,2157,10,95,0.050000
coder,code-server,coder/code-server,5650,https://github.com/coder/code-server/pull/5650,chore: update Code to 1.72.2,MERGED,2022-10-14T17:16:03Z,2022-10-17T23:30:40Z,2022-10-17T23:30:40Z,78.243611,0,20,75,115,190,2,0,2,10,2,APPROVED,positive,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|APPROVED,code-asher|jsjoeio|jsjoeio|jsjoeio|jsjoeio|jsjoeio|jsjoeio|jsjoeio|code-asher|code-asher,yes,jsjoeio,2022-10-17T23:30:39Z,2157,10,95,0.050000
coder,code-server,coder/code-server,5541,https://github.com/coder/code-server/pull/5541,chore: add npm followup comment,MERGED,2022-09-06T18:51:16Z,2022-09-09T18:38:52Z,2022-09-09T18:38:52Z,71.793333,106,1,3,0,3,5,0,5,2,3,APPROVED,positive,APPROVED|APPROVED,code-asher|edvincent,yes,jsjoeio,2022-09-06T20:34:34Z,2157,10,95,0.050000
coder,code-server,coder/code-server,4401,https://github.com/coder/code-server/pull/4401,chore(deps): update aquasecurity/trivy-action commit hash to 1ccef26,MERGED,2021-10-26T19:17:27Z,2021-10-29T02:12:27Z,2021-10-29T02:12:27Z,54.916667,522,1,1,1,2,2,0,2,1,2,APPROVED,positive,APPROVED,jsjoeio,yes,renovate,2021-10-29T02:12:26Z,2157,10,95,0.050000
coder,code-server,coder/code-server,3223,https://github.com/coder/code-server/pull/3223,chore(deps): update dependencies with CVEs,MERGED,2021-04-26T13:39:49Z,2021-05-14T17:05:39Z,2021-05-14T17:05:39Z,435.430556,204,2,204,228,432,1,0,1,1,2,APPROVED,positive,APPROVED,jsjoeio,yes,oxy,2021-04-26T18:26:26Z,2157,10,95,0.050000
coder,code-server,coder/code-server,2744,https://github.com/coder/code-server/pull/2744,feat(testing): add tests for serviceWorker.ts,MERGED,2021-02-18T21:42:44Z,2021-05-14T16:52:28Z,2021-05-14T16:52:28Z,2035.162222,412,4,116,3,119,1,0,1,6,3,COMMENTED,neutral,COMMENTED|APPROVED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,jsjoeio|oxy|jsjoeio|code-asher|jsjoeio|jsjoeio,yes,jsjoeio,2021-02-25T16:52:34Z,2157,10,95,0.050000
coder,code-server,coder/code-server,2920,https://github.com/coder/code-server/pull/2920,chore(deps): bump js-yaml from 3.14.0 to 4.0.0,MERGED,2021-03-17T19:37:22Z,2021-03-18T21:30:11Z,2021-03-18T21:30:11Z,25.880278,4426,3,19,7,26,2,0,2,0,1,NO_REVIEW,no_review,,,no,dependabot,2021-03-18T21:30:10Z,2157,10,95,0.050000
coder,code-server,coder/code-server,1779,https://github.com/coder/code-server/pull/1779,Add --enable-proposed-api flag to cli.ts to fix issue with extensions failing,CLOSED,2020-06-06T21:04:04Z,2020-08-25T23:00:54Z,2020-08-25T23:00:54Z,1921.947222,25,1,2,0,2,6,0,6,0,1,NO_REVIEW,no_review,,,no,aderk,,2157,10,95,0.050000
coder,code-server,coder/code-server,363,https://github.com/coder/code-server/pull/363,Handle disconnects,MERGED,2019-03-27T21:33:38Z,2019-03-28T22:59:53Z,2019-03-28T22:59:53Z,25.437500,581,11,219,30,249,0,0,0,4,2,COMMENTED,neutral,CHANGES_REQUESTED|COMMENTED|COMMENTED|COMMENTED,lsmoura|lsmoura|code-asher|code-asher,yes,code-asher,2019-03-28T22:59:50Z,2157,10,95,0.050000
