owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
d3,d3,d3/d3,3776,https://github.com/d3/d3/pull/3776,"restructure README, redirect API",MERGED,2023-10-06T15:44:33Z,2023-10-06T16:59:54Z,2023-10-06T16:59:54Z,1.255833,5,3,3,1537,1540,0,0,0,1,2,APPROVED,positive,APPROVED,mbostock,yes,Fil,2023-10-06T16:59:53Z,1211,10,95,0.050000
d3,d3,d3/d3,3296,https://github.com/d3/d3/pull/3296,Set missing links for d3-contour,MERGED,2018-05-03T08:42:46Z,2018-05-03T13:18:18Z,2018-05-03T13:18:18Z,4.592222,26,1,11,10,21,0,0,0,0,1,NO_REVIEW,no_review,,,no,denisname,2018-05-03T13:18:18Z,1211,10,95,0.050000
d3,d3,d3/d3,1855,https://github.com/d3/d3/pull/1855,"Remove all listeners with selection.on(""*"", null).",CLOSED,2014-04-23T09:15:54Z,2017-09-13T20:27:14Z,2017-09-13T20:27:14Z,29747.188889,233,4,49,24,73,7,0,7,0,1,NO_REVIEW,no_review,,,no,jasondavies,,1211,10,95,0.050000
d3,d3,d3/d3,802,https://github.com/d3/d3/pull/802,method to set the global frame function,CLOSED,2012-09-07T15:32:29Z,2016-10-20T17:53:30Z,2016-10-20T17:53:30Z,36098.350278,0,1,5,0,5,7,0,7,0,1,NO_REVIEW,no_review,,,no,javisantana,,1211,10,95,0.050000
d3,d3,d3/d3,2548,https://github.com/d3/d3/pull/2548,Fix drag behavior on for <svg:use> elements,MERGED,2015-09-09T10:45:29Z,2016-05-02T20:27:28Z,2016-05-02T20:27:28Z,5673.699722,827,3,7,7,14,11,0,11,0,1,NO_REVIEW,no_review,,,no,stefwalter,2016-02-11T20:03:20Z,1211,10,95,0.050000
d3,d3,d3/d3,1866,https://github.com/d3/d3/pull/1866,d3.shuffle a subset of an array and tests for d3.shuffle.,CLOSED,2014-05-10T16:41:41Z,2014-11-15T22:36:05Z,2014-11-15T22:36:05Z,4541.906667,324,4,49,7,56,2,0,2,0,1,NO_REVIEW,no_review,,,no,PrajitR,,1211,10,95,0.050000
d3,d3,d3/d3,365,https://github.com/d3/d3/pull/365,Fix minor bug in exponent notation interpolation.,CLOSED,2011-11-04T22:04:06Z,2014-07-16T22:58:45Z,2014-07-16T22:58:45Z,23640.910833,34,4,8,4,12,2,0,2,0,1,NO_REVIEW,no_review,,,no,jasondavies,,1211,10,95,0.050000
d3,d3,d3/d3,781,https://github.com/d3/d3/pull/781,"Fix use of ""dx"" in ""tree"" example.",CLOSED,2012-08-20T21:27:59Z,2014-07-16T22:57:28Z,2014-07-16T22:57:28Z,16681.491389,9,1,1,2,3,1,0,1,0,1,NO_REVIEW,no_review,,,no,jasondavies,,1211,10,95,0.050000
d3,d3,d3/d3,983,https://github.com/d3/d3/pull/983,Fix d3.geo.circle.origin.,MERGED,2012-12-29T13:09:30Z,2014-07-16T22:56:48Z,2014-07-16T22:56:48Z,13545.788333,169,4,8,3,11,0,0,0,0,1,NO_REVIEW,no_review,,,no,jasondavies,2013-01-01T23:53:30Z,1211,10,95,0.050000
d3,d3,d3/d3,1189,https://github.com/d3/d3/pull/1189,Optimize tick function in Force layout,CLOSED,2013-04-11T04:35:55Z,2014-07-16T22:56:04Z,2014-07-16T22:56:04Z,11082.335833,373,1,7,0,7,1,0,1,0,1,NO_REVIEW,no_review,,,no,raganesh,,1211,10,95,0.050000
