owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
daytonaio,daytona,daytonaio/daytona,4449,https://github.com/daytonaio/daytona/pull/4449,fix(proxy): preserve raw encoded preview path across proxy hops,MERGED,2026-04-14T10:58:26Z,2026-04-17T10:58:10Z,2026-04-17T10:58:10Z,71.995556,1924,6,215,6,221,3,0,3,7,5,APPROVED,positive,COMMENTED|COMMENTED|COMMENTED|CHANGES_REQUESTED|COMMENTED|APPROVED|APPROVED,claude|cubic-dev-ai|cubic-dev-ai|MDzaja|radisicc|MDzaja|Tpuljak,yes,radisicc,2026-04-17T10:58:10Z,3413,10,95,0.050000
daytonaio,daytona,daytonaio/daytona,4470,https://github.com/daytonaio/daytona/pull/4470,feat(docs): add OpenAI guides,MERGED,2026-04-15T22:56:05Z,2026-04-16T08:59:02Z,2026-04-16T08:59:02Z,10.049167,134,5,816,0,816,2,0,2,5,4,APPROVED,positive,COMMENTED|COMMENTED|COMMENTED|APPROVED|APPROVED,cubic-dev-ai|rovle|rovle|stefanicjuraj|mislavivanda,yes,rovle,2026-04-16T08:59:00Z,3413,10,95,0.050000
daytonaio,daytona,daytonaio/daytona,4411,https://github.com/daytonaio/daytona/pull/4411,chore: rename dependecies from @daytonaio to @daytona,MERGED,2026-04-09T15:16:19Z,2026-04-13T11:54:42Z,2026-04-13T11:54:42Z,92.639722,1692,30,691,674,1365,1,0,1,4,5,APPROVED,positive,COMMENTED|COMMENTED|APPROVED|APPROVED,cubic-dev-ai|copilot-pull-request-reviewer|mislavivanda|Tpuljak,yes,MDzaja,2026-04-13T11:54:40Z,3413,10,95,0.050000
daytonaio,daytona,daytonaio/daytona,3994,https://github.com/daytonaio/daytona/pull/3994,fix(dashboard): webhooks misc,MERGED,2026-03-03T11:35:39Z,2026-03-04T09:57:54Z,2026-03-04T09:57:54Z,22.370833,175,3,15,9,24,0,0,0,2,3,APPROVED,positive,APPROVED|APPROVED,stefanicjuraj|Tpuljak,yes,rpavlini,2026-03-04T09:57:51Z,3413,10,95,0.050000
daytonaio,daytona,daytonaio/daytona,3929,https://github.com/daytonaio/daytona/pull/3929,feat(sdk-rust): add Rust SDK for Daytona,OPEN,2026-02-25T22:09:56Z,2026-02-26T02:04:35Z,2026-02-26T02:04:35Z,3.910833,775,31,6403,6,6409,0,0,0,0,1,NO_REVIEW,no_review,,,no,natmart,,3413,10,95,0.050000
daytonaio,daytona,daytonaio/daytona,3471,https://github.com/daytonaio/daytona/pull/3471,refactor(docs): update sandboxes,MERGED,2026-01-23T14:34:17Z,2026-02-20T08:23:27Z,2026-02-20T08:23:27Z,665.819444,100,1,971,542,1513,1,0,1,9,4,APPROVED,positive,CHANGES_REQUESTED|CHANGES_REQUESTED|CHANGES_REQUESTED|COMMENTED|CHANGES_REQUESTED|DISMISSED|DISMISSED|APPROVED|APPROVED,Tpuljak|Tpuljak|Tpuljak|stefanicjuraj|Tpuljak|Tpuljak|MDzaja|MDzaja|brunogrbavac,yes,stefanicjuraj,2026-02-20T08:23:25Z,3413,10,95,0.050000
daytonaio,daytona,daytonaio/daytona,2651,https://github.com/daytonaio/daytona/pull/2651,"feat(api, runner): add runner metrics cpu load",CLOSED,2025-10-14T12:36:14Z,2026-01-14T16:05:15Z,2026-01-14T16:05:15Z,2211.483611,1950,29,769,290,1059,1,0,1,0,1,NO_REVIEW,no_review,,,no,lbrecic,,3413,10,95,0.050000
daytonaio,daytona,daytonaio/daytona,3211,https://github.com/daytonaio/daytona/pull/3211,[ci] translation,CLOSED,2025-12-16T10:34:44Z,2026-01-07T11:03:32Z,2026-01-07T11:03:32Z,528.480000,562,83,15254,7930,23184,0,0,0,0,1,NO_REVIEW,no_review,,,no,github-actions,,3413,10,95,0.050000
daytonaio,daytona,daytonaio/daytona,2185,https://github.com/daytonaio/daytona/pull/2185,feat(api): add runner adapter and sandbox actions,MERGED,2025-07-22T13:39:24Z,2025-07-25T13:52:49Z,2025-07-25T13:52:49Z,72.223611,384,44,3380,3088,6468,0,0,0,10,5,APPROVED,positive,DISMISSED|CHANGES_REQUESTED|DISMISSED|DISMISSED|CHANGES_REQUESTED|CHANGES_REQUESTED|CHANGES_REQUESTED|APPROVED|APPROVED|APPROVED,MDzaja|idagelic|fabjanvucina|MDzaja|Tpuljak|Tpuljak|Tpuljak|Tpuljak|fabjanvucina|idagelic,yes,lbrecic,2025-07-25T13:52:47Z,3413,10,95,0.050000
daytonaio,daytona,daytonaio/daytona,1231,https://github.com/daytonaio/daytona/pull/1231,feat: accept git provider aliases flag and make them unique,MERGED,2024-10-10T19:41:08Z,2024-10-11T10:51:12Z,2024-10-11T10:51:12Z,15.167778,639,13,140,62,202,0,0,0,4,4,APPROVED,positive,APPROVED|CHANGES_REQUESTED|APPROVED|APPROVED,DONRICHIES|Tpuljak|lbrecic|Tpuljak,yes,idagelic,2024-10-11T10:51:10Z,3413,10,95,0.050000
