owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
deepseek-ai,DeepSeek-V3,deepseek-ai/DeepSeek-V3,717,https://github.com/deepseek-ai/DeepSeek-V3/pull/717,"Critical Improvements for Model Correctness, Efficiency, and Robustness",OPEN,2025-02-25T16:08:19Z,2026-02-20T16:44:49Z,2026-02-20T16:44:49Z,8640.608333,347,1,69,123,192,1,0,1,6,2,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,abdurrahman-webdev|a-holm|a-holm|a-holm|a-holm|a-holm,yes,abdurrahman-webdev,,192,10,95,0.050000
deepseek-ai,DeepSeek-V3,deepseek-ai/DeepSeek-V3,612,https://github.com/deepseek-ai/DeepSeek-V3/pull/612,Update kernel.py,OPEN,2025-02-08T08:15:26Z,2025-08-28T03:24:40Z,2025-08-28T03:24:40Z,4819.153889,52,1,28,4,32,0,0,0,1,2,APPROVED,positive,APPROVED,CloneOfAlex,yes,Jasonmessage,,192,10,95,0.050000
deepseek-ai,DeepSeek-V3,deepseek-ai/DeepSeek-V3,865,https://github.com/deepseek-ai/DeepSeek-V3/pull/865,Update kernel.py,OPEN,2025-05-10T01:17:04Z,2025-08-28T03:24:39Z,2025-08-28T03:24:39Z,2642.126389,65,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,arupm23,,192,10,95,0.050000
deepseek-ai,DeepSeek-V3,deepseek-ai/DeepSeek-V3,786,https://github.com/deepseek-ai/DeepSeek-V3/pull/786,DeepSeek Commit,CLOSED,2025-03-20T15:37:58Z,2025-03-20T15:50:38Z,2025-03-20T15:50:38Z,0.211111,0,1,5,0,5,0,0,0,1,1,COMMENTED,neutral,COMMENTED,gendyvip,yes,gendyvip,,192,10,95,0.050000
deepseek-ai,DeepSeek-V3,deepseek-ai/DeepSeek-V3,440,https://github.com/deepseek-ai/DeepSeek-V3/pull/440,Add syntax highlighting to requirements code block,MERGED,2025-01-28T23:09:21Z,2025-02-11T21:16:20Z,2025-02-11T21:16:20Z,334.116389,149,1,1,1,2,0,0,0,0,1,NO_REVIEW,no_review,,,no,spenserblack,2025-02-05T08:50:03Z,192,10,95,0.050000
deepseek-ai,DeepSeek-V3,deepseek-ai/DeepSeek-V3,447,https://github.com/deepseek-ai/DeepSeek-V3/pull/447,Added various error handlers and Issue templates.,CLOSED,2025-01-29T07:33:44Z,2025-02-06T07:53:49Z,2025-02-06T07:53:49Z,192.334722,356,17,831,249,1080,3,0,3,0,1,NO_REVIEW,no_review,,,no,ankurhalder,,192,10,95,0.050000
deepseek-ai,DeepSeek-V3,deepseek-ai/DeepSeek-V3,434,https://github.com/deepseek-ai/DeepSeek-V3/pull/434,OCD level minor fix for consistent capitalization of term MTP,CLOSED,2025-01-28T20:07:33Z,2025-02-06T07:46:31Z,2025-02-06T07:46:31Z,203.649444,53,1,1,1,2,2,0,2,0,1,NO_REVIEW,no_review,,,no,peti562,,192,10,95,0.050000
deepseek-ai,DeepSeek-V3,deepseek-ai/DeepSeek-V3,506,https://github.com/deepseek-ai/DeepSeek-V3/pull/506,Create generator-generic-ossf-slsa3-publish.yml,CLOSED,2025-01-31T13:27:42Z,2025-02-05T08:34:09Z,2025-02-05T08:34:09Z,115.107500,90,1,87,0,87,0,0,0,0,1,NO_REVIEW,no_review,,,no,Watemlifts,,192,10,95,0.050000
deepseek-ai,DeepSeek-V3,deepseek-ai/DeepSeek-V3,392,https://github.com/deepseek-ai/DeepSeek-V3/pull/392,Update CITATION.cff,CLOSED,2025-01-28T04:13:31Z,2025-01-28T04:20:17Z,2025-01-28T04:20:17Z,0.112778,0,1,4,1,5,0,0,0,0,1,NO_REVIEW,no_review,,,no,w22035,,192,10,95,0.050000
deepseek-ai,DeepSeek-V3,deepseek-ai/DeepSeek-V3,225,https://github.com/deepseek-ai/DeepSeek-V3/pull/225,Create azure-webapps-python.yml,CLOSED,2025-01-04T15:11:24Z,2025-01-07T06:03:26Z,2025-01-07T06:03:26Z,62.867222,2,1,86,0,86,1,0,1,0,1,NO_REVIEW,no_review,,,no,shhmfa,,192,10,95,0.050000
