owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
donnemartin,system-design-primer,donnemartin/system-design-primer,572,https://github.com/donnemartin/system-design-primer/pull/572,Use WaybackMachine link to removed dyn.com DDoS article,closed,2021-09-15T01:09:39Z,2026-04-18T16:44:12Z,2026-04-18T16:44:12Z,40239.575833,59,4,4,4,8,1,0,1,0,1,NO_REVIEW,no_review,,,no,bsolomon1124,,648,242,95,0.050000
donnemartin,system-design-primer,donnemartin/system-design-primer,1247,https://github.com/donnemartin/system-design-primer/pull/1247,update link for nignx arch and add load balancing article.,open,2026-04-14T03:42:06Z,2026-04-14T03:42:06Z,2026-04-14T03:42:06Z,0.000000,180,1,2,1,3,0,0,0,0,1,NO_REVIEW,no_review,,,no,draxBlob27,,648,242,95,0.050000
donnemartin,system-design-primer,donnemartin/system-design-primer,1243,https://github.com/donnemartin/system-design-primer/pull/1243,Add Spanish translation of the System Design Primer,open,2026-04-08T01:52:18Z,2026-04-08T01:52:18Z,2026-04-08T01:52:18Z,0.000000,801,1,143,0,143,0,0,0,0,1,NO_REVIEW,no_review,,,no,configurowebmax,,648,242,95,0.050000
donnemartin,system-design-primer,donnemartin/system-design-primer,1233,https://github.com/donnemartin/system-design-primer/pull/1233,Fix Anki deck links to use direct raw downloads,open,2026-04-04T18:35:19Z,2026-04-07T12:50:05Z,2026-04-07T12:50:05Z,66.246111,484,1,5,3,8,0,0,0,1,2,APPROVED,positive,APPROVED,dnyze01-sudo,yes,rotempasharel1,,648,242,95,0.050000
donnemartin,system-design-primer,donnemartin/system-design-primer,1232,https://github.com/donnemartin/system-design-primer/pull/1232,fixed critical bugs,open,2026-04-04T09:42:48Z,2026-04-04T10:19:57Z,2026-04-04T10:19:57Z,0.619167,3840,27,3136,230,3366,0,0,0,1,1,COMMENTED,neutral,COMMENTED,Tanveerdaha,yes,Tanveerdaha,,648,242,95,0.050000
donnemartin,system-design-primer,donnemartin/system-design-primer,1227,https://github.com/donnemartin/system-design-primer/pull/1227,Add Georgian translation,open,2026-04-02T16:51:37Z,2026-04-02T16:51:37Z,2026-04-02T16:51:37Z,0.000000,326,1,37,0,37,0,0,0,0,1,NO_REVIEW,no_review,,,no,717986230,,648,242,95,0.050000
donnemartin,system-design-primer,donnemartin/system-design-primer,1173,https://github.com/donnemartin/system-design-primer/pull/1173,fix: typo - scale aws ,open,2025-12-02T23:15:06Z,2026-03-23T16:34:52Z,2026-03-23T16:34:52Z,2657.329444,28,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,sunnykrGupta,,648,242,95,0.050000
donnemartin,system-design-primer,donnemartin/system-design-primer,1218,https://github.com/donnemartin/system-design-primer/pull/1218,Convert system-design-primer to website,open,2026-03-22T19:54:23Z,2026-03-22T20:16:54Z,2026-03-22T20:16:54Z,0.375278,277,137,20468,0,20468,0,0,0,0,1,NO_REVIEW,no_review,,,no,mayankjain25,,648,242,95,0.050000
donnemartin,system-design-primer,donnemartin/system-design-primer,1205,https://github.com/donnemartin/system-design-primer/pull/1205,ko: Add Korean translation (README-ko.md),open,2026-03-05T05:50:12Z,2026-03-20T01:55:14Z,2026-03-20T01:55:14Z,356.083889,356,1,1837,0,1837,0,0,0,0,1,NO_REVIEW,no_review,,,no,hahmee,,648,242,95,0.050000
donnemartin,system-design-primer,donnemartin/system-design-primer,1194,https://github.com/donnemartin/system-design-primer/pull/1194,ka: Add Georgian (ქართული) Translation,open,2026-01-29T10:40:29Z,2026-03-20T01:55:12Z,2026-03-20T01:55:12Z,1191.245278,199,2,1840,1,1841,1,0,1,0,1,NO_REVIEW,no_review,,,no,llukito,,648,242,95,0.050000
