owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
doocs,advanced-java,doocs/advanced-java,327,https://github.com/doocs/advanced-java/pull/327,merge,CLOSED,2025-11-10T13:23:23Z,2025-11-10T13:24:00Z,2025-11-10T13:24:00Z,0.010278,0,2,1499,0,1499,0,0,0,0,1,NO_REVIEW,no_review,,,no,312268112,,137,10,95,0.050000
doocs,advanced-java,doocs/advanced-java,316,https://github.com/doocs/advanced-java/pull/316,chore(deps-dev): bump prismjs from 1.29.0 to 1.30.0,CLOSED,2025-03-10T22:25:04Z,2025-03-17T06:53:46Z,2025-03-17T06:53:46Z,152.478333,2295,1,4,3,7,2,0,2,1,2,COMMENTED,neutral,COMMENTED,petercat-assistant,yes,dependabot,,137,10,95,0.050000
doocs,advanced-java,doocs/advanced-java,223,https://github.com/doocs/advanced-java/pull/223,add knowledge about redis-rehash,MERGED,2021-04-08T13:17:23Z,2021-04-09T07:40:55Z,2021-04-09T07:40:55Z,18.392222,12,3,45,0,45,3,0,3,1,2,APPROVED,positive,APPROVED,yanglbme,yes,tgpcai,2021-04-09T07:36:57Z,137,10,95,0.050000
doocs,advanced-java,doocs/advanced-java,170,https://github.com/doocs/advanced-java/pull/170,Merge pull request #1 from doocs/master,CLOSED,2020-05-23T12:15:18Z,2020-05-23T12:15:36Z,2020-05-23T12:15:36Z,0.005000,2,0,0,0,0,0,0,0,0,1,NO_REVIEW,no_review,,,no,keepon-online,,137,10,95,0.050000
doocs,advanced-java,doocs/advanced-java,163,https://github.com/doocs/advanced-java/pull/163,"redis不能使用setnx和expire来实现分布式锁,应使用set命令及其nx,ex和px选项来实现",MERGED,2020-04-29T18:35:35Z,2020-04-30T01:06:20Z,2020-04-30T01:06:20Z,6.512500,52,2,9,9,18,0,0,0,1,2,APPROVED,positive,APPROVED,yanglbme,yes,ZhenghaeHo,2020-04-30T01:06:20Z,137,10,95,0.050000
doocs,advanced-java,doocs/advanced-java,154,https://github.com/doocs/advanced-java/pull/154,[ImgBot] Optimize images,MERGED,2020-03-20T01:28:30Z,2020-03-20T01:39:29Z,2020-03-20T01:39:29Z,0.183056,1488,16,0,0,0,0,0,0,0,1,NO_REVIEW,no_review,,,no,imgbot,2020-03-20T01:38:55Z,137,10,95,0.050000
doocs,advanced-java,doocs/advanced-java,146,https://github.com/doocs/advanced-java/pull/146,docs: update wrong character,MERGED,2020-02-01T14:38:53Z,2020-02-02T02:47:40Z,2020-02-02T02:47:40Z,12.146389,0,1,1,1,2,0,0,0,1,2,APPROVED,positive,APPROVED,yanglbme,yes,DoyuTu,2020-02-02T02:47:40Z,137,10,95,0.050000
doocs,advanced-java,doocs/advanced-java,120,https://github.com/doocs/advanced-java/pull/120,micro service,MERGED,2019-11-08T11:21:25Z,2019-11-12T02:55:05Z,2019-11-12T02:55:05Z,87.561111,55,3,644,3,647,0,0,0,1,2,APPROVED,positive,APPROVED,yanglbme,yes,huifer,2019-11-12T02:55:05Z,137,10,95,0.050000
doocs,advanced-java,doocs/advanced-java,31,https://github.com/doocs/advanced-java/pull/31,Update database-shard-global-id-generate.md,CLOSED,2019-01-21T08:02:52Z,2019-01-21T08:35:07Z,2019-01-21T08:35:07Z,0.537500,0,1,4,1,5,0,0,0,1,2,COMMENTED,neutral,COMMENTED,yanglbme,yes,hong1yuan,,137,10,95,0.050000
doocs,advanced-java,doocs/advanced-java,29,https://github.com/doocs/advanced-java/pull/29,[ImgBot] Optimize images,MERGED,2019-01-17T15:07:22Z,2019-01-17T15:08:11Z,2019-01-17T15:08:11Z,0.013611,335,2,0,0,0,0,0,0,1,2,APPROVED,positive,APPROVED,yanglbme,yes,imgbot,2019-01-17T15:08:07Z,137,10,95,0.050000
