owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
excalidraw,excalidraw,excalidraw/excalidraw,11258,https://github.com/excalidraw/excalidraw/pull/11258,fix: Fractional index validation,MERGED,2026-04-29T12:36:29Z,2026-05-04T09:37:21Z,2026-05-04T09:37:21Z,117.014444,179,18,508,17,525,3,0,3,1,2,APPROVED,positive,APPROVED,dwelle,yes,mtolmacs,2026-05-04T09:37:18Z,5950,10,95,0.050000
excalidraw,excalidraw,excalidraw/excalidraw,9519,https://github.com/excalidraw/excalidraw/pull/9519,feat: allow forms.microsoft.com domain for embeddables,MERGED,2025-05-13T16:56:44Z,2025-05-13T17:48:28Z,2025-05-13T17:48:28Z,0.862222,447,1,8,0,8,2,0,2,3,3,APPROVED,positive,COMMENTED|COMMENTED|APPROVED,github-advanced-security|zsviczian|dwelle,yes,zsviczian,2025-05-13T17:48:26Z,5950,10,95,0.050000
excalidraw,excalidraw,excalidraw/excalidraw,5808,https://github.com/excalidraw/excalidraw/pull/5808,fix: copy/paste not working on Safari - reintroduce to context menu,OPEN,2022-11-01T09:41:34Z,2022-12-11T18:04:38Z,2022-12-11T18:04:38Z,968.384444,1034,1,11,6,17,3,0,3,0,1,NO_REVIEW,no_review,,,no,zsviczian,,5950,10,95,0.050000
excalidraw,excalidraw,excalidraw/excalidraw,5289,https://github.com/excalidraw/excalidraw/pull/5289,[Not For Merge]: Make text labels for `ButtonSelect`s follow the icon style.,CLOSED,2022-06-11T00:45:24Z,2022-11-11T23:06:26Z,2022-11-11T23:06:26Z,3694.350556,162,3,8,1,9,2,0,2,0,1,NO_REVIEW,no_review,,,no,DanielJGeiger,,5950,10,95,0.050000
excalidraw,excalidraw,excalidraw/excalidraw,5354,https://github.com/excalidraw/excalidraw/pull/5354,chore(deps-dev): bump sass-loader from 12.4.0 to 13.0.1 in /src/packages/excalidraw,CLOSED,2022-06-26T01:30:48Z,2022-07-03T01:47:03Z,2022-07-03T01:47:03Z,168.270833,3604,2,5,5,10,2,0,2,0,1,NO_REVIEW,no_review,,,no,dependabot,,5950,10,95,0.050000
excalidraw,excalidraw,excalidraw/excalidraw,5017,https://github.com/excalidraw/excalidraw/pull/5017,fix: export serializeLibraryAsJSON in the excalidraw package,MERGED,2022-04-05T21:24:48Z,2022-04-07T07:05:45Z,2022-04-07T07:05:45Z,33.682500,27,1,1,0,1,1,0,1,1,2,APPROVED,positive,APPROVED,ad1992,yes,pomdtr,2022-04-07T07:05:44Z,5950,10,95,0.050000
excalidraw,excalidraw,excalidraw/excalidraw,4297,https://github.com/excalidraw/excalidraw/pull/4297,chore(deps): bump @types/react from 17.0.34 to 17.0.35,MERGED,2021-11-21T01:30:33Z,2021-11-24T13:39:33Z,2021-11-24T13:39:33Z,84.150000,1406,2,5,5,10,1,0,1,1,2,APPROVED,positive,APPROVED,lipis,yes,dependabot,2021-11-24T13:39:32Z,5950,10,95,0.050000
excalidraw,excalidraw,excalidraw/excalidraw,3434,https://github.com/excalidraw/excalidraw/pull/3434,chore(deps-dev): bump @babel/plugin-transform-runtime from 7.13.10 to 7.13.15 in /src/packages/utils,MERGED,2021-04-11T01:03:21Z,2021-04-20T10:25:15Z,2021-04-20T10:25:15Z,225.365000,5036,1,10,55,65,1,0,1,0,1,NO_REVIEW,no_review,,,no,dependabot,2021-04-20T10:25:14Z,5950,10,95,0.050000
excalidraw,excalidraw,excalidraw/excalidraw,562,https://github.com/excalidraw/excalidraw/pull/562,Do not trigger modal actions when not visible,MERGED,2020-01-25T22:10:33Z,2020-01-25T22:11:28Z,2020-01-25T22:11:28Z,0.015278,490,1,122,94,216,1,0,1,0,1,NO_REVIEW,no_review,,,no,vjeux,2020-01-25T22:11:27Z,5950,10,95,0.050000
excalidraw,excalidraw,excalidraw/excalidraw,322,https://github.com/excalidraw/excalidraw/pull/322,Remove Delete from panel,MERGED,2020-01-12T00:11:09Z,2020-01-12T00:11:55Z,2020-01-12T00:11:55Z,0.012778,53,1,1,5,6,1,0,1,0,1,NO_REVIEW,no_review,,,no,vjeux,2020-01-12T00:11:21Z,5950,10,95,0.050000
