owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
expressjs,express,expressjs/express,7130,https://github.com/expressjs/express/pull/7130,fix: handle BigInt status codes in res.status() and res.sendStatus(),OPEN,2026-03-26T08:01:02Z,2026-03-26T08:21:39Z,2026-03-26T08:21:39Z,0.343611,806,3,29,0,29,0,0,0,0,1,NO_REVIEW,no_review,,,no,JivinSardine,,2449,10,95,0.050000
expressjs,express,expressjs/express,6640,https://github.com/expressjs/express/pull/6640,Update Readme.md,CLOSED,2025-07-15T09:40:47Z,2025-07-15T10:00:06Z,2025-07-15T10:00:06Z,0.321944,0,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,abukashem05,,2449,10,95,0.050000
expressjs,express,expressjs/express,4885,https://github.com/expressjs/express/pull/4885,Extend res.links() to allow adding multiple links with the same rel #2729,MERGED,2022-04-07T17:39:01Z,2025-02-14T16:20:53Z,2025-02-14T16:20:53Z,25054.697778,103,3,34,4,38,8,0,8,2,3,APPROVED,positive,APPROVED|APPROVED,bjohansebas|ctcpip,yes,andvea,2025-02-14T16:20:53Z,2449,10,95,0.050000
expressjs,express,expressjs/express,5233,https://github.com/expressjs/express/pull/5233,tests: use cb() instead of done(),MERGED,2023-07-27T09:40:01Z,2024-02-19T14:52:29Z,2024-02-19T14:52:29Z,4973.207778,322,3,5,5,10,0,0,0,1,2,APPROVED,positive,APPROVED,wesleytodd,yes,kristof-low,2024-02-19T14:52:29Z,2449,10,95,0.050000
expressjs,express,expressjs/express,5153,https://github.com/expressjs/express/pull/5153,updated,CLOSED,2023-03-19T18:37:13Z,2023-03-19T18:38:16Z,2023-03-19T18:38:16Z,0.017500,0,1,0,209,209,0,0,0,0,1,NO_REVIEW,no_review,,,no,Abinashkhuntia,,2449,10,95,0.050000
expressjs,express,expressjs/express,5092,https://github.com/expressjs/express/pull/5092,remove unnessarry lines,CLOSED,2023-01-12T15:34:29Z,2023-01-12T15:38:09Z,2023-01-12T15:38:09Z,0.061111,0,1,0,2,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,ChewSW28,,2449,10,95,0.050000
expressjs,express,expressjs/express,2881,https://github.com/expressjs/express/pull/2881,Add branch information and steps for contributing to Contributing.md,CLOSED,2016-02-08T13:55:20Z,2016-02-11T11:31:53Z,2016-02-11T11:31:53Z,69.609167,27,2,13,0,13,7,0,7,0,1,NO_REVIEW,no_review,,,no,sjanuary,,2449,10,95,0.050000
expressjs,express,expressjs/express,2602,https://github.com/expressjs/express/pull/2602,response.js: use statusCodes short cut instead of http.STATUS_CODES,CLOSED,2015-03-23T11:36:40Z,2015-06-21T04:30:24Z,2015-06-21T04:30:24Z,2152.895556,239,1,2,2,4,1,0,1,0,1,NO_REVIEW,no_review,,,no,tcort,,2449,10,95,0.050000
expressjs,express,expressjs/express,2300,https://github.com/expressjs/express/pull/2300,#sendFile callback not invoked when request aborted,CLOSED,2014-08-15T09:54:05Z,2014-08-17T07:26:45Z,2014-08-17T07:26:45Z,45.544444,1888,2,64,16,80,39,0,39,0,1,NO_REVIEW,no_review,,,no,manuelstofer,,2449,10,95,0.050000
expressjs,express,expressjs/express,1764,https://github.com/expressjs/express/pull/1764,Integrate XRegExp named capture groups,CLOSED,2013-09-24T19:01:07Z,2014-07-29T04:18:20Z,2014-07-29T04:18:20Z,7377.286944,73,1,7,2,9,2,0,2,0,1,NO_REVIEW,no_review,,,no,missyyyyyyy,,2449,10,95,0.050000
