owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
f,prompts.chat,f/prompts.chat,1109,https://github.com/f/prompts.chat/pull/1109,fix: pin 4 Docker actions to commit SHA in publish workflow,OPEN,2026-03-28T16:05:23Z,2026-04-02T11:18:16Z,2026-04-02T11:18:16Z,115.214722,871,1,4,4,8,1,0,1,0,1,NO_REVIEW,no_review,,,no,dagecko,,870,10,95,0.050000
f,prompts.chat,f/prompts.chat,986,https://github.com/f/prompts.chat/pull/986,feat: Add Docker support for easy self-hosting,CLOSED,2025-12-31T14:57:22Z,2026-01-11T19:22:02Z,2026-01-11T19:22:02Z,268.411111,1785,11,426,1,427,6,0,6,4,2,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED,f|erdembas|f|erdembas,yes,erdembas,,870,10,95,0.050000
f,prompts.chat,f/prompts.chat,282,https://github.com/f/prompts.chat/pull/282,Update prompts.csv,CLOSED,2023-01-21T18:01:01Z,2025-12-13T15:53:45Z,2025-12-13T15:53:45Z,25365.878889,231,1,1,0,1,0,0,0,0,1,NO_REVIEW,no_review,,,no,haldirleao,,870,10,95,0.050000
f,prompts.chat,f/prompts.chat,394,https://github.com/f/prompts.chat/pull/394,Act as an otaku,CLOSED,2023-02-14T04:16:22Z,2025-12-13T15:53:16Z,2025-12-13T15:53:16Z,24803.615000,671,2,5,0,5,0,0,0,0,1,NO_REVIEW,no_review,,,no,Elprea,,870,10,95,0.050000
f,prompts.chat,f/prompts.chat,875,https://github.com/f/prompts.chat/pull/875,feat(prompts): add conventional commit message generator prompt,MERGED,2025-05-29T21:43:26Z,2025-06-06T08:03:51Z,2025-06-06T08:03:51Z,178.340278,1361,2,16,0,16,1,0,1,2,3,APPROVED,positive,APPROVED|APPROVED,andrzejsydor|f,yes,jeff-nasseri,2025-06-05T23:13:21Z,870,10,95,0.050000
f,prompts.chat,f/prompts.chat,858,https://github.com/f/prompts.chat/pull/858,Add 'Skincare Expert' prompt for personalized skincare routine recommendations.,CLOSED,2025-04-28T10:51:56Z,2025-05-19T11:47:03Z,2025-05-19T11:47:03Z,504.918611,685,0,0,0,0,0,0,0,2,3,APPROVED,positive,APPROVED|APPROVED,f|andrzejsydor,yes,iCocoa,,870,10,95,0.050000
f,prompts.chat,f/prompts.chat,779,https://github.com/f/prompts.chat/pull/779,"feat: Add ""Act as a Career Coach""",CLOSED,2024-12-15T21:54:24Z,2025-01-05T22:02:09Z,2025-01-05T22:02:09Z,504.129167,884,2,5,0,5,7,0,7,1,2,APPROVED,positive,APPROVED,andrzejsydor,yes,adnan-kutay-yuksel,,870,10,95,0.050000
f,prompts.chat,f/prompts.chat,757,https://github.com/f/prompts.chat/pull/757,Restaurant Owner,MERGED,2024-07-18T00:09:25Z,2024-08-30T23:46:56Z,2024-08-30T23:46:56Z,1055.625278,867,2,7,1,8,2,0,2,1,2,APPROVED,positive,APPROVED,f,yes,buimatt,2024-07-27T20:50:14Z,870,10,95,0.050000
f,prompts.chat,f/prompts.chat,468,https://github.com/f/prompts.chat/pull/468,add new role:  SD Prompts Helper,CLOSED,2023-03-03T04:51:56Z,2023-03-03T06:27:41Z,2023-03-03T06:27:41Z,1.595833,925,1,2,1,3,0,0,0,0,1,NO_REVIEW,no_review,,,no,maxwilliamdev,,870,10,95,0.050000
f,prompts.chat,f/prompts.chat,97,https://github.com/f/prompts.chat/pull/97,Time Travel Guide,MERGED,2022-12-15T00:56:32Z,2022-12-15T07:15:43Z,2022-12-15T07:15:43Z,6.319722,625,2,7,0,7,0,0,0,0,1,NO_REVIEW,no_review,,,no,developer-acc,2022-12-15T07:15:43Z,870,10,95,0.050000
