owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
facebook,react,facebook/react,36272,https://github.com/facebook/react/pull/36272,Fix typo: 'Recieved' -> 'Received' in test helpers,closed,2026-04-15T07:28:18Z,2026-04-22T16:04:44Z,2026-04-22T16:04:44Z,176.607222,441,2,2,2,4,3,0,3,0,1,NO_REVIEW,no_review,,,no,MukundaKatta,,19277,300,95,0.050000
facebook,react,facebook/react,36170,https://github.com/facebook/react/pull/36170,docs: fix typos and improve abbreviation usage in DESIGN_GOALS.md,closed,2026-03-30T16:33:13Z,2026-03-31T03:52:38Z,2026-03-31T03:52:38Z,11.323611,1965,1,3,3,6,4,0,4,0,1,NO_REVIEW,no_review,,,no,alideniztartma,2026-03-30T23:25:51Z,19277,300,95,0.050000
facebook,react,facebook/react,36000,https://github.com/facebook/react/pull/36000,Fix clearTimeout using wrong property name in attribute-behavior fixture,closed,2026-03-11T00:28:29Z,2026-03-11T12:52:07Z,2026-03-11T12:52:07Z,12.393889,436,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,ishaquehassan,,19277,300,95,0.050000
facebook,react,facebook/react,35835,https://github.com/facebook/react/pull/35835,[compiler] Add fault tolerance test fixtures,closed,2026-02-20T21:55:48Z,2026-02-21T03:33:36Z,2026-02-21T03:33:36Z,5.630000,280,92,2138,536,2674,0,0,0,0,1,NO_REVIEW,no_review,,,no,josephsavona,,19277,300,95,0.050000
facebook,react,facebook/react,35756,https://github.com/facebook/react/pull/35756,compiler: fix interleaved hook chained-call memoization,closed,2026-02-10T13:49:57Z,2026-02-10T20:51:59Z,2026-02-10T20:51:59Z,7.033889,2664,13,799,3,802,5,0,5,0,1,NO_REVIEW,no_review,,,no,glinf,,19277,300,95,0.050000
facebook,react,facebook/react,35673,https://github.com/facebook/react/pull/35673,[compiler] Handle sequential optionals,open,2026-02-02T17:35:14Z,2026-02-08T16:31:49Z,2026-02-08T16:31:49Z,142.943056,400,41,755,82,837,0,0,0,1,2,COMMENTED,neutral,COMMENTED,khezen,yes,josephsavona,,19277,300,95,0.050000
facebook,react,facebook/react,35650,https://github.com/facebook/react/pull/35650,"[Flight] Restore original function name in dev, server callstacks served with `unsafe-eval`",closed,2026-01-28T14:43:49Z,2026-01-28T17:41:27Z,2026-01-28T17:41:27Z,2.960556,844,2,58,0,58,1,1,2,2,2,APPROVED,positive,COMMENTED|APPROVED,eps1lon|unstubbable,yes,eps1lon,2026-01-28T17:41:08Z,19277,300,95,0.050000
facebook,react,facebook/react,35534,https://github.com/facebook/react/pull/35534,[compiler] Fix hydration error with multiline className strings,closed,2026-01-16T14:10:23Z,2026-01-16T17:08:09Z,2026-01-16T17:08:09Z,2.962778,2616,6,329,0,329,1,6,7,1,2,CHANGES_REQUESTED,negative,COMMENTED|CHANGES_REQUESTED,josephsavona,yes,shiva-kar,,19277,300,95,0.050000
facebook,react,facebook/react,34576,https://github.com/facebook/react/pull/34576,[Compiler] Don't throw calculate in render when there is a prop function call in effects,closed,2025-09-24T00:42:21Z,2025-12-30T20:06:16Z,2025-12-30T20:06:16Z,2347.398611,244,29,1126,148,1274,2,0,2,0,1,NO_REVIEW,no_review,,,no,jorge-cab,,19277,300,95,0.050000
facebook,react,facebook/react,19377,https://github.com/facebook/react/pull/19377,Run DevTools tests against npm releases,open,2020-07-15T19:48:19Z,2025-12-28T05:54:24Z,2025-12-28T05:54:24Z,47794.101389,89,2,60,1,61,6,3,9,3,3,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED,bvaughn|bvaughn|domiverse,yes,acdlite,,19277,300,95,0.050000
