owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
fatedier,frp,fatedier/frp,5200,https://github.com/fatedier/frp/pull/5200,server/group: fix port leak and incorrect Listen port in TCPGroup,MERGED,2026-03-05T18:21:32Z,2026-03-23T23:39:47Z,2026-03-23T23:39:47Z,437.304167,877,1,2,1,3,0,0,0,0,1,NO_REVIEW,no_review,,,no,fatedier,2026-03-05T18:25:47Z,1146,10,95,0.050000
fatedier,frp,fatedier/frp,5253,https://github.com/fatedier/frp/pull/5253,web/frps: restore XTCP support across dashboard views,CLOSED,2026-03-20T06:37:27Z,2026-03-20T07:19:31Z,2026-03-20T07:19:31Z,0.701111,948,4,28,1,29,1,0,1,0,1,NO_REVIEW,no_review,,,no,Daijunfan,,1146,10,95,0.050000
fatedier,frp,fatedier/frp,5175,https://github.com/fatedier/frp/pull/5175,auth/oidc: cache OIDC access token and refresh before expiry,MERGED,2026-02-12T03:40:59Z,2026-03-11T16:24:47Z,2026-03-11T16:24:47Z,660.730000,1552,2,131,14,145,4,0,4,2,2,APPROVED,positive,DISMISSED|APPROVED,blizard863|blizard863,yes,shani1998,2026-03-11T16:24:47Z,1146,10,95,0.050000
fatedier,frp,fatedier/frp,5139,https://github.com/fatedier/frp/pull/5139,refactor: move web embeds to web/ directory,MERGED,2026-01-26T18:50:45Z,2026-01-30T18:12:53Z,2026-01-30T18:12:53Z,95.368889,3,26,12629,6059,18688,0,0,0,0,1,NO_REVIEW,no_review,,,no,fatedier,2026-01-26T18:56:57Z,1146,10,95,0.050000
fatedier,frp,fatedier/frp,5020,https://github.com/fatedier/frp/pull/5020,Improve error messages for misplaced client-level configuration fields,CLOSED,2025-10-15T03:33:15Z,2025-10-28T06:55:02Z,2025-10-28T06:55:02Z,315.363056,4341,4,156,2,158,0,0,0,0,1,NO_REVIEW,no_review,,,no,copilot-swe-agent,,1146,10,95,0.050000
fatedier,frp,fatedier/frp,4043,https://github.com/fatedier/frp/pull/4043,fix function name in comment,CLOSED,2024-03-06T07:49:28Z,2024-04-04T00:33:54Z,2024-04-04T00:33:54Z,688.740556,28,1,1,1,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,cuinix,,1146,10,95,0.050000
fatedier,frp,fatedier/frp,2429,https://github.com/fatedier/frp/pull/2429,Typo: josn => json,MERGED,2021-06-03T15:05:01Z,2021-06-04T03:21:52Z,2021-06-04T03:21:52Z,12.280833,0,1,1,1,2,0,0,0,1,2,APPROVED,positive,APPROVED,fatedier,yes,zt2,2021-06-04T03:21:52Z,1146,10,95,0.050000
fatedier,frp,fatedier/frp,2002,https://github.com/fatedier/frp/pull/2002,feat: support ntlm proxy set in http_proxy env,MERGED,2020-09-22T13:32:36Z,2020-09-23T05:51:20Z,2020-09-23T05:51:20Z,16.312222,5,4,13,9,22,0,0,0,1,2,APPROVED,positive,APPROVED,fatedier,yes,blizard863,2020-09-23T04:05:06Z,1146,10,95,0.050000
fatedier,frp,fatedier/frp,918,https://github.com/fatedier/frp/pull/918,补全v0.21.0新增websocket协议中文文档,CLOSED,2018-09-09T14:47:43Z,2019-11-18T04:12:51Z,2019-11-18T04:12:51Z,10429.418889,0,1,38,0,38,1,0,1,0,1,NO_REVIEW,no_review,,,no,uin57,,1146,10,95,0.050000
fatedier,frp,fatedier/frp,912,https://github.com/fatedier/frp/pull/912,同步官方代码,CLOSED,2018-09-04T11:00:33Z,2018-09-05T08:57:12Z,2018-09-05T08:57:12Z,21.944167,0,1425,310955,34217,345172,0,0,0,0,1,NO_REVIEW,no_review,,,no,ooiuv,,1146,10,95,0.050000
