owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
firecrawl,firecrawl,firecrawl/firecrawl,3431,https://github.com/firecrawl/firecrawl/pull/3431,fix(scrape): retry with stealthProxy on fire-engine retry signal,MERGED,2026-04-23T20:03:10Z,2026-04-23T20:49:29Z,2026-04-23T20:49:29Z,0.771944,673,1,13,0,13,0,0,0,1,2,APPROVED,positive,APPROVED,cubic-dev-ai,yes,firecrawl-spring,2026-04-23T20:49:29Z,2498,10,95,0.050000
firecrawl,firecrawl,firecrawl/firecrawl,3137,https://github.com/firecrawl/firecrawl/pull/3137,feat: /parse API (ENG-4830),MERGED,2026-03-13T12:23:11Z,2026-04-21T18:27:43Z,2026-04-21T18:27:43Z,942.075556,1456,78,4749,59,4808,1,0,1,12,2,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,cubic-dev-ai|cubic-dev-ai|cubic-dev-ai|cubic-dev-ai|cubic-dev-ai|cubic-dev-ai|cubic-dev-ai|cubic-dev-ai|cubic-dev-ai|cubic-dev-ai|cubic-dev-ai|cubic-dev-ai,yes,mogery,2026-04-21T18:27:43Z,2498,10,95,0.050000
firecrawl,firecrawl,firecrawl/firecrawl,3041,https://github.com/firecrawl/firecrawl/pull/3041,fix: filter out URLs with username/password (malformed mailto or basic auth),CLOSED,2026-03-09T03:39:57Z,2026-03-10T17:29:51Z,2026-03-10T17:29:51Z,37.831667,1295,2,13,1,14,1,0,1,1,2,APPROVED,positive,APPROVED,cubic-dev-ai,yes,gambletan,,2498,10,95,0.050000
firecrawl,firecrawl,firecrawl/firecrawl,2602,https://github.com/firecrawl/firecrawl/pull/2602,"Add redis.sadd(""billed_teams"", team_id) to clearACUCTeam for centralized tracking",MERGED,2025-12-23T18:28:56Z,2025-12-24T14:40:23Z,2025-12-24T14:40:23Z,20.190833,1850,2,14,10,24,1,0,1,1,2,APPROVED,positive,APPROVED,cubic-dev-ai,yes,devin-ai-integration,2025-12-24T14:40:23Z,2498,10,95,0.050000
firecrawl,firecrawl,firecrawl/firecrawl,2174,https://github.com/firecrawl/firecrawl/pull/2174,feat(scrapeURL/summary): use gpt-5-mini,MERGED,2025-09-17T15:26:20Z,2025-09-18T13:24:04Z,2025-09-18T13:24:04Z,21.962222,406,4,15258,1045,16303,1,0,1,1,2,COMMENTED,neutral,COMMENTED,cubic-dev-ai,yes,mogery,2025-09-18T13:24:03Z,2498,10,95,0.050000
firecrawl,firecrawl,firecrawl/firecrawl,1688,https://github.com/firecrawl/firecrawl/pull/1688,feat(scrapeURL): support cookies in safeFetch,MERGED,2025-06-20T18:21:26Z,2025-06-20T18:43:04Z,2025-06-20T18:43:04Z,0.360556,20,3,50,28,78,0,0,0,0,1,NO_REVIEW,no_review,,,no,mogery,2025-06-20T18:43:04Z,2498,10,95,0.050000
firecrawl,firecrawl,firecrawl/firecrawl,1417,https://github.com/firecrawl/firecrawl/pull/1417,Add examples/ Llama 4 Web Extractor,CLOSED,2025-04-07T13:31:23Z,2025-04-07T13:37:41Z,2025-04-07T13:37:41Z,0.105000,0,10,713,0,713,0,0,0,0,1,NO_REVIEW,no_review,,,no,aparupganguly,,2498,10,95,0.050000
firecrawl,firecrawl,firecrawl/firecrawl,1104,https://github.com/firecrawl/firecrawl/pull/1104,fix(scrapeURL/fire-engine): default to separate US-generic proxy list if no location is specified (FIR-728),MERGED,2025-01-28T15:19:42Z,2025-01-29T07:23:39Z,2025-01-29T07:23:39Z,16.065833,133,5,36,12,48,0,0,0,1,2,APPROVED,positive,APPROVED,nickscamara,yes,mogery,2025-01-29T07:23:36Z,2498,10,95,0.050000
firecrawl,firecrawl,firecrawl/firecrawl,985,https://github.com/firecrawl/firecrawl/pull/985,apps/api(deps-dev): bump the dev-deps group across 1 directory with 12 updates,CLOSED,2024-12-17T15:10:28Z,2024-12-24T17:09:43Z,2024-12-24T17:09:43Z,169.987500,17069,2,546,389,935,1,0,1,0,1,NO_REVIEW,no_review,,,no,dependabot,,2498,10,95,0.050000
firecrawl,firecrawl,firecrawl/firecrawl,269,https://github.com/firecrawl/firecrawl/pull/269,[Feat] Added allowBackwardCrawling option,MERGED,2024-06-11T20:47:47Z,2024-06-12T14:34:39Z,2024-06-12T14:34:39Z,17.781111,0,5,81,16,97,0,0,0,0,1,NO_REVIEW,no_review,,,no,rafaelsideguide,2024-06-12T14:34:39Z,2498,10,95,0.050000
