owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
flutter,flutter,flutter/flutter,185743,https://github.com/flutter/flutter/pull/185743,Roll Skia from 05251260fda6 to f5c781c083c7 (2 revisions),closed,2026-04-29T13:19:28Z,2026-04-29T17:12:54Z,2026-04-29T17:12:54Z,3.890556,985,1,1,1,2,1,0,1,1,2,APPROVED,positive,APPROVED,fluttergithubbot,yes,engine-flutter-autoroll,2026-04-29T17:12:51Z,70995,300,95,0.050000
flutter,flutter,flutter/flutter,185328,https://github.com/flutter/flutter/pull/185328,Roll Dart SDK from 9648f446f131 to 0d2f1262f962 (8 revisions),closed,2026-04-21T05:12:12Z,2026-04-28T05:18:33Z,2026-04-28T05:18:33Z,168.105833,1427,1,3,3,6,5,0,5,1,2,APPROVED,positive,APPROVED,fluttergithubbot,yes,engine-flutter-autoroll,,70995,300,95,0.050000
flutter,flutter,flutter/flutter,185521,https://github.com/flutter/flutter/pull/185521,Disconnect from parent window signal when view is destroyed,open,2026-04-24T05:14:16Z,2026-04-24T05:15:52Z,2026-04-24T05:15:52Z,0.026667,49,1,11,2,13,1,2,3,0,1,NO_REVIEW,no_review,COMMENTED,,no,robert-ancell,,70995,300,95,0.050000
flutter,flutter,flutter/flutter,185260,https://github.com/flutter/flutter/pull/185260,Remove unused private header,closed,2026-04-19T22:17:13Z,2026-04-21T05:46:41Z,2026-04-21T05:46:41Z,31.491111,0,3,0,18,18,0,0,0,2,3,APPROVED,positive,COMMENTED|APPROVED|APPROVED,cbracken|mattkae,yes,robert-ancell,2026-04-21T05:46:40Z,70995,300,95,0.050000
flutter,flutter,flutter/flutter,184130,https://github.com/flutter/flutter/pull/184130,Ignore incoming deprecated_web_configuration lint,closed,2026-03-25T16:47:07Z,2026-04-15T00:31:48Z,2026-04-15T00:31:48Z,487.744722,1338,3,5,2,7,5,0,5,2,2,APPROVED,positive,COMMENTED|DISMISSED|APPROVED,harryterkelsen|harryterkelsen,yes,srujzs,2026-04-15T00:31:47Z,70995,300,95,0.050000
flutter,flutter,flutter/flutter,183563,https://github.com/flutter/flutter/pull/183563,refactor: remove material from color and image filter test,closed,2026-03-12T03:09:35Z,2026-04-08T15:48:53Z,2026-04-08T15:48:53Z,660.655000,866,3,82,55,137,8,1,9,5,3,APPROVED,positive,COMMENTED|DISMISSED|DISMISSED|DISMISSED|DISMISSED|APPROVED,victorsanni|victorsanni|victorsanni|justinmc|justinmc,yes,rkishan516,2026-04-04T02:42:47Z,70995,300,95,0.050000
flutter,flutter,flutter/flutter,183916,https://github.com/flutter/flutter/pull/183916,Roll Dart SDK from 0bf3e3def2c9 to c88a8008e93b (2 revisions),closed,2026-03-20T01:39:51Z,2026-03-27T02:27:38Z,2026-03-27T02:27:38Z,168.796389,853,1,3,3,6,5,0,5,1,2,APPROVED,positive,APPROVED,fluttergithubbot,yes,engine-flutter-autoroll,,70995,300,95,0.050000
flutter,flutter,flutter/flutter,183576,https://github.com/flutter/flutter/pull/183576,Roll Skia from 46f41493ebf4 to d4a01559efb3 (3 revisions),closed,2026-03-12T08:31:20Z,2026-03-19T09:26:53Z,2026-03-19T09:26:53Z,168.925833,1096,1,1,1,2,5,0,5,1,2,APPROVED,positive,APPROVED,fluttergithubbot,yes,engine-flutter-autoroll,,70995,300,95,0.050000
flutter,flutter,flutter/flutter,183595,https://github.com/flutter/flutter/pull/183595,Made cp labels get rejected on issues.,closed,2026-03-12T16:11:18Z,2026-03-12T18:52:33Z,2026-03-12T18:52:33Z,2.687500,2738,1,20,0,20,1,3,4,4,2,APPROVED,positive,COMMENTED|COMMENTED|COMMENTED|APPROVED,gaaclarke|gaaclarke|jtmcdole|jtmcdole,yes,gaaclarke,2026-03-12T18:52:30Z,70995,300,95,0.050000
flutter,flutter,flutter/flutter,183092,https://github.com/flutter/flutter/pull/183092,Roll Skia from b9210eb7005f to be1362b5ca4e (1 revision),closed,2026-03-01T19:35:11Z,2026-03-08T20:31:33Z,2026-03-08T20:31:33Z,168.939444,877,1,1,1,2,0,0,0,1,2,APPROVED,positive,APPROVED,fluttergithubbot,yes,engine-flutter-autoroll,2026-03-01T21:53:56Z,70995,300,95,0.050000
flutter,flutter,flutter/flutter,170104,https://github.com/flutter/flutter/pull/170104,Feat: Add unused dependency cleanup,closed,2025-06-06T01:17:35Z,2026-03-08T01:48:24Z,2026-03-08T01:48:24Z,6600.513611,1461,4,1674,0,1674,24,41,65,32,5,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,justinmc|justinmc|chunhtai|rkishan516|dkwingsmt|rkishan516|dkwingsmt|rkishan516|chunhtai|rkishan516|rkishan516|rkishan516|rkishan516|chunhtai|rkishan516|rkishan516|rkishan516|justinmc|chunhtai|rkishan516|rkishan516|loic-sharma|loic-sharma|loic-sharma|loic-sharma|loic-sharma|rkishan516|rkishan516|rkishan516|chunhtai|rkishan516|rkishan516,yes,rkishan516,,70995,300,95,0.050000
