owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
freeCodeCamp,freeCodeCamp,freeCodeCamp/freeCodeCamp,66976,https://github.com/freeCodeCamp/freeCodeCamp/pull/66976,fix(curriculum): add note to A2 and B1 quizzes,closed,2026-04-17T12:06:18Z,2026-04-17T13:21:53Z,2026-04-17T13:21:53Z,1.259722,924,51,102,0,102,0,0,0,1,2,APPROVED,positive,APPROVED,DanielRosa74,yes,huyenltnguyen,2026-04-17T13:21:45Z,44365,300,95,0.050000
freeCodeCamp,freeCodeCamp,freeCodeCamp/freeCodeCamp,66325,https://github.com/freeCodeCamp/freeCodeCamp/pull/66325,feat(curriculum): EN-B1 quiz for block 9,closed,2026-03-10T08:26:56Z,2026-04-09T13:47:30Z,2026-04-09T13:47:30Z,725.342778,635,1,328,51,379,0,1,1,2,2,APPROVED,positive,COMMENTED|APPROVED,Sembauke|Sembauke,yes,anastasiiauk,2026-03-12T18:29:46Z,44365,300,95,0.050000
freeCodeCamp,freeCodeCamp,freeCodeCamp/freeCodeCamp,66547,https://github.com/freeCodeCamp/freeCodeCamp/pull/66547,fix(client): add Beta to English cert titles,closed,2026-03-18T12:30:51Z,2026-03-19T11:37:05Z,2026-03-19T11:37:05Z,23.103889,1716,3,35,5,40,0,0,0,1,2,APPROVED,positive,APPROVED,nieldakarla,yes,huyenltnguyen,2026-03-19T11:37:03Z,44365,300,95,0.050000
freeCodeCamp,freeCodeCamp,freeCodeCamp/freeCodeCamp,66513,https://github.com/freeCodeCamp/freeCodeCamp/pull/66513,fix: URL names for learn python course,closed,2026-03-16T22:01:38Z,2026-03-17T12:16:49Z,2026-03-17T12:16:49Z,14.253056,693,45,71,71,142,0,0,0,1,2,APPROVED,positive,APPROVED,huyenltnguyen,yes,jdwilkin4,2026-03-17T12:16:49Z,44365,300,95,0.050000
freeCodeCamp,freeCodeCamp,freeCodeCamp/freeCodeCamp,66483,https://github.com/freeCodeCamp/freeCodeCamp/pull/66483,fix(curriculum): migrate data-structures setup from after-user-code (6 files),closed,2026-03-15T19:04:43Z,2026-03-16T09:08:35Z,2026-03-16T09:08:35Z,14.064444,411,6,18,18,36,0,0,0,1,2,APPROVED,positive,APPROVED,majestic-owl448,yes,Sembauke,2026-03-16T09:08:35Z,44365,300,95,0.050000
freeCodeCamp,freeCodeCamp,freeCodeCamp/freeCodeCamp,57497,https://github.com/freeCodeCamp/freeCodeCamp/pull/57497,feat: release a2 English cert on mobile,closed,2024-12-12T14:07:19Z,2026-03-15T19:16:04Z,2026-03-15T19:16:04Z,10997.145833,753,1,1,1,2,0,0,0,2,3,APPROVED,positive,APPROVED|APPROVED,ShaunSHamilton|Nirajn2311,yes,Sembauke,2025-01-02T14:06:02Z,44365,300,95,0.050000
freeCodeCamp,freeCodeCamp,freeCodeCamp/freeCodeCamp,66473,https://github.com/freeCodeCamp/freeCodeCamp/pull/66473,fix(curriculum): remove before/after-user-code from basic javascript challenges 53-54,closed,2026-03-15T16:49:08Z,2026-03-15T19:14:53Z,2026-03-15T19:14:53Z,2.429167,411,2,0,12,12,0,0,0,1,2,APPROVED,positive,APPROVED,majestic-owl448,yes,Sembauke,2026-03-15T17:29:18Z,44365,300,95,0.050000
freeCodeCamp,freeCodeCamp,freeCodeCamp/freeCodeCamp,66291,https://github.com/freeCodeCamp/freeCodeCamp/pull/66291,fix(curriculum): reorder intros for superblock front-end-development-libraries-v9,closed,2026-03-07T17:31:57Z,2026-03-10T17:11:27Z,2026-03-10T17:11:27Z,71.658333,508,1,14,14,28,0,0,0,1,2,APPROVED,positive,APPROVED,moT01,yes,majestic-owl448,2026-03-10T14:43:23Z,44365,300,95,0.050000
freeCodeCamp,freeCodeCamp,freeCodeCamp/freeCodeCamp,65501,https://github.com/freeCodeCamp/freeCodeCamp/pull/65501,fix(client): update speaking practice audio path,closed,2026-01-26T11:39:20Z,2026-03-03T19:06:29Z,2026-03-03T19:06:29Z,871.452500,822,1,16,4,20,1,0,1,0,1,NO_REVIEW,no_review,,,no,huyenltnguyen,,44365,300,95,0.050000
freeCodeCamp,freeCodeCamp,freeCodeCamp/freeCodeCamp,66063,https://github.com/freeCodeCamp/freeCodeCamp/pull/66063,feat(api): Endpoints for classroom,open,2026-02-25T17:23:22Z,2026-02-25T17:24:39Z,2026-02-25T17:24:39Z,0.021389,0,10,593,2,595,0,0,0,0,1,NO_REVIEW,no_review,,,no,raisedadead,,44365,300,95,0.050000
