owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
getify,You-Dont-Know-JS,getify/You-Dont-Know-JS,1928,https://github.com/getify/You-Dont-Know-JS/pull/1928,fix some typos,closed,2026-02-15T04:32:14Z,2026-02-15T04:36:45Z,2026-02-15T04:36:45Z,0.075278,14,10,16,17,33,0,0,0,0,1,NO_REVIEW,no_review,COMMENTED,,no,liunnn1994,2026-02-15T04:36:44Z,881,268,95,0.050000
getify,You-Dont-Know-JS,getify/You-Dont-Know-JS,1924,https://github.com/getify/You-Dont-Know-JS/pull/1924,docs: align ES module factory naming with classic module convention,closed,2026-01-18T07:38:06Z,2026-01-18T15:26:52Z,2026-01-18T15:26:52Z,7.812778,444,1,8,8,16,0,0,0,0,1,NO_REVIEW,no_review,,,no,Vikash-Kumar-23,,881,268,95,0.050000
getify,You-Dont-Know-JS,getify/You-Dont-Know-JS,1776,https://github.com/getify/You-Dont-Know-JS/pull/1776,view shallow copy output,closed,2022-01-26T09:44:56Z,2025-09-04T16:45:07Z,2025-09-04T16:45:07Z,31615.003056,461,1,2,0,2,1,0,1,0,1,NO_REVIEW,no_review,,,no,Jeroendevr,,881,268,95,0.050000
getify,You-Dont-Know-JS,getify/You-Dont-Know-JS,914,https://github.com/getify/You-Dont-Know-JS/pull/914,Typo,closed,2016-12-06T10:57:55Z,2025-09-03T19:12:46Z,2025-09-03T19:12:46Z,76640.247500,315,1,1,1,2,1,0,1,1,2,COMMENTED,neutral,COMMENTED,shivaylamba,yes,samueljoli,,881,268,95,0.050000
getify,You-Dont-Know-JS,getify/You-Dont-Know-JS,778,https://github.com/getify/You-Dont-Know-JS/pull/778,"Update module names for consistency: foo -> A, bar -> B",closed,2016-06-28T06:41:01Z,2025-09-03T19:12:45Z,2025-09-03T19:12:45Z,80508.528889,203,1,6,6,12,1,0,1,0,1,NO_REVIEW,no_review,,,no,airandfingers,,881,268,95,0.050000
getify,You-Dont-Know-JS,getify/You-Dont-Know-JS,444,https://github.com/getify/You-Dont-Know-JS/pull/444,Combine duplicate mentions of jsperf setup/teardown code,closed,2015-05-11T13:44:27Z,2025-09-03T19:12:40Z,2025-09-03T19:12:40Z,90437.470278,278,1,2,2,4,2,0,2,0,1,NO_REVIEW,no_review,,,no,airandfingers,,881,268,95,0.050000
getify,You-Dont-Know-JS,getify/You-Dont-Know-JS,434,https://github.com/getify/You-Dont-Know-JS/pull/434,Fix various errata in Async & Performance Ch. 4: Generators,closed,2015-05-07T06:13:40Z,2025-09-03T19:12:40Z,2025-09-03T19:12:40Z,90540.983333,290,1,11,9,20,6,0,6,0,1,NO_REVIEW,no_review,,,no,airandfingers,,881,268,95,0.050000
getify,You-Dont-Know-JS,getify/You-Dont-Know-JS,1769,https://github.com/getify/You-Dont-Know-JS/pull/1769,Fix sentence,closed,2021-12-06T12:20:36Z,2025-09-03T19:12:28Z,2025-09-03T19:12:28Z,32814.864444,543,1,1,1,2,2,0,2,1,2,APPROVED,positive,APPROVED,jessiesiat,yes,strider99,,881,268,95,0.050000
getify,You-Dont-Know-JS,getify/You-Dont-Know-JS,1741,https://github.com/getify/You-Dont-Know-JS/pull/1741,Update ch1.md,closed,2021-06-10T02:59:28Z,2025-09-03T19:12:28Z,2025-09-03T19:12:28Z,37120.216667,838,1,1,1,2,1,1,2,1,2,COMMENTED,neutral,COMMENTED,liunnn1994,yes,littleloke,,881,268,95,0.050000
getify,You-Dont-Know-JS,getify/You-Dont-Know-JS,1717,https://github.com/getify/You-Dont-Know-JS/pull/1717,"[FIX] Scope & Closures, apB, Closure 3 Typo issue #1716",closed,2020-12-20T14:54:42Z,2025-09-03T19:12:27Z,2025-09-03T19:12:27Z,41236.295833,725,1,2,2,4,1,0,1,1,1,COMMENTED,neutral,COMMENTED,hochan222,yes,hochan222,,881,268,95,0.050000
