owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
github,gitignore,github/gitignore,4733,https://github.com/github/gitignore/pull/4733,Fix comment syntax in JetBrains gitignore,closed,2025-09-22T06:55:35Z,2026-04-24T21:33:40Z,2026-04-24T21:33:40Z,5150.634722,680,1,2,1,3,5,0,5,0,1,NO_REVIEW,no_review,COMMENTED,,no,huyz,,4656,300,95,0.050000
github,gitignore,github/gitignore,4788,https://github.com/github/gitignore/pull/4788,Remove trailing spaces and rewrap to 100 columns,open,2026-01-21T13:42:01Z,2026-04-21T16:39:11Z,2026-04-21T16:39:11Z,2162.952778,421,1,4,4,8,2,0,2,0,1,NO_REVIEW,no_review,COMMENTED,,no,rubenp02,,4656,300,95,0.050000
github,gitignore,github/gitignore,4845,https://github.com/github/gitignore/pull/4845,Removes duplicate project homepage ask,closed,2026-04-17T21:37:14Z,2026-04-17T21:46:23Z,2026-04-17T21:46:23Z,0.152500,1080,1,0,4,4,0,0,0,1,2,APPROVED,positive,COMMENTED|APPROVED,dooleydevin,yes,wirecat,2026-04-17T21:46:20Z,4656,300,95,0.050000
github,gitignore,github/gitignore,4252,https://github.com/github/gitignore/pull/4252,Update AL.gitignore,closed,2023-03-10T10:47:44Z,2026-04-17T21:23:08Z,2026-04-17T21:23:08Z,27226.590000,250,2,17,26,43,4,0,4,0,1,NO_REVIEW,no_review,,,no,jorispoppe,,4656,300,95,0.050000
github,gitignore,github/gitignore,4109,https://github.com/github/gitignore/pull/4109,Adds Snyk cache file,closed,2022-07-10T08:44:10Z,2026-04-17T21:13:26Z,2026-04-17T21:13:26Z,33060.487778,317,1,7,3,10,7,0,7,0,1,NO_REVIEW,no_review,,,no,diego-betto,,4656,300,95,0.050000
github,gitignore,github/gitignore,4826,https://github.com/github/gitignore/pull/4826,"TeX: add ConTeXt utility cache file (.tuc, .tui & tuo)",closed,2026-03-28T00:24:51Z,2026-04-06T16:41:53Z,2026-04-06T16:41:53Z,232.283889,514,1,5,0,5,1,0,1,1,2,APPROVED,positive,APPROVED,dooleydevin,yes,gxono,2026-04-06T16:41:52Z,4656,300,95,0.050000
github,gitignore,github/gitignore,4785,https://github.com/github/gitignore/pull/4785,docs: clarify VS Code ignore rules in `Python.gitignore`,closed,2026-01-18T04:37:56Z,2026-04-06T16:30:35Z,2026-04-06T16:30:35Z,1883.877500,983,1,7,2,9,4,0,4,2,2,APPROVED,positive,APPROVED|APPROVED,ZeroMergeConflicts|ZeroMergeConflicts,yes,ViratiAkiraNandhanReddy,,4656,300,95,0.050000
github,gitignore,github/gitignore,4825,https://github.com/github/gitignore/pull/4825,Update Unity.gitignore,closed,2026-03-25T08:03:40Z,2026-03-26T11:33:21Z,2026-03-26T11:33:21Z,27.494722,699,1,7,7,14,0,0,0,0,1,NO_REVIEW,no_review,,,no,zAnkSincerely,,4656,300,95,0.050000
github,gitignore,github/gitignore,4801,https://github.com/github/gitignore/pull/4801,Add rule for Godot temp extension library copies on Windows,open,2026-02-21T04:01:32Z,2026-03-23T17:13:09Z,2026-03-23T17:13:09Z,733.193611,1052,1,3,0,3,2,0,2,0,1,NO_REVIEW,no_review,,,no,NoahGreer,,4656,300,95,0.050000
github,gitignore,github/gitignore,4702,https://github.com/github/gitignore/pull/4702,feat: Add Salesforce,closed,2025-08-07T03:07:45Z,2026-03-14T08:30:08Z,2026-03-14T08:30:08Z,5261.373056,695,1,39,0,39,4,1,5,2,3,APPROVED,positive,COMMENTED|APPROVED|APPROVED,thorrsson|Sum1cares,yes,achillesrasquinha,2025-08-27T19:37:48Z,4656,300,95,0.050000
github,gitignore,github/gitignore,4655,https://github.com/github/gitignore/pull/4655,Create Expo.gitignore,closed,2025-06-03T19:48:17Z,2026-03-14T08:22:59Z,2026-03-14T08:22:59Z,6804.578333,1354,1,32,0,32,1,1,2,4,3,APPROVED,positive,COMMENTED|APPROVED|APPROVED|APPROVED,wirecat|wirecat|Sum1cares|Sum1cares,yes,arnav-42,2025-06-13T21:00:02Z,4656,300,95,0.050000
github,gitignore,github/gitignore,4228,https://github.com/github/gitignore/pull/4228,Ignore Plugins/**/ folders and vsconfig,closed,2023-01-10T12:16:15Z,2026-01-06T14:30:47Z,2026-01-06T14:30:47Z,26210.242222,602,1,4,3,7,2,0,2,0,1,NO_REVIEW,no_review,,,no,mrserverless,,4656,300,95,0.050000
github,gitignore,github/gitignore,4323,https://github.com/github/gitignore/pull/4323,Update Go.ignore to add Delve debugger binary output,closed,2023-07-06T09:46:58Z,2025-12-06T16:31:34Z,2025-12-06T16:31:34Z,21222.743333,150,1,3,0,3,2,0,2,0,1,NO_REVIEW,no_review,,,no,BananZG,,4656,300,95,0.050000
github,gitignore,github/gitignore,4287,https://github.com/github/gitignore/pull/4287,Update TeX.gitignore to capture .pygtex and .pygstyle,closed,2023-04-29T12:27:22Z,2025-12-06T16:31:10Z,2025-12-06T16:31:10Z,22852.063333,497,1,1,1,2,4,0,4,0,1,NO_REVIEW,no_review,,,no,daniel-jakob,,4656,300,95,0.050000
github,gitignore,github/gitignore,4247,https://github.com/github/gitignore/pull/4247,[VisualStudio] Add SARIF file extensions,closed,2023-03-04T09:30:52Z,2025-12-06T16:30:34Z,2025-12-06T16:30:34Z,24198.995000,559,1,2,0,2,2,0,2,0,1,NO_REVIEW,no_review,,,no,cglong,,4656,300,95,0.050000
