owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
github,spec-kit,github/spec-kit,2379,https://github.com/github/spec-kit/pull/2379,catalog: add m365 community extension,CLOSED,2026-04-27T17:06:22Z,2026-04-28T14:09:29Z,2026-04-28T14:09:29Z,21.051944,938,0,0,0,0,0,0,0,6,2,COMMENTED,neutral,COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED|COMMENTED,copilot-pull-request-reviewer|copilot-pull-request-reviewer|copilot-pull-request-reviewer|copilot-pull-request-reviewer|BenBtg|copilot-pull-request-reviewer,yes,BenBtg,,952,10,95,0.050000
github,spec-kit,github/spec-kit,2237,https://github.com/github/spec-kit/pull/2237,Add tekimax-security v0.3.0 to community catalog,OPEN,2026-04-16T07:52:24Z,2026-04-16T17:43:39Z,2026-04-16T17:43:39Z,9.854167,1863,2,2153,2119,4272,1,0,1,3,3,CHANGES_REQUESTED,negative,COMMENTED|CHANGES_REQUESTED|CHANGES_REQUESTED,copilot-pull-request-reviewer|mnriem|mnriem,yes,kaman1,,952,10,95,0.050000
github,spec-kit,github/spec-kit,1929,https://github.com/github/spec-kit/pull/1929,feat(cli): add `specify extension init` scaffolding command,CLOSED,2026-03-21T04:14:25Z,2026-03-27T17:47:51Z,2026-03-27T17:47:51Z,157.557222,2389,2,405,0,405,7,0,7,0,1,NO_REVIEW,no_review,,,no,mvanhorn,,952,10,95,0.050000
github,spec-kit,github/spec-kit,1868,https://github.com/github/spec-kit/pull/1868,docs: add Brownfield Go / React dashboard demo — GitHub Copilot CLI walkthrough,MERGED,2026-03-16T18:55:30Z,2026-03-16T18:57:48Z,2026-03-16T18:57:48Z,0.038333,419,1,2,0,2,0,0,0,1,2,COMMENTED,neutral,COMMENTED,copilot-pull-request-reviewer,yes,mnriem,2026-03-16T18:57:44Z,952,10,95,0.050000
github,spec-kit,github/spec-kit,1783,https://github.com/github/spec-kit/pull/1783,Bundle product extension and create individual extension releases,CLOSED,2026-03-09T14:13:07Z,2026-03-09T14:13:42Z,2026-03-09T14:13:42Z,0.009722,2041,236,56430,1664,58094,1,0,1,0,1,NO_REVIEW,no_review,,,no,kanfil,,952,10,95,0.050000
github,spec-kit,github/spec-kit,1617,https://github.com/github/spec-kit/pull/1617,Add Cleanup Extension to catalog,MERGED,2026-02-17T22:40:44Z,2026-02-24T13:48:28Z,2026-02-24T13:48:28Z,159.128889,1396,1,27,1,28,7,0,7,1,2,COMMENTED,neutral,COMMENTED,copilot-pull-request-reviewer,yes,dsrednicki,2026-02-23T19:52:40Z,952,10,95,0.050000
github,spec-kit,github/spec-kit,1622,https://github.com/github/spec-kit/pull/1622,feat: add Dependabot configuration for pip and GitHub Actions,MERGED,2026-02-18T22:26:09Z,2026-02-18T23:42:52Z,2026-02-18T23:42:52Z,1.278611,494,1,11,0,11,0,0,0,1,2,COMMENTED,neutral,COMMENTED,copilot-pull-request-reviewer,yes,mnriem,2026-02-18T23:42:42Z,952,10,95,0.050000
github,spec-kit,github/spec-kit,1002,https://github.com/github/spec-kit/pull/1002,docs: add steps for testing template and command changes locally,MERGED,2025-10-22T02:23:38Z,2025-10-22T02:27:55Z,2025-10-22T02:27:55Z,0.071389,752,1,22,0,22,0,0,0,3,3,COMMENTED,neutral,COMMENTED|DISMISSED|COMMENTED,copilot-pull-request-reviewer|localden|copilot-pull-request-reviewer,yes,harikrishnan83,2025-10-22T02:27:49Z,952,10,95,0.050000
github,spec-kit,github/spec-kit,827,https://github.com/github/spec-kit/pull/827,Update vscode-settings.json,MERGED,2025-10-10T19:29:57Z,2025-10-17T21:20:02Z,2025-10-17T21:20:02Z,169.834722,0,1,1,1,2,0,0,0,2,3,APPROVED,positive,COMMENTED|APPROVED,copilot-pull-request-reviewer|you227224-create,yes,localden,2025-10-10T19:30:16Z,952,10,95,0.050000
github,spec-kit,github/spec-kit,802,https://github.com/github/spec-kit/pull/802,optimized for me,CLOSED,2025-10-09T15:02:11Z,2025-10-10T17:47:54Z,2025-10-10T17:47:54Z,26.761944,0,15,639,1500,2139,0,0,0,0,1,NO_REVIEW,no_review,,,no,burberryonn,,952,10,95,0.050000
