owner,repo,full_name,pr_number,html_url,title,state,created_at,updated_at,last_activity_at,analysis_hours,body_chars,changed_files,additions,deletions,total_changes,issue_comments,review_comments,total_comments,human_review_count,participant_count,final_review_state,final_feedback,review_states,review_participants,has_human_review,author_login,merged_at,population_total_prs,sample_target_prs,sampling_confidence,sampling_margin_error
gohugoio,hugo,gohugoio/hugo,12294,https://github.com/gohugoio/hugo/pull/12294,"markup/goldmark: Support subscript, superscript, and insert elements",CLOSED,2024-03-21T21:32:12Z,2025-04-17T02:09:21Z,2025-04-17T02:09:21Z,9388.619167,0,5,112,42,154,1,0,1,0,1,NO_REVIEW,no_review,,,no,jmooring,,6324,10,95,0.050000
gohugoio,hugo,gohugoio/hugo,10674,https://github.com/gohugoio/hugo/pull/10674,all: Updated the deprecated ioutil dependency,CLOSED,2023-01-31T04:53:09Z,2024-02-07T01:47:02Z,2024-02-07T01:47:02Z,8924.898056,164,37,99,129,228,3,0,3,0,1,NO_REVIEW,no_review,,,no,zachary-walters,,6324,10,95,0.050000
gohugoio,hugo,gohugoio/hugo,9114,https://github.com/gohugoio/hugo/pull/9114,Fix default value of timeout in site configuration,CLOSED,2021-11-02T02:15:45Z,2022-11-03T02:16:39Z,2022-11-03T02:16:39Z,8784.015000,247,2,3,3,6,4,0,4,0,1,NO_REVIEW,no_review,,,no,jmooring,,6324,10,95,0.050000
gohugoio,hugo,gohugoio/hugo,72,https://github.com/gohugoio/hugo/pull/72,Add support for amber files,CLOSED,2013-09-01T00:57:52Z,2022-03-08T01:58:11Z,2022-03-08T01:58:11Z,74641.005278,30,8,244,170,414,5,0,5,0,1,NO_REVIEW,no_review,,,no,Mistobaan,,6324,10,95,0.050000
gohugoio,hugo,gohugoio/hugo,1286,https://github.com/gohugoio/hugo/pull/1286,Watch fix,CLOSED,2015-07-19T23:25:18Z,2022-03-02T01:59:22Z,2022-03-02T01:59:22Z,58010.567778,0,1,4,0,4,3,0,3,0,1,NO_REVIEW,no_review,,,no,scottcwilson,,6324,10,95,0.050000
gohugoio,hugo,gohugoio/hugo,1566,https://github.com/gohugoio/hugo/pull/1566,Add RSSLink to SiteInfo,CLOSED,2015-11-11T03:36:28Z,2022-02-27T01:55:55Z,2022-02-27T01:55:55Z,55198.324167,127,2,3,0,3,3,0,3,0,1,NO_REVIEW,no_review,,,no,moorereason,,6324,10,95,0.050000
gohugoio,hugo,gohugoio/hugo,2631,https://github.com/gohugoio/hugo/pull/2631,Generate index files for inner sections,CLOSED,2016-10-25T08:42:49Z,2022-02-19T01:52:50Z,2022-02-19T01:52:50Z,46625.166944,0,1,11,2,13,2,0,2,0,1,NO_REVIEW,no_review,,,no,raphael,,6324,10,95,0.050000
gohugoio,hugo,gohugoio/hugo,2980,https://github.com/gohugoio/hugo/pull/2980,docs: Add picturingjordan.com to the showcase,CLOSED,2017-01-22T15:35:45Z,2022-02-18T10:35:02Z,2022-02-18T10:35:02Z,44466.988056,0,2,14,0,14,2,0,2,0,1,NO_REVIEW,no_review,,,no,alanorth,,6324,10,95,0.050000
gohugoio,hugo,gohugoio/hugo,6170,https://github.com/gohugoio/hugo/pull/6170,Cache the next position of `urlreplacer.prefix`,MERGED,2019-08-06T14:41:54Z,2022-01-27T01:51:37Z,2022-01-27T01:51:37Z,21707.161944,67,1,27,12,39,3,0,3,0,1,NO_REVIEW,no_review,,,no,vazrupe,2019-08-06T15:46:21Z,6324,10,95,0.050000
gohugoio,hugo,gohugoio/hugo,7674,https://github.com/gohugoio/hugo/pull/7674,markup/highlight: Add support to linkable line anchors on Chroma,MERGED,2020-09-13T03:43:07Z,2022-01-18T01:56:10Z,2022-01-18T01:56:10Z,11806.217500,94,3,26,0,26,1,0,1,0,1,NO_REVIEW,no_review,,,no,fjorgemota,2020-09-13T09:00:17Z,6324,10,95,0.050000
